split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
test,lut,0.635028600692749,24.121726989746094,72147.9296875,-6.912374496459961,-10.07925796508789,-21.5422420501709,9.651281356811523,0.05489991674074063,243
test,ff,0.409884512424469,29.088571548461914,77270.1953125,-6.5940165519714355,-31.515504837036133,-24.045007705688477,13.617044448852539,0.05489991674074063,243
test,dsp,0.2756579518318176,45.095298767089844,1057.842529296875,-3.6472856998443604,-19.728145599365234,-29.547122955322266,22.88733673095703,0.05489991674074063,243
test,bram,0.3885602355003357,44.034603118896484,48.90488815307617,-9.61461067199707,-15.774741172790527,-38.38710021972656,22.89177703857422,0.05489991674074063,243
test,cycles_max,0.4881253242492676,49.112464904785156,1079094.375,0.7819458842277527,-35.42255783081055,-55.5943717956543,32.361724853515625,0.05489991674074063,243
test,interval_max,-0.5181877613067627,60.634857177734375,1858796.0,6.829939842224121,-45.63161849975586,-69.43266296386719,42.95050811767578,0.05489991674074063,243
exemplar,lut,0.36895424127578735,63.08760070800781,22174.15234375,-28.94357681274414,-99.46163177490234,-160.57852172851562,17.61437225341797,0.03300416705666673,300
exemplar,ff,0.26546066999435425,85.19760131835938,14628.359375,-46.17853927612305,-257.272705078125,-203.31692504882812,47.57117462158203,0.03300416705666673,300
exemplar,dsp,-0.02175116539001465,97.74588775634766,769.5446166992188,-70.33016204833984,-118.36140441894531,-175.91622924804688,0.8574614524841309,0.03300416705666673,300
exemplar,bram,-4.4248881340026855,105.19286346435547,5.815591812133789,-183.39564514160156,-232.67015075683594,-274.0712585449219,-81.13878631591797,0.03300416705666673,300
exemplar,cycles_max,0.05813997983932495,105.9984359741211,1342.3870849609375,-50.99192810058594,-556.985107421875,-818.5038452148438,49.07379150390625,0.03300416705666673,300
exemplar,interval_max,-0.09852635860443115,124.1631851196289,549.39404296875,-44.433746337890625,-957.08935546875,-706.8167724609375,72.48119354248047,0.03300416705666673,300
