timestamp,utilization_gpu_percent,utilization_memory_percent,memory_used_mb,power_draw_w,clock_sm_mhz,temperature_c,pstate
2026/08/13 17:29:54.899, 0, 0, 129, 3.28, 210, 61, P8
2026/08/13 17:29:55.461, 11, 0, 228, 4.16, 210, 60, P3
2026/08/13 17:29:56.010, 5, 0, 231, 8.91, 780, 61, P3
2026/08/13 17:29:56.567, 0, 0, 231, 8.93, 780, 61, P3
2026/08/13 17:29:57.117, 0, 0, 231, 9.09, 780, 61, P3
2026/08/13 17:29:54.990, 0, 0, 231, 8.99, 780, 61, P3
2026/08/13 17:29:55.540, 0, 0, 231, 8.98, 780, 61, P3
2026/08/13 17:29:56.089, 0, 0, 231, 8.97, 780, 61, P3
2026/08/13 17:29:56.639, 0, 0, 231, 8.97, 780, 61, P3
2026/08/13 17:29:57.189, 0, 0, 231, 8.95, 780, 61, P3
2026/08/13 17:29:57.737, 0, 0, 231, 8.99, 780, 61, P3
2026/08/13 17:29:58.289, 0, 0, 231, 8.97, 780, 61, P3
2026/08/13 17:29:58.837, 0, 0, 231, 8.98, 780, 62, P3
2026/08/13 17:29:59.388, 0, 0, 231, 8.98, 780, 62, P3
2026/08/13 17:29:59.931, 0, 0, 273, 4.17, 210, 61, P8
2026/08/13 17:30:00.473, 8, 7, 353, 4.31, 210, 61, P8
2026/08/13 17:30:01.014, 16, 13, 451, 4.53, 210, 61, P8
2026/08/13 17:30:01.565, 11, 8, 633, 4.43, 315, 61, P8
2026/08/13 17:30:02.112, 3, 1, 641, 3.47, 315, 61, P8
2026/08/13 17:30:02.666, 58, 44, 1013, 8.27, 315, 61, P5
2026/08/13 17:30:03.215, 2, 0, 1025, 6.93, 480, 61, P5
2026/08/13 17:30:03.761, 93, 76, 1050, 9.83, 540, 61, P3
2026/08/13 17:30:04.303, 34, 9, 1478, 10.33, 780, 62, P3
2026/08/13 17:30:04.848, 42, 14, 1480, 12.38, 780, 62, P4
2026/08/13 17:30:05.390, 48, 17, 1480, 9.59, 780, 62, P4
2026/08/13 17:30:05.932, 38, 14, 1480, 11.98, 780, 62, P4
2026/08/13 17:30:06.473, 43, 17, 1480, 12.56, 780, 62, P4
2026/08/13 17:30:07.019, 33, 5, 1490, 10.49, 780, 62, P4
2026/08/13 17:30:07.560, 32, 10, 1490, 11.01, 780, 62, P4
2026/08/13 17:30:08.113, 19, 1, 1892, 12.36, 780, 62, P3
2026/08/13 17:30:08.669, 54, 27, 1892, 12.66, 780, 63, P3
2026/08/13 17:30:09.223, 25, 3, 1892, 10.28, 780, 63, P3
2026/08/13 17:30:09.778, 42, 11, 1892, 10.86, 780, 63, P4
2026/08/13 17:30:10.331, 66, 27, 1892, 18.78, 780, 63, P3
2026/08/13 17:30:10.885, 41, 18, 1892, 9.09, 780, 63, P4
2026/08/13 17:30:11.446, 36, 11, 1892, 11.73, 780, 63, P3
2026/08/13 17:30:11.999, 0, 0, 1892, 9.32, 780, 63, P3
2026/08/13 17:30:12.707, 0, 0, 1892, 9.18, 780, 63, P3
2026/08/13 17:30:13.261, 19, 7, 1892, 10.10, 480, 63, P4
2026/08/13 17:30:13.815, 47, 11, 1894, 13.76, 780, 63, P4
2026/08/13 17:30:14.370, 2, 0, 1894, 9.07, 780, 63, P4
2026/08/13 17:30:14.924, 25, 9, 1894, 10.41, 780, 63, P4
2026/08/13 17:30:15.478, 26, 12, 1894, 8.67, 780, 63, P4
2026/08/13 17:30:16.027, 0, 0, 1894, 8.68, 780, 63, P4
2026/08/13 17:30:16.577, 15, 5, 1894, 11.54, 450, 63, P4
2026/08/13 17:30:17.127, 72, 20, 1894, 13.73, 435, 63, P4
2026/08/13 17:30:17.677, 59, 24, 1908, 12.76, 780, 64, P3
2026/08/13 17:30:18.226, 44, 13, 1908, 11.78, 780, 64, P4
2026/08/13 17:30:18.776, 41, 13, 1908, 10.20, 780, 64, P4
2026/08/13 17:30:19.326, 47, 22, 1908, 12.35, 780, 64, P4
2026/08/13 17:30:19.874, 24, 5, 1908, 11.67, 780, 64, P4
2026/08/13 17:30:20.421, 49, 17, 1908, 12.76, 780, 64, P4
2026/08/13 17:30:20.971, 28, 3, 1908, 12.54, 780, 64, P4
2026/08/13 17:30:21.520, 58, 23, 1908, 12.60, 780, 64, P3
2026/08/13 17:30:22.070, 39, 11, 1908, 12.50, 780, 64, P4
2026/08/13 17:30:22.620, 52, 17, 1908, 10.77, 780, 64, P4
2026/08/13 17:30:23.182, 52, 16, 1908, 12.50, 780, 64, P3
2026/08/13 17:30:23.731, 0, 0, 1908, 11.27, 780, 64, P4
2026/08/13 17:30:24.275, 50, 23, 1908, 13.44, 780, 64, P4
2026/08/13 17:30:24.818, 35, 13, 1908, 11.52, 780, 64, P4
2026/08/13 17:30:25.361, 0, 0, 1908, 9.36, 780, 64, P3
2026/08/13 17:30:25.907, 0, 0, 1908, 9.42, 780, 64, P3
2026/08/13 17:30:26.452, 40, 8, 1908, 12.73, 780, 64, P4
2026/08/13 17:30:26.997, 31, 11, 1908, 10.69, 780, 65, P3
2026/08/13 17:30:24.977, 0, 0, 1908, 9.74, 780, 64, P3
2026/08/13 17:30:25.521, 0, 0, 1908, 9.35, 780, 64, P3
2026/08/13 17:30:26.063, 0, 0, 1908, 9.30, 780, 64, P4
