split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,23,0.02881398408309273,0.2608695652173913,0.23205558113429856,0.13090208053588867
exemplar,all,dsp,1,0.1,0.2,2,0.15380859375,0.5,0.34619140625,0.13090208053588867
exemplar,all,dsp,2,0.2,0.3,5,0.232421875,0.6,0.367578125,0.13090208053588867
exemplar,all,dsp,3,0.3,0.4,1,0.359375,0.0,0.359375,0.13090208053588867
exemplar,all,dsp,4,0.4,0.5,3,0.4596354166666667,1.0,0.5403645833333333,0.13090208053588867
exemplar,all,dsp,5,0.5,0.6,1,0.5078125,1.0,0.4921875,0.13090208053588867
exemplar,all,dsp,6,0.6,0.7,2,0.6875,1.0,0.3125,0.13090208053588867
exemplar,all,dsp,7,0.7,0.8,5,0.7765625,1.0,0.22343749999999996,0.13090208053588867
exemplar,all,dsp,8,0.8,0.9,2,0.841796875,1.0,0.158203125,0.13090208053588867
exemplar,all,dsp,9,0.9,1.0,56,0.9876534598214286,1.0,0.012346540178571397,0.13090208053588867
exemplar,all,bram,0,0.0,0.1,11,0.009013273499228737,0.0,0.009013273499228737,0.2677492725849152
exemplar,all,bram,7,0.7,0.8,1,0.78515625,1.0,0.21484375,0.2677492725849152
exemplar,all,bram,8,0.8,0.9,2,0.841796875,1.0,0.158203125,0.2677492725849152
exemplar,all,bram,9,0.9,1.0,86,0.9900526889534884,0.686046511627907,0.30400617732558144,0.2677492725849152
exemplar,exemplar,dsp,0,0.0,0.1,23,0.02881398408309273,0.2608695652173913,0.23205558113429856,0.13090208053588867
exemplar,exemplar,dsp,1,0.1,0.2,2,0.15380859375,0.5,0.34619140625,0.13090208053588867
exemplar,exemplar,dsp,2,0.2,0.3,5,0.232421875,0.6,0.367578125,0.13090208053588867
exemplar,exemplar,dsp,3,0.3,0.4,1,0.359375,0.0,0.359375,0.13090208053588867
exemplar,exemplar,dsp,4,0.4,0.5,3,0.4596354166666667,1.0,0.5403645833333333,0.13090208053588867
exemplar,exemplar,dsp,5,0.5,0.6,1,0.5078125,1.0,0.4921875,0.13090208053588867
exemplar,exemplar,dsp,6,0.6,0.7,2,0.6875,1.0,0.3125,0.13090208053588867
exemplar,exemplar,dsp,7,0.7,0.8,5,0.7765625,1.0,0.22343749999999996,0.13090208053588867
exemplar,exemplar,dsp,8,0.8,0.9,2,0.841796875,1.0,0.158203125,0.13090208053588867
exemplar,exemplar,dsp,9,0.9,1.0,56,0.9876534598214286,1.0,0.012346540178571397,0.13090208053588867
exemplar,exemplar,bram,0,0.0,0.1,11,0.009013273499228737,0.0,0.009013273499228737,0.2677492725849152
exemplar,exemplar,bram,7,0.7,0.8,1,0.78515625,1.0,0.21484375,0.2677492725849152
exemplar,exemplar,bram,8,0.8,0.9,2,0.841796875,1.0,0.158203125,0.2677492725849152
exemplar,exemplar,bram,9,0.9,1.0,86,0.9900526889534884,0.686046511627907,0.30400617732558144,0.2677492725849152
test,2layer,dsp,0,0.0,0.1,2,0.00521087646484375,0.0,0.00521087646484375,0.0007444109235491071
test,2layer,dsp,9,0.9,1.0,12,1.0,1.0,0.0,0.0007444109235491071
test,2layer,bram,9,0.9,1.0,14,1.0,1.0,0.0,0.0
test,3layer,dsp,0,0.0,0.1,4,0.0021877288818359375,0.0,0.0021877288818359375,0.0006250653948102679
test,3layer,dsp,9,0.9,1.0,10,1.0,1.0,0.0,0.0006250653948102679
test,3layer,bram,9,0.9,1.0,14,1.0,1.0,0.0,0.0
test,all,dsp,0,0.0,0.1,24,0.004303336143493652,0.0,0.004303336143493652,0.003686327993133912
test,all,dsp,9,0.9,1.0,57,0.9965734649122807,1.0,0.0034265350877192846,0.003686327993133912
test,all,bram,0,0.0,0.1,17,0.0005321984781938441,0.0,0.0005321984781938441,0.014458725297892591
test,all,bram,2,0.2,0.3,1,0.228515625,0.0,0.228515625,0.014458725297892591
test,all,bram,9,0.9,1.0,63,0.9989459325396826,0.9841269841269841,0.014818948412698485,0.014458725297892591
test,conv1d,dsp,0,0.0,0.1,3,0.000621795654296875,0.0,0.000621795654296875,0.0003108978271484375
test,conv1d,dsp,9,0.9,1.0,3,1.0,1.0,0.0,0.0003108978271484375
test,conv1d,bram,9,0.9,1.0,6,1.0,1.0,0.0,0.0
test,conv2d,dsp,0,0.0,0.1,1,0.0028839111328125,0.0,0.0028839111328125,0.000720977783203125
test,conv2d,dsp,9,0.9,1.0,3,1.0,1.0,0.0,0.000720977783203125
test,conv2d,bram,9,0.9,1.0,4,1.0,1.0,0.0,0.0
test,dense_latency,dsp,0,0.0,0.1,7,0.00037779126848493306,0.0,0.00037779126848493306,0.00017630259195963542
test,dense_latency,dsp,9,0.9,1.0,8,1.0,1.0,0.0,0.00017630259195963542
