split,cohort,target,n_samples,tn,fp,fn,tp,accuracy,precision,recall
exemplar,all,dsp,100,21,0,13,66,0.87,1.0,0.8354430379746836
exemplar,all,bram,100,11,27,0,62,0.73,0.6966292134831461,1.0
exemplar,exemplar,dsp,100,21,0,13,66,0.87,1.0,0.8354430379746836
exemplar,exemplar,bram,100,11,27,0,62,0.73,0.6966292134831461,1.0
test,2layer,dsp,14,2,0,0,12,1.0,1.0,1.0
test,2layer,bram,14,0,0,0,14,1.0,1.0,1.0
test,3layer,dsp,14,4,0,0,10,1.0,1.0,1.0
test,3layer,bram,14,0,0,0,14,1.0,1.0,1.0
test,all,dsp,81,24,0,0,57,1.0,1.0,1.0
test,all,bram,81,18,1,0,62,0.9876543209876543,0.9841269841269841,1.0
test,conv1d,dsp,6,3,0,0,3,1.0,1.0,1.0
test,conv1d,bram,6,0,0,0,6,1.0,1.0,1.0
test,conv2d,dsp,4,1,0,0,3,1.0,1.0,1.0
test,conv2d,bram,4,0,0,0,4,1.0,1.0,1.0
test,dense_latency,dsp,15,7,0,0,8,1.0,1.0,1.0
test,dense_latency,bram,15,15,0,0,0,1.0,,
test,dense_resource,dsp,8,3,0,0,5,1.0,1.0,1.0
test,dense_resource,bram,8,1,0,0,7,1.0,1.0,1.0
test,rule4ml,dsp,20,4,0,0,16,1.0,1.0,1.0
test,rule4ml,bram,20,2,1,0,17,0.95,0.9444444444444444,1.0
