epoch,train_loss,val_r2,val_r2_lut,val_r2_ff,val_r2_dsp,val_r2_bram,val_r2_cycles_max,val_r2_interval_max,val_resource_r2,val_timing_r2,val_smape,val_smape_lut,val_smape_ff,val_smape_dsp,val_smape_bram,val_smape_cycles_max,val_smape_interval_max,val_resource_smape,val_timing_smape,val_rmse,val_rmse_lut,val_rmse_ff,val_rmse_dsp,val_rmse_bram,val_rmse_cycles_max,val_rmse_interval_max,val_resource_rmse,val_timing_rmse,val_loss,train_seconds,validation_seconds,epoch_seconds,cumulative_training_seconds,train_seconds_per_sample,data_wait_seconds,compute_submission_seconds,data_wait_fraction,peak_gpu_memory_mb
1,0.384642094373703,0.11617094278335571,0.18597733974456787,0.014209985733032227,-0.014617562294006348,0.25679200887680054,0.13056153059005737,0.12410235404968262,0.11059044301509857,0.12733194231987,63.30140686035156,55.34111785888672,55.51641082763672,97.36917114257812,47.319305419921875,54.48147201538086,69.78095245361328,63.88650131225586,62.13121032714844,84856.71875,114070.3671875,68266.09375,1939.485107421875,26.406719207763672,161957.21875,162880.703125,46075.58984375,162418.96875,0.28013479709625244,113.00572417498915,8.87982195999939,121.88555185700534,121.94509922902216,0.08171057424077306,27.98984999989625,84.9625191660889,0.24780223917893002,1277.6455078125
2,0.3037809431552887,0.23414254188537598,0.28068453073501587,0.09373700618743896,0.05291748046875,0.4751843214035034,0.26079851388931274,0.24153339862823486,0.22563083469867706,0.2511659562587738,60.714603424072266,52.25662612915039,54.46645736694336,94.52705383300781,40.500755310058594,57.59203338623047,64.94466400146484,60.437721252441406,61.268348693847656,79247.4296875,107229.5,65454.5703125,1873.82568359375,22.19027328491211,149335.25,151569.28125,43645.01953125,150452.265625,0.26103025674819946,87.33613756400882,5.202226285007782,92.5384067989944,214.73506084101973,0.06314977408822041,7.550702171196463,79.77222053380683,0.08646872937023023,1382.97607421875
3,0.28318482637405396,0.22262854874134064,0.13110554218292236,-0.04744124412536621,-0.07351303100585938,0.5197478532791138,0.308438777923584,0.4974334239959717,0.13247478008270264,0.40293610095977783,64.01366424560547,56.52345275878906,56.56263732910156,107.70692443847656,41.528778076171875,54.93312072753906,66.8270492553711,65.5804443359375,60.88008499145508,76343.0703125,117852.3125,70368.3984375,1994.981689453125,21.22726058959961,144442.90625,123378.578125,47559.234375,133910.75,0.26933753490448,97.36246325899265,4.428153835993726,101.79061962899868,317.0203979280195,0.07039946728777487,15.487573978025466,81.86603929998819,0.15908576432389265,1474.4755859375
4,0.23813800513744354,0.4461919367313385,0.6875184178352356,0.5045732259750366,0.19696056842803955,-0.1966627836227417,0.7073870897293091,0.7773755192756653,0.2980973720550537,0.7423813343048096,52.981903076171875,46.63911437988281,45.5264892578125,49.52367401123047,55.98072814941406,53.25458526611328,66.96681213378906,49.41749954223633,60.11069869995117,49483.72265625,70675.1640625,48395.234375,1725.4552001953125,33.50774002075195,93956.671875,82116.3046875,30207.33984375,88036.484375,0.19165803492069244,94.8420702709991,11.175956748978933,106.01803059899248,423.06015425300575,0.0685770573181483,14.102449085039552,80.7195723579498,0.14872546345701443,1474.4755859375
5,0.19135750830173492,0.6472004055976868,0.6904556751251221,0.5646517276763916,0.562153160572052,0.41071808338165283,0.8362060189247131,0.8190179467201233,0.5569946765899658,0.8276119828224182,48.92091751098633,43.66178512573242,42.369659423828125,54.28619384765625,40.33850860595703,49.34804153442383,63.521339416503906,45.164039611816406,56.4346923828125,43556.80078125,70342.2109375,45366.078125,1274.0789794921875,23.51369285583496,70295.8828125,74039.03125,29251.470703125,72167.453125,0.15766750276088715,86.81901204099995,12.034950260014739,98.85396583197871,522.1099086600007,0.06277585830874906,11.208136781235225,75.59570092376089,0.12912029096370387,1576.3701171875
6,0.18155552446842194,0.4932071268558502,0.6503235697746277,0.4695531129837036,0.4090418815612793,0.1933993101119995,0.50844407081604,0.7284806966781616,0.43057945370674133,0.6184623837471008,46.68534469604492,44.89609909057617,41.62320327758789,51.509605407714844,37.63129425048828,45.75910186767578,58.69277572631836,43.91504669189453,52.22593688964844,56468.59765625,74763.1796875,50076.4765625,1480.1768798828125,27.509872436523438,121777.59375,90686.640625,31586.8359375,106232.1171875,0.15469956398010254,100.07136601698585,7.4594978879904374,107.53086696000537,631.0834757490084,0.07235818222486323,23.296675823425176,76.68288523255615,0.23301438391373536,1576.3701171875
7,0.18221034109592438,0.5973711609840393,0.6482875943183899,0.5609664916992188,0.5722397565841675,0.25396329164505005,0.7468985915184021,0.8018710017204285,0.5088642835617065,0.7743847966194153,46.77874755859375,46.491424560546875,45.660240173339844,42.360225677490234,41.81553268432617,46.7957878112793,57.549285888671875,44.08185577392578,52.17253875732422,47779.046875,74980.5234375,45557.6875,1259.318115234375,26.456924438476562,87383.25,77467.046875,30455.99609375,82425.1484375,0.14562161266803741,92.10463699902175,5.625582656997722,97.73022296201088,729.1679048810038,0.06659771294217046,17.543842434941325,74.54114275204483,0.19051794816839146,1611.2890625
8,0.16587921977043152,0.42378973960876465,0.6119004487991333,0.5017404556274414,0.406255841255188,0.2749629020690918,0.3766518235206604,0.37122708559036255,0.4487149119377136,0.3739394545555115,49.87135314941406,46.522483825683594,45.242027282714844,46.532649993896484,39.91340255737305,52.30009078979492,68.71747589111328,44.552642822265625,60.50878143310547,67324.1015625,78763.7109375,48533.390625,1483.661865234375,26.0819091796875,137134.34375,138003.421875,32201.7109375,137568.875,0.1601860225200653,92.80338749301154,6.3493848710204475,99.15277530701132,828.658598776994,0.06710295552640025,19.97871474720887,72.80763563179062,0.21531954501500353,1611.2890625
9,0.16782042384147644,0.39729180932044983,0.5907609462738037,0.4866148829460144,0.24375641345977783,0.2879294753074646,0.41217637062072754,0.3625127077102661,0.40226542949676514,0.3873445391654968,48.65568161010742,46.31785583496094,45.91791534423828,51.27164840698242,39.08046340942383,49.918399810791016,59.42781066894531,45.646968841552734,54.67310333251953,67328.5078125,80880.375,49264.54296875,1674.426513671875,25.847631454467773,133169.40625,138956.453125,32961.296875,136062.9375,0.15652336180210114,73.74297992899665,3.9532499029883184,77.69623228700948,906.3865965699952,0.053321026702094466,10.70654348586686,63.02503643214004,0.14520973913448018,1611.2890625
10,0.15713681280612946,0.5913712382316589,0.6021161079406738,0.5561090111732483,0.47862106561660767,0.2882019281387329,0.8176148533821106,0.8055645823478699,0.4812619984149933,0.8115897178649902,45.3005256652832,45.7075080871582,43.07045364379883,44.514827728271484,44.53777313232422,42.517417907714844,51.45518112182617,44.4576416015625,46.986297607421875,46315.87109375,79750.3828125,45809.01953125,1390.31103515625,25.842687606811523,74178.0859375,76741.5703125,31743.890625,75459.828125,0.13549122214317322,78.45795621699654,4.882991908991244,83.34095002099639,989.7482035740104,0.0567302647989852,15.49344415278756,62.94149256622768,0.1975324364484562,1611.2890625
