split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,100,-2.4302562872568765,116.32861073811848,8233.525919675827
exemplar,all,resource,100,-1.3198822736740112,104.13742446899414,11350.012298703194
exemplar,all,timing,100,-4.651004314422607,140.7109832763672,2000.5531616210938
exemplar,exemplar,overall,100,-2.4302562872568765,116.32861073811848,8233.525919675827
exemplar,exemplar,resource,100,-1.3198822736740112,104.13742446899414,11350.012298703194
exemplar,exemplar,timing,100,-4.651004314422607,140.7109832763672,2000.5531616210938
test,2layer,overall,14,0.2085160712401072,24.29378318786621,1744.2346650958061
test,2layer,resource,14,0.02773807942867279,27.308841228485107,2220.322151452303
test,2layer,timing,14,0.5700720548629761,18.263667106628418,792.0596923828125
test,3layer,overall,14,0.27240439256032306,24.391599814097088,3118.4200624624887
test,3layer,resource,14,0.022705048322677612,29.006591320037842,4151.175488591194
test,3layer,timing,14,0.771803081035614,15.161616802215576,1052.9092102050781
test,all,overall,81,0.34683449069658917,42.48277282714844,313535.4199479421
test,all,resource,81,0.39320942759513855,41.98587512969971,33704.41117191315
test,all,timing,81,0.25408461689949036,43.4765682220459,873197.4375
test,conv1d,overall,6,-0.9380238751570383,37.258167107899986,40763.34024939934
test,conv1d,resource,6,-1.4185736924409866,31.318889379501343,3432.186155349016
test,conv1d,timing,6,0.023075759410858154,49.136722564697266,115425.6484375
test,conv2d,overall,4,-0.2691061894098918,59.59350109100342,1320885.504907012
test,conv2d,resource,4,-0.035700827836990356,45.89306116104126,17908.13236051798
test,conv2d,timing,4,-0.7359169125556946,86.99438095092773,3926840.25
test,dense_latency,overall,15,0.693384846051534,36.15504010518392,33761.41599273682
test,dense_latency,resource,15,0.6794988214969635,31.119790077209473,50599.462158203125
test,dense_latency,timing,15,0.721156895160675,46.22554016113281,85.32366180419922
test,dense_resource,overall,8,-28.091622799634933,37.3538621266683,44610.59672617912
test,dense_resource,resource,8,-42.35999384522438,38.50155830383301,66365.99310410023
test,dense_resource,timing,8,0.44511929154396057,35.05846977233887,1099.803970336914
test,rule4ml,overall,20,0.37650443116823834,72.82148615519206,14976.816730499268
test,rule4ml,resource,20,0.41612985730171204,73.3072452545166,22327.570594787598
test,rule4ml,timing,20,0.2972535789012909,71.84996795654297,275.3090019226074
