split,kernel_family,target,n_samples,mean_delta_smape,median_delta_smape,fraction_improved
exemplar,all,lut,100,44.62126596607893,37.02199118114372,0.22
exemplar,all,ff,100,46.2754726543602,41.60122267829166,0.23
exemplar,all,dsp,100,30.91596971663655,9.327015753964659,0.19
exemplar,all,bram,100,24.639418838033425,20.18394059776542,0.18
exemplar,all,cycles_max,100,28.919360333245187,34.43191283727769,0.17
exemplar,all,interval_max,100,68.74700794795143,65.77882394623559,0.11
exemplar,exemplar,lut,100,44.62126596607893,37.02199118114372,0.22
exemplar,exemplar,ff,100,46.2754726543602,41.60122267829166,0.23
exemplar,exemplar,dsp,100,30.91596971663655,9.327015753964659,0.19
exemplar,exemplar,bram,100,24.639418838033425,20.18394059776542,0.18
exemplar,exemplar,cycles_max,100,28.919360333245187,34.43191283727769,0.17
exemplar,exemplar,interval_max,100,68.74700794795143,65.77882394623559,0.11
test,2layer,lut,14,9.704641263020623,7.496405009579316,0.2857142857142857
test,2layer,ff,14,4.744843270945202,2.1735380120157064,0.5
test,2layer,dsp,14,18.117586712542394,11.978302969069771,0.14285714285714285
test,2layer,bram,14,5.469351550005137,3.9055247996801716,0.2857142857142857
test,2layer,cycles_max,14,8.418996129123451,10.79199372150819,0.21428571428571427
test,2layer,interval_max,14,14.462021848335626,13.613252037191792,0.07142857142857142
test,3layer,lut,14,8.25997181073974,9.692853622156449,0.2857142857142857
test,3layer,ff,14,6.936400171006452,8.847279955415134,0.2857142857142857
test,3layer,dsp,14,14.19534761121599,3.2755798551086843,0.14285714285714285
test,3layer,bram,14,4.131767062696895,5.934531500714975,0.2857142857142857
test,3layer,cycles_max,14,3.3453165016290285,-2.885817856323808,0.5714285714285714
test,3layer,interval_max,14,7.568670256602552,8.776939128590126,0.14285714285714285
test,all,lut,81,19.55640709354073,14.415021710967801,0.24691358024691357
test,all,ff,81,18.520412980798277,12.039948412077365,0.2839506172839506
test,all,dsp,81,20.39318204394005,2.66444394668609,0.14814814814814814
test,all,bram,81,12.367470121060842,2.8346832904550325,0.19753086419753085
test,all,cycles_max,81,15.47479904093545,12.65592808122595,0.3333333333333333
test,all,interval_max,81,21.314246985031822,14.913419269932874,0.14814814814814814
test,conv1d,lut,6,25.31906380943892,23.270482542880323,0.0
test,conv1d,ff,6,21.68413873522391,21.92419733628617,0.0
test,conv1d,dsp,6,6.52373834405239,0.0,0.16666666666666666
test,conv1d,bram,6,15.053676963122266,18.860420226975542,0.3333333333333333
test,conv1d,cycles_max,6,7.328024962147825,8.82981332591331,0.3333333333333333
test,conv1d,interval_max,6,12.72410351396104,11.989752561910535,0.16666666666666666
test,conv2d,lut,4,33.511827841518745,31.611892513586852,0.0
test,conv2d,ff,4,11.396091288470952,9.150105694889206,0.5
test,conv2d,dsp,4,9.96545608383177,5.561703922213591,0.25
test,conv2d,bram,4,55.13728733662974,57.18060539078722,0.0
test,conv2d,cycles_max,4,30.596095788317633,27.271187432217072,0.5
test,conv2d,interval_max,4,18.874162248194263,8.42990655570307,0.5
test,dense_latency,lut,15,31.63563338543896,30.261939880987967,0.2
test,dense_latency,ff,15,30.243562862717003,19.99149904168288,0.13333333333333333
test,dense_latency,dsp,15,11.660952326667793,0.0,0.13333333333333333
test,dense_latency,bram,15,0.0,0.0,0.0
test,dense_latency,cycles_max,15,30.889613482044798,25.55469866260264,0.13333333333333333
test,dense_latency,interval_max,15,36.4924969844686,44.573130826834884,0.06666666666666667
test,dense_resource,lut,8,25.83572391495231,0.33805786989629105,0.5
test,dense_resource,ff,8,26.395421712002673,9.253246372998802,0.125
test,dense_resource,dsp,8,31.822935349122105,26.19395619999085,0.0
test,dense_resource,bram,8,8.44360367323024,2.731116310188858,0.25
test,dense_resource,cycles_max,8,34.361190417705934,32.43327892158918,0.0
test,dense_resource,interval_max,8,13.055104661832978,23.41288441903384,0.25
test,rule4ml,lut,20,18.26912026101214,9.80015883885039,0.25
test,rule4ml,ff,20,24.8055014527667,32.464502768041456,0.35
test,rule4ml,dsp,20,34.54823214669457,28.544985514226266,0.2
test,rule4ml,bram,20,24.44646893585027,19.905969503947098,0.2
test,rule4ml,cycles_max,20,9.208604349337987,0.4821411441425596,0.5
test,rule4ml,interval_max,20,30.71773770901036,31.765349317099535,0.15
