split,feature,bin,lower,upper,scope,n_samples,r2,smape,rmse
exemplar,instruction_count,0,3808.0,10858.0,overall,24,-82.5951061482552,143.47058405884374,7408.5437882703445
exemplar,instruction_count,0,3808.0,10858.0,resource,24,-29.448933872929647,125.65705045376589,10484.430363461886
exemplar,instruction_count,0,3808.0,10858.0,timing,24,-188.88745069890632,179.09765126899944,1256.7706378872622
exemplar,instruction_count,1,10858.0,11004.0,overall,25,-16.03818908357968,136.31301591452564,8617.797029395862
exemplar,instruction_count,1,10858.0,11004.0,resource,25,-20.942567810662485,121.49704207251011,12207.172482052325
exemplar,instruction_count,1,10858.0,11004.0,timing,25,-6.229431629414076,165.94496359855668,1439.0461240829356
exemplar,instruction_count,2,11004.0,11751.0,overall,24,-12.227475960343881,110.41508123585612,8452.039764218147
exemplar,instruction_count,2,11004.0,11751.0,resource,24,-9.886290115049238,107.69511071047536,11042.323425797867
exemplar,instruction_count,2,11004.0,11751.0,timing,24,-16.909847650933166,115.85502228661767,3271.4724410587114
exemplar,instruction_count,3,11751.0,12635.0,overall,27,-0.428137346252851,78.95481330707229,7928.396199631591
exemplar,instruction_count,3,11751.0,12635.0,resource,27,0.009086767446799204,65.77275933334612,11191.757092571886
exemplar,instruction_count,3,11751.0,12635.0,timing,27,-1.3025855736521512,105.31892125452464,1401.6744137510009
exemplar,block_count,0,235.0,752.0,overall,20,-263.49187309267916,145.70535048820332,6657.655201462504
exemplar,block_count,0,235.0,752.0,resource,20,-59.3200036810259,125.67578628981906,9261.992613006465
exemplar,block_count,0,235.0,752.0,timing,20,-671.8356119159856,185.76447888497185,1448.9803783745813
exemplar,block_count,1,752.0,776.0,overall,24,-23.367235383397343,139.85028737189756,9333.18286272686
exemplar,block_count,1,752.0,776.0,resource,24,-2.8769707408739205,124.30573143793288,13655.24552156463
exemplar,block_count,1,752.0,776.0,timing,24,-64.34776466844419,170.9393992398269,689.057545051324
exemplar,block_count,2,776.0,784.0,overall,20,-9.556459368411334,120.36612056001036,9027.833729524269
exemplar,block_count,2,776.0,784.0,resource,20,-7.008461238834902,111.4813147606563,11995.787049870733
exemplar,block_count,2,776.0,784.0,timing,20,-14.652455627564194,138.1357321587185,3091.9270888313417
exemplar,block_count,3,784.0,893.0,overall,36,-1.3412802504815204,82.08402795380759,7530.692063314193
exemplar,block_count,3,784.0,893.0,resource,36,-0.21057105399770637,74.64619017319417,10259.645123860566
exemplar,block_count,3,784.0,893.0,timing,36,-3.6026986434491484,96.95970351503445,2072.785942221446
exemplar,maximum_block_length,0,199.0,318.0,overall,14,0.5915333750670179,60.588477092930496,7310.7004450069335
exemplar,maximum_block_length,0,199.0,318.0,resource,14,0.6762018468331199,44.641663769333974,10438.256131339886
exemplar,maximum_block_length,0,199.0,318.0,timing,14,0.4221964315348139,92.48210374012353,1055.5890723410284
exemplar,maximum_block_length,1,318.0,376.0,overall,86,-3.450960028429339,125.40258889448678,8306.433578268934
exemplar,maximum_block_length,1,318.0,376.0,resource,86,-1.9118752523639895,113.82278056958387,11404.67846169591
exemplar,maximum_block_length,1,318.0,376.0,timing,86,-6.529129580560039,148.5622055442926,2109.9438114149807
exemplar,loop_block_fraction,0,0.005154639016836882,0.005662514362484217,overall,21,-11.291337547342536,135.82268969405666,8818.215028500934
exemplar,loop_block_fraction,0,0.005154639016836882,0.005662514362484217,resource,21,-16.622207606554333,124.91684164377028,12857.539234084796
exemplar,loop_block_fraction,0,0.005154639016836882,0.005662514362484217,timing,21,-0.6295974289189422,157.6343857946295,739.5666173332105
exemplar,loop_block_fraction,1,0.005662514362484217,0.020408162847161293,overall,22,-3.747715982569861,95.35049394364846,6412.124243086168
exemplar,loop_block_fraction,1,0.005662514362484217,0.020408162847161293,resource,22,0.2864664799376734,79.84525234968963,9373.936634303873
exemplar,loop_block_fraction,1,0.005662514362484217,0.020408162847161293,timing,22,-11.81608090758493,126.36097713156612,488.4994606507596
exemplar,loop_block_fraction,2,0.020408162847161293,0.02129077957943082,overall,32,-6.655243934953788,116.70930848739626,8627.009491724917
exemplar,loop_block_fraction,2,0.020408162847161293,0.02129077957943082,resource,32,-3.5128262087054862,109.40964123246829,11426.855529950995
exemplar,loop_block_fraction,2,0.020408162847161293,0.02129077957943082,timing,32,-12.940079387450393,131.30864299725224,3027.3174152727606
exemplar,loop_block_fraction,3,0.02129077957943082,0.03404255211353302,overall,25,-2.8519149416041985,117.9270440917901,8078.163611412976
exemplar,loop_block_fraction,3,0.02129077957943082,0.03404255211353302,resource,25,-2.830080750737904,101.31138704414217,11171.558282358967
exemplar,loop_block_fraction,3,0.02129077957943082,0.03404255211353302,timing,25,-2.895583323336788,151.15835818708592,1891.3742695209962
exemplar,block_scc_fraction,0,0.5146276595744681,0.5191326530612245,overall,14,-57128.91171661951,147.73970843080835,9247.745238106932
exemplar,block_scc_fraction,0,0.5146276595744681,0.5191326530612245,resource,14,-4.717108591322308,129.73220457877258,13352.422806323213
exemplar,block_scc_fraction,0,0.5146276595744681,0.5191326530612245,timing,14,-171377.3009326759,183.7547161348799,1038.3901016743719
exemplar,block_scc_fraction,1,0.5191326530612245,0.5231362467866324,overall,32,-4.194144417086608,108.54618641853882,8183.426832752096
exemplar,block_scc_fraction,1,0.5191326530612245,0.5231362467866324,resource,32,-4.263744580381054,104.23858844818037,11247.350166188577
exemplar,block_scc_fraction,1,0.5191326530612245,0.5231362467866324,timing,32,-4.054944090497717,117.16138235925573,2055.5801658791333
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,overall,28,-9.401915704064017,127.9302786199222,8920.798361860276
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,resource,28,-1.5535661812072914,114.94514172311098,12004.505047347408
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,timing,28,-25.098614749777468,153.90055241354463,2753.3849908860147
exemplar,block_scc_fraction,3,0.7368421052631579,0.8608923884514436,overall,26,-0.2030812272989858,96.49921690171185,6252.863867461336
exemplar,block_scc_fraction,3,0.7368421052631579,0.8608923884514436,resource,26,0.006270038556445479,78.59202919473816,8797.296381539312
exemplar,block_scc_fraction,3,0.7368421052631579,0.8608923884514436,timing,26,-0.6217837590098484,132.3135923156592,1163.99883930538
exemplar,call_depth,0,2.0,4.0,overall,14,0.5915333750670179,60.588477092930496,7310.7004450069335
exemplar,call_depth,0,2.0,4.0,resource,14,0.6762018468331199,44.641663769333974,10438.256131339886
exemplar,call_depth,0,2.0,4.0,timing,14,0.4221964315348139,92.48210374012353,1055.5890723410284
