monotonic_seconds,system_cpu_percent,training_process_cpu_percent,training_tree_cpu_percent,training_tree_rss_mb,system_disk_read_mb_s,system_disk_write_mb_s
150806.473508655,0.0,74.0,74.0,867.1953125,0.0,0.0
150806.998616242,20.6,21.1,21.1,990.0390625,0.0,0.0
150807.524079437,6.2,0.0,0.0,1073.34375,0.0,0.0
150808.064056019,7.5,0.0,0.0,1284.4140625,0.0,0.0
150808.593065139,8.2,1.9,1.9,1348.33203125,0.0,0.0
150811.774694729,7.1,0.3,0.3,1537.70703125,0.004911005369389372,0.09822010738778744
150812.292579385,7.7,0.0,0.0,1600.5546875,0.0,0.0
150812.799474686,10.8,7.8,7.8,2535.12890625,0.0,0.0
150813.349318307,12.5,0.0,0.0,2613.9140625,0.0,0.0
150813.858252459,19.4,78.6,78.6,2712.5703125,0.0,0.0
150814.362072166,20.1,110.8,110.8,2913.03125,0.0,0.0
150814.869590333,21.7,116.7,116.7,3109.1796875,0.0,0.0
150815.373849139,13.6,103.2,103.2,3240.63671875,0.0,0.8211309253726544
150815.880187308,12.2,102.6,102.6,3446.30859375,0.0,0.20058235032544514
150816.385835119,12.7,90.5,90.5,3475.14453125,0.0,0.007725238624774999
150816.89402481,23.2,92.8,92.8,3592.14453125,0.0,0.0
150817.399533734,21.3,90.4,90.4,3622.5546875,0.0,0.0
150817.907814028,28.0,87.2,87.2,3684.62890625,0.015370456206893627,0.0
150818.41241779,26.8,92.4,92.4,3687.10546875,0.0,0.0
150818.922526787,26.8,108.5,108.5,3697.625,0.007657677129773257,0.0
150819.430976171,30.7,106.5,106.5,3697.703125,0.0,0.0
150819.93744835,28.5,122.6,122.6,3683.84765625,0.007712664509061646,0.0
150820.452922901,19.0,96.3,96.3,3697.69921875,0.0,0.0
150820.959128679,20.6,92.9,92.9,3737.01171875,0.0,1.0417576663522816
150821.464155231,25.2,124.6,124.6,3711.3359375,0.0,0.0
150821.969984654,20.6,103.9,103.9,3694.46484375,0.0,0.0
150822.480431777,20.0,117.1,117.1,3692.38671875,0.0,0.0
150822.994628347,17.2,108.1,108.1,3738.02734375,0.0,0.0
150823.522167857,18.0,97.4,97.4,3771.58984375,0.0,0.0
150824.036570956,18.3,101.9,101.9,3771.59375,0.0,0.0
150824.584323354,22.4,98.2,98.2,3773.40625,0.0,0.0
150825.110785052,18.6,85.9,85.9,3780.66015625,0.0,0.0
150825.620303413,12.7,0.0,0.0,3785.60546875,0.0,0.0
150826.129582557,12.5,0.0,0.0,3795.45703125,0.0,0.2301046515937829
150826.634183381,16.1,15.9,15.9,3808.83984375,0.0,0.0
150827.143001829,19.0,66.9,66.9,3764.09375,0.0,0.0
150827.648189017,19.5,91.1,91.1,3767.18359375,0.0,0.0
150828.152458309,14.0,7.9,7.9,3777.0234375,0.0,0.0
150828.656559138,15.5,29.6,29.6,3781.265625,0.0,0.0
150829.168044212,16.3,51.2,51.2,3781.53125,0.0,0.0
150830.128922654,19.0,62.1,62.1,3791.4296875,0.0,0.0
150830.652454406,20.7,129.4,129.4,3791.69921875,0.0,0.12684283187512174
150831.167940183,13.9,102.3,102.3,3774.81640625,0.0,0.6592689171379132
150831.674186241,17.6,106.8,106.8,3781.48046875,0.0,0.0
150832.18140871,18.7,90.6,90.6,3783.22265625,0.0,0.0
150832.687028067,22.2,105.9,105.9,3821.921875,0.0,0.0
150833.19663362,24.7,108.2,108.2,3793.984375,0.0,0.0
150833.707483669,19.1,121.9,121.9,3780.34765625,0.0,0.0
150834.212462051,18.4,109.0,109.0,3782.796875,0.0,0.0
150834.741754563,13.8,110.6,110.6,3783.47265625,0.0,0.0
150835.301499544,15.7,96.7,96.7,3785.97265625,0.0,0.0
150835.805594114,21.4,109.5,109.5,3793.21484375,0.0,0.10073754613106266
150836.332192774,19.5,100.0,100.0,3793.21484375,0.0,0.48216273472395293
150836.837489474,21.3,106.7,106.7,3775.35546875,0.0,0.0
150837.344453214,17.2,41.4,41.4,3826.84375,0.0,0.0
150837.849732546,20.4,79.2,79.2,3796.84765625,0.0,0.0
150838.354474559,16.2,43.4,43.4,3800.94140625,0.0,0.0
150838.862514232,17.3,65.2,65.2,3838.43359375,0.0,0.0
150839.379850519,13.2,0.0,0.0,3845.65234375,0.0,0.0
150839.884324216,16.1,35.5,35.5,3782.3671875,0.0,0.061945746996647046
150840.391949892,18.8,90.7,90.7,3782.375,0.0,0.0
150840.899791153,21.7,29.6,29.6,3812.5390625,0.0,0.05384310433002595
150844.004387024,18.7,39.7,39.7,3780.46484375,0.0,0.012582152918793048
150844.534039171,20.8,104.5,104.5,3780.48046875,0.0,0.0
150845.048390682,20.6,100.5,100.5,3798.0,0.007594514483757692,0.0
150845.55598796,17.6,122.3,122.3,3797.7734375,0.007695569242369176,0.0
150846.063566048,17.2,101.0,101.0,3797.8125,0.0,0.9158073624333799
150846.580178322,16.8,115.3,115.3,3780.84375,0.0,0.0
150847.087244085,15.9,99.6,99.6,3785.74609375,0.0,0.0
150847.618115782,21.2,99.3,99.3,3786.390625,0.014716361870682907,0.0
150848.124699366,35.9,102.5,102.5,3786.43359375,0.05397677868929878,0.0
150848.630991664,33.0,94.5,94.5,3786.4375,0.007715404748272566,0.0
150849.139384426,26.2,27.7,27.7,3789.4375,0.08451880752539534,0.0
150849.642947196,24.6,0.0,0.0,3791.02734375,0.15514451157756384,0.0
150850.146199563,24.0,2.0,2.0,3792.8125,0.10090613245059553,0.0
150850.65034048,30.4,0.0,0.0,3794.05078125,0.3486748329082664,0.0
150851.153967464,25.8,0.0,0.0,3794.73828125,0.0077562365087031,0.155124730174062
150851.657510446,23.9,2.0,2.0,3795.94140625,0.038787652092639346,0.8998735285492329
150852.161083883,26.6,0.0,0.0,3798.70703125,0.12411298017179788,0.0
150852.664445287,25.7,2.0,2.0,3800.5859375,0.08536361679405408,0.0
150853.17850731,28.9,1.9,1.9,3803.51953125,2.0440748450546082,0.0
150853.682297329,30.9,0.0,0.0,3803.51953125,0.5737757579263822,0.0
150854.186087897,39.9,0.0,0.0,3862.421875,2.768077329427311,0.0
150854.690521475,30.9,19.6,19.6,3771.2109375,3.0897898514009356,0.0
150855.203382507,35.9,88.4,88.4,3781.23046875,5.659123171487923,0.0
150855.723117507,24.5,92.8,92.8,3788.6875,0.5636887067350765,0.007515849423134353
150856.230413024,19.4,94.5,94.5,3811.5390625,0.0,0.6083116047065623
150856.735991505,17.8,43.3,43.3,3826.0859375,0.0,0.8730716725087997
150857.243623119,18.3,73.3,73.3,3840.5,0.0,0.0
150857.747460461,17.5,7.9,7.9,3817.58203125,0.0,0.015505996377829083
150858.267540125,21.3,103.4,103.4,3779.36328125,0.0,0.0
150858.782196652,21.0,114.3,114.3,3783.75390625,0.0,0.0
150859.294169763,16.3,117.2,117.2,3790.4140625,0.0,0.0
150859.816050987,17.5,103.1,103.1,3808.29296875,0.0,0.0
150860.343957832,18.4,104.2,104.2,3845.41796875,0.0,0.0
150860.851272364,24.6,118.4,118.4,3791.984375,0.0,0.20019631528879628
150861.372760984,17.1,115.3,115.3,3794.125,0.0,0.0
150861.881776053,15.5,104.3,104.3,3799.921875,0.0,0.42207738648022836
150862.38881094,17.1,109.2,109.2,3805.0234375,0.0,0.0
150862.900678626,19.1,103.0,103.0,3792.5546875,0.0,0.0
150863.431778217,18.2,101.3,101.3,3807.4609375,0.0,0.0
150863.936475204,21.4,107.1,107.1,3813.25,0.0,0.0
150864.443339447,20.0,92.7,92.7,3815.4140625,0.0,0.0
150864.952717778,20.2,104.2,104.2,3795.53125,0.0,0.0
150865.469040916,20.5,104.5,104.5,3798.64453125,0.0,0.0
150865.982472454,16.5,70.1,70.1,3801.6875,0.0,0.03804061214607316
150866.487798605,15.8,27.6,27.6,3833.15625,0.0,0.0
150866.997074586,22.8,102.4,102.4,3830.4140625,0.0,0.01534040538251695
150867.500858688,24.4,110.6,110.6,3830.47265625,0.0,0.0
150868.023010646,21.8,111.1,111.1,3808.28515625,0.0,0.0
150868.542361745,19.9,129.2,129.2,3810.15625,0.0,0.0
150869.049514829,16.6,122.4,122.4,3816.76171875,0.0,0.0
150869.563407379,13.2,105.5,105.5,3802.27734375,0.0,0.0
150870.069830795,14.9,106.2,106.2,3808.9765625,0.0,0.0
150870.576596167,18.9,104.6,104.6,3832.0546875,0.0,0.0
150871.101138986,20.9,105.3,105.3,3834.75390625,0.0,0.037234805800714164
150871.6332363,20.8,112.4,112.4,3831.3125,0.0,0.0
150872.14111554,17.3,123.8,123.8,3808.89453125,0.0,0.015382593704701433
150872.650620748,20.8,103.0,103.0,3845.6640625,0.4906721189004836,0.053667263004740395
150875.747068936,16.6,106.6,106.6,3832.3046875,12.85116570143806,0.0
150876.251398438,19.0,92.6,92.6,3895.22265625,10.897823205264007,0.0
150876.759154897,20.4,88.5,88.5,3862.3359375,14.701622436590451,0.06154525352837446
150877.284660351,17.6,117.7,117.7,3820.51171875,28.19458130747738,0.03716659808525887
150877.799209094,16.5,108.2,108.2,3813.3359375,36.21194834026964,0.0
150878.314514939,14.1,108.3,108.3,3846.375,41.60908799634926,0.0
150878.820454158,18.3,98.8,98.8,3824.67578125,23.285899881911085,0.0
150879.354693114,19.8,105.1,105.1,3845.6484375,26.695392745038294,0.0
150879.861078573,21.0,92.7,92.7,3854.07421875,0.0,0.0
150880.36849335,21.2,93.4,93.4,3858.05859375,0.8160237320373798,0.0
150880.884670837,16.9,13.8,13.8,3857.3125,0.9913620079936063,0.0
150881.399296492,17.8,71.8,71.8,3824.71484375,18.976172107362082,0.0
150881.906719551,17.9,92.7,92.7,3843.45703125,26.22010817867911,0.046189268664731255
150882.411039428,12.5,7.9,7.9,3847.5859375,0.0,0.0077455800936300405
150882.921162753,12.4,2.0,2.0,3852.95703125,0.0,0.2220663993411342
150883.424961031,13.4,7.9,7.9,3826.55859375,0.0,0.0
150883.935200524,22.4,102.7,102.7,3824.7421875,1.240226420533235,0.0
150884.43896742,17.5,81.4,81.4,3834.98828125,14.407085018163167,0.0
150884.949085959,17.3,58.8,58.8,3860.49609375,1.8071779978664098,0.0
150885.461605365,12.1,2.0,2.0,3862.77734375,0.0,0.0
150885.965116795,14.3,15.7,15.7,3829.453125,4.623777855476145,0.0
150886.479374872,20.1,98.4,98.4,3841.0390625,25.279136257996175,0.0
150886.985833034,14.4,0.0,0.0,3903.4765625,7.558620409645605,0.06941590172123516
150887.491799975,17.6,66.9,66.9,3841.953125,13.248148163573418,0.038601830313442366
150888.000667284,16.9,106.4,106.4,3852.3125,28.617479924202616,0.0
150888.507300934,18.4,117.1,117.1,3862.46875,32.59875257082333,0.0
150889.039779141,15.5,115.5,115.5,3831.35546875,31.126567307879785,0.0
150889.546732095,11.3,111.0,111.0,3814.54296875,0.0,0.0
150890.05003028,14.5,103.2,103.2,3820.125,25.286327031970615,0.0
150890.556057402,19.4,92.5,92.5,3838.09765625,22.672018457582055,0.0
150891.066927111,17.3,64.9,64.9,3865.375,5.084772504896547,0.0
150891.570622804,14.9,5.9,5.9,3882.53125,0.2714312468907503,0.0
150892.078246069,21.7,90.0,90.0,3844.0859375,40.88446625844233,0.07695175279209925
150892.59471388,20.8,113.1,113.1,3835.60546875,59.82645353874483,0.0
150893.101631742,18.8,92.7,92.7,3873.51171875,11.61276646852589,0.061647068180628484
150893.609335087,23.8,83.1,83.1,3824.50390625,9.25583570841931,0.0
150894.131220886,23.6,107.4,107.4,3834.08984375,11.130009211457958,0.0
150894.649813909,20.4,102.1,102.1,3823.703125,4.489310300588759,0.0
150895.163736313,19.2,91.1,91.1,3826.71875,1.2085360458351557,0.0
150895.671070973,16.4,51.2,51.2,3833.4453125,48.407088428498376,0.0
150896.186543301,18.7,91.3,91.3,3836.99609375,0.9472501693643938,0.0
150896.696313511,19.3,50.9,50.9,3845.91015625,0.0,0.0
150897.212721216,16.9,3.9,3.9,3886.51171875,0.0,0.11346412811571782
150897.716817493,13.0,2.0,2.0,3892.30859375,9.027603371886736,0.0
150898.224512654,16.3,55.3,55.3,3847.94921875,31.930455015078824,0.9155961799504531
150898.749990799,16.9,107.6,107.6,3835.265625,4.579162849941635,0.0
150899.257535777,19.7,92.9,92.9,3884.30859375,20.287610845087897,0.0
150899.762441333,22.7,128.0,128.0,3820.09375,38.110468920405125,0.0
150900.28310516,21.5,113.1,113.1,3834.80078125,41.66105868247105,0.0
150900.802232004,18.9,92.7,92.7,3880.51171875,12.408154816729144,0.0
150901.309102145,21.0,122.6,122.6,3828.31640625,25.9250327397661,0.0
150901.838842547,15.9,109.2,109.2,3832.04296875,23.46373327926929,0.0958606325048714
150902.368626906,14.8,101.1,101.1,3832.05859375,0.0,0.0
150902.877519408,16.6,108.4,108.4,3834.9921875,78.36410655222795,0.0
150903.384421772,18.8,93.7,93.7,3867.98046875,5.679409792664851,0.3775998369614351
150903.912202561,20.4,138.9,138.9,3820.98828125,0.0,0.0592101884926266
150904.424669122,19.9,105.2,105.2,3849.62890625,17.64596841696866,0.0
150904.931829137,20.1,114.9,114.9,3815.67578125,0.26957714716699527,0.0
150908.065260043,18.2,103.4,103.4,3863.3828125,15.682689829244534,0.011219730402480192
150908.569561314,16.9,7.9,7.9,3877.93359375,46.06466428862262,0.2943429028027005
150909.083807019,12.8,0.0,0.0,3880.24609375,0.0,0.5621097020361568
150909.624541684,12.3,0.0,0.0,3903.05078125,0.0,0.0
150910.128073098,14.8,0.0,0.0,3910.58203125,0.0,0.0
150910.643792068,17.8,17.3,17.3,3880.28125,0.5302064029059285,0.0
150911.151525637,18.3,105.5,105.5,3880.3125,5.577790051694782,0.0
150911.664256879,14.8,108.7,108.7,3880.32421875,22.726026414992464,0.0
150912.170968354,18.3,92.8,92.8,3894.53515625,19.44215393984488,0.13105337707270537
150912.674625951,21.1,90.5,90.5,3889.35546875,9.648171751875994,0.0
150913.202803818,19.0,89.7,89.7,3926.73828125,56.93956643930121,0.0
150913.706606459,23.5,114.7,114.7,3895.87109375,20.484832076370854,0.6202825761202378
150914.216309569,20.3,125.1,125.1,3895.89453125,29.574508089546605,0.0
150914.726731368,14.7,120.4,120.4,3895.9140625,29.532866306850185,0.0
150915.232420837,11.2,92.6,92.6,3895.9140625,35.896226562039054,0.0
150915.740385177,17.0,109.2,109.2,3895.953125,15.14162637931814,0.0
150916.25429091,18.5,104.5,104.5,3898.14453125,16.92765460907958,0.0
150916.761106314,19.7,129.9,129.9,3903.99609375,19.16069918856316,0.0
150917.2667789,14.4,109.0,109.0,3936.29296875,30.930339972685307,0.038624300665191444
150917.7747477,12.4,108.3,108.3,3904.03125,1.7609964430994183,0.007689940799560778
150918.278712609,8.4,105.1,105.1,3904.1796875,14.16889325513703,0.0
