timestamp,utilization_gpu_percent,utilization_memory_percent,memory_used_mb,power_draw_w,clock_sm_mhz,temperature_c,pstate
2026/08/13 18:04:54.704, 0, 0, 129, 3.03, 210, 56, P8
2026/08/13 18:04:55.270, 8, 0, 231, 9.22, 210, 56, P3
2026/08/13 18:04:55.831, 0, 0, 231, 8.62, 780, 57, P3
2026/08/13 18:04:56.378, 0, 0, 231, 8.61, 780, 57, P3
2026/08/13 18:04:56.923, 0, 0, 231, 8.60, 780, 57, P3
2026/08/13 18:04:57.467, 0, 0, 231, 8.58, 780, 57, P3
2026/08/13 18:04:58.012, 0, 0, 231, 8.62, 780, 57, P3
2026/08/13 18:04:55.838, 0, 0, 231, 8.60, 780, 57, P3
2026/08/13 18:04:56.384, 0, 0, 231, 8.61, 780, 57, P3
2026/08/13 18:04:57.005, 0, 0, 231, 8.65, 780, 57, P3
2026/08/13 18:04:57.549, 0, 0, 231, 8.70, 780, 57, P3
2026/08/13 18:04:58.096, 0, 0, 231, 8.70, 780, 57, P3
2026/08/13 18:04:58.642, 0, 0, 231, 8.66, 780, 58, P3
2026/08/13 18:04:59.187, 0, 0, 231, 8.72, 780, 58, P3
2026/08/13 18:04:59.732, 0, 0, 231, 8.66, 780, 58, P8
2026/08/13 18:05:00.276, 0, 0, 231, 3.86, 210, 57, P8
2026/08/13 18:05:00.824, 1, 0, 275, 3.17, 210, 57, P8
2026/08/13 18:05:01.372, 1, 1, 319, 3.00, 210, 57, P8
2026/08/13 18:05:01.918, 1, 0, 344, 3.05, 210, 57, P8
2026/08/13 18:05:02.467, 2, 0, 348, 3.15, 210, 57, P8
2026/08/13 18:05:03.028, 6, 0, 348, 3.23, 210, 57, P8
2026/08/13 18:05:03.593, 0, 0, 350, 3.27, 210, 57, P8
2026/08/13 18:05:04.150, 6, 0, 350, 3.19, 210, 57, P8
2026/08/13 18:05:04.701, 1, 1, 364, 3.39, 210, 57, P8
2026/08/13 18:05:05.249, 15, 9, 426, 3.55, 210, 57, P8
2026/08/13 18:05:05.796, 55, 46, 570, 3.63, 210, 57, P8
2026/08/13 18:05:06.345, 18, 11, 648, 3.58, 285, 57, P8
2026/08/13 18:05:06.894, 90, 77, 1514, 9.84, 285, 57, P3
2026/08/13 18:05:07.440, 6, 0, 1532, 8.74, 780, 57, P3
2026/08/13 18:05:07.986, 4, 0, 1540, 8.73, 780, 58, P3
2026/08/13 18:05:08.534, 1, 0, 1540, 8.68, 780, 58, P3
2026/08/13 18:05:09.080, 16, 3, 1540, 7.76, 780, 58, P5
2026/08/13 18:05:09.627, 97, 71, 1570, 13.94, 210, 57, P3
2026/08/13 18:05:10.174, 53, 16, 2280, 13.69, 810, 58, P4
2026/08/13 18:05:10.722, 78, 42, 2358, 12.45, 780, 59, P3
2026/08/13 18:05:11.269, 46, 14, 2358, 13.00, 780, 59, P4
2026/08/13 18:05:11.816, 89, 49, 2466, 15.19, 780, 59, P3
2026/08/13 18:05:12.363, 65, 33, 2466, 17.64, 780, 59, P3
2026/08/13 18:05:12.916, 68, 29, 2466, 15.95, 780, 59, P3
2026/08/13 18:05:13.469, 50, 13, 2466, 14.92, 780, 59, P4
2026/08/13 18:05:14.022, 62, 15, 2466, 13.44, 780, 60, P3
2026/08/13 18:05:14.588, 29, 1, 2466, 12.29, 780, 59, P3
2026/08/13 18:05:15.145, 2, 0, 2466, 8.54, 780, 59, P4
2026/08/13 18:05:15.709, 69, 26, 2466, 13.99, 780, 60, P3
2026/08/13 18:05:16.264, 1, 0, 2466, 8.91, 780, 59, P3
2026/08/13 18:05:16.819, 78, 33, 2466, 11.64, 780, 60, P3
2026/08/13 18:05:17.373, 79, 42, 2466, 14.28, 780, 60, P3
2026/08/13 18:05:17.927, 79, 31, 2466, 19.31, 780, 61, P3
2026/08/13 18:05:18.481, 76, 36, 2466, 13.00, 780, 60, P3
2026/08/13 18:05:19.034, 74, 26, 2474, 13.52, 780, 61, P3
2026/08/13 18:05:19.587, 85, 42, 2474, 14.46, 780, 61, P3
2026/08/13 18:05:20.142, 56, 16, 2474, 15.22, 780, 61, P3
2026/08/13 18:05:20.695, 70, 31, 2474, 15.40, 780, 61, P3
2026/08/13 18:05:21.246, 76, 26, 2474, 17.21, 780, 61, P3
2026/08/13 18:05:21.795, 0, 0, 2474, 8.92, 780, 61, P3
2026/08/13 18:05:22.345, 13, 7, 2522, 15.42, 780, 60, P3
2026/08/13 18:05:22.894, 0, 0, 2522, 8.97, 780, 61, P3
2026/08/13 18:05:23.444, 56, 17, 2522, 18.01, 780, 61, P3
2026/08/13 18:05:23.993, 0, 0, 2522, 8.97, 780, 60, P3
2026/08/13 18:05:24.545, 1, 0, 2522, 8.89, 780, 60, P3
2026/08/13 18:05:25.094, 0, 0, 2522, 8.89, 780, 60, P3
2026/08/13 18:05:25.643, 61, 13, 2798, 17.10, 780, 61, P3
2026/08/13 18:05:26.193, 42, 11, 2824, 11.75, 780, 61, P4
2026/08/13 18:05:26.744, 78, 37, 2872, 9.52, 780, 62, P3
2026/08/13 18:05:27.295, 25, 15, 2872, 12.98, 780, 61, P3
2026/08/13 18:05:27.850, 55, 10, 2872, 14.84, 780, 61, P3
2026/08/13 18:05:25.746, 72, 27, 2872, 14.24, 780, 61, P3
2026/08/13 18:05:26.297, 55, 13, 2872, 10.46, 780, 61, P3
2026/08/13 18:05:26.846, 0, 0, 2872, 9.03, 780, 61, P3
2026/08/13 18:05:27.396, 1, 0, 2872, 8.97, 780, 61, P3
2026/08/13 18:05:27.945, 0, 0, 2872, 8.95, 780, 61, P3
2026/08/13 18:05:28.501, 1, 0, 2872, 8.97, 780, 61, P3
2026/08/13 18:05:29.054, 0, 0, 2872, 8.48, 210, 60, P4
2026/08/13 18:05:29.700, 37, 4, 2872, 10.27, 210, 61, P3
2026/08/13 18:05:30.246, 71, 24, 2872, 9.98, 780, 62, P3
2026/08/13 18:05:30.799, 80, 35, 2872, 14.69, 780, 61, P3
2026/08/13 18:05:31.345, 61, 17, 2872, 12.76, 780, 62, P3
2026/08/13 18:05:31.892, 68, 24, 2872, 14.46, 780, 62, P3
2026/08/13 18:05:32.438, 58, 25, 2872, 9.57, 780, 62, P3
2026/08/13 18:05:32.985, 70, 41, 2872, 9.85, 780, 61, P3
2026/08/13 18:05:33.531, 78, 40, 2872, 19.18, 780, 62, P3
2026/08/13 18:05:34.076, 66, 32, 2872, 19.59, 780, 62, P3
2026/08/13 18:05:34.620, 81, 41, 2872, 14.97, 780, 62, P3
2026/08/13 18:05:35.166, 67, 22, 2872, 17.45, 780, 62, P3
2026/08/13 18:05:35.711, 63, 23, 2872, 10.31, 780, 62, P3
2026/08/13 18:05:36.258, 64, 21, 2872, 14.32, 780, 62, P3
2026/08/13 18:05:36.802, 74, 35, 2872, 16.57, 780, 63, P3
2026/08/13 18:05:37.353, 66, 21, 2872, 15.25, 780, 62, P3
2026/08/13 18:05:37.906, 48, 10, 2898, 13.75, 780, 63, P4
2026/08/13 18:05:38.462, 61, 18, 2898, 16.34, 780, 63, P3
2026/08/13 18:05:39.017, 49, 13, 2898, 12.71, 780, 63, P4
