split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,21,0.011614118303571428,0.0,0.011614118303571428,0.02665771484375004
exemplar,all,dsp,6,0.6,0.7,2,0.63671875,1.0,0.36328125,0.02665771484375004
exemplar,all,dsp,8,0.8,0.9,7,0.8688616071428571,1.0,0.1311383928571429,0.02665771484375004
exemplar,all,dsp,9,0.9,1.0,70,0.9888950892857142,1.0,0.011104910714285765,0.02665771484375004
exemplar,all,bram,0,0.0,0.1,11,0.03032476251775568,0.0,0.03032476251775568,0.2742732238769531
exemplar,all,bram,5,0.5,0.6,1,0.53515625,1.0,0.46484375,0.2742732238769531
exemplar,all,bram,9,0.9,1.0,88,0.9957830255681818,0.6931818181818182,0.30260120738636354,0.2742732238769531
exemplar,exemplar,dsp,0,0.0,0.1,21,0.011614118303571428,0.0,0.011614118303571428,0.02665771484375004
exemplar,exemplar,dsp,6,0.6,0.7,2,0.63671875,1.0,0.36328125,0.02665771484375004
exemplar,exemplar,dsp,8,0.8,0.9,7,0.8688616071428571,1.0,0.1311383928571429,0.02665771484375004
exemplar,exemplar,dsp,9,0.9,1.0,70,0.9888950892857142,1.0,0.011104910714285765,0.02665771484375004
exemplar,exemplar,bram,0,0.0,0.1,11,0.03032476251775568,0.0,0.03032476251775568,0.2742732238769531
exemplar,exemplar,bram,5,0.5,0.6,1,0.53515625,1.0,0.46484375,0.2742732238769531
exemplar,exemplar,bram,9,0.9,1.0,88,0.9957830255681818,0.6931818181818182,0.30260120738636354,0.2742732238769531
test,2layer,dsp,0,0.0,0.1,2,0.044284820556640625,0.0,0.044284820556640625,0.007163456508091517
test,2layer,dsp,9,0.9,1.0,12,0.9990234375,1.0,0.0009765625,0.007163456508091517
test,2layer,bram,9,0.9,1.0,14,1.0,1.0,0.0,0.0
test,3layer,dsp,0,0.0,0.1,4,0.0022563934326171875,0.0,0.0022563934326171875,0.0012027195521763076
test,3layer,dsp,9,0.9,1.0,10,0.99921875,1.0,0.0007812499999999556,0.0012027195521763076
test,3layer,bram,9,0.9,1.0,14,1.0,1.0,0.0,0.0
test,all,dsp,0,0.0,0.1,23,0.008271922235903532,0.0,0.008271922235903532,0.004446618350935589
test,all,dsp,1,0.1,0.2,1,0.119140625,0.0,0.119140625,0.004446618350935589
test,all,dsp,9,0.9,1.0,57,0.999109100877193,1.0,0.0008908991228070429,0.004446618350935589
test,all,bram,0,0.0,0.1,18,0.005823804272545708,0.0,0.005823804272545708,0.013495181813652208
test,all,bram,9,0.9,1.0,63,0.9998139880952381,0.9841269841269841,0.015687003968254065,0.013495181813652208
test,conv1d,dsp,0,0.0,0.1,3,0.0007502237955729166,0.0,0.0007502237955729166,0.0029792785644531436
test,conv1d,dsp,9,0.9,1.0,3,0.9947916666666666,1.0,0.00520833333333337,0.0029792785644531436
test,conv1d,bram,9,0.9,1.0,6,1.0,1.0,0.0,0.0
test,conv2d,dsp,0,0.0,0.1,1,0.00096893310546875,0.0,0.00096893310546875,0.0012187957763672153
test,conv2d,dsp,9,0.9,1.0,3,0.9986979166666666,1.0,0.0013020833333333703,0.0012187957763672153
test,conv2d,bram,9,0.9,1.0,4,1.0,1.0,0.0,0.0
test,dense_latency,dsp,0,0.0,0.1,6,0.002330780029296875,0.0,0.002330780029296875,0.008875020345052083
test,dense_latency,dsp,1,0.1,0.2,1,0.119140625,0.0,0.119140625,0.008875020345052083
test,dense_latency,dsp,9,0.9,1.0,8,1.0,1.0,0.0,0.008875020345052083
test,dense_latency,bram,0,0.0,0.1,15,0.0006250143051147461,0.0,0.0006250143051147461,0.0006250143051147461
test,dense_resource,dsp,0,0.0,0.1,3,0.0010553995768229167,0.0,0.0010553995768229167,0.0018606185913085799
test,dense_resource,dsp,9,0.9,1.0,5,0.99765625,1.0,0.002343749999999978,0.0018606185913085799
test,dense_resource,bram,0,0.0,0.1,1,0.0001316070556640625,0.0,0.0001316070556640625,0.0005047321319579939
test,dense_resource,bram,9,0.9,1.0,7,0.9994419642857143,1.0,0.0005580357142856984,0.0005047321319579939
test,rule4ml,dsp,0,0.0,0.1,4,0.018072128295898438,0.0,0.018072128295898438,0.0036144256591796875
test,rule4ml,dsp,9,0.9,1.0,16,1.0,1.0,0.0,0.0036144256591796875
test,rule4ml,bram,0,0.0,0.1,2,0.04766082763671875,0.0,0.04766082763671875,0.054375457763671885
test,rule4ml,bram,9,0.9,1.0,18,0.9995659722222222,0.9444444444444444,0.05512152777777779,0.054375457763671885
