split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,100,-6.104662666718165,120.81899007161458,12115.137962818146
exemplar,all,resource,100,-8.977133557200432,116.97594451904297,17636.781269788742
exemplar,all,timing,100,-0.3597208857536316,128.5050811767578,1071.8513488769531
exemplar,exemplar,overall,100,-6.104662666718165,120.81899007161458,12115.137962818146
exemplar,exemplar,resource,100,-8.977133557200432,116.97594451904297,17636.781269788742
exemplar,exemplar,timing,100,-0.3597208857536316,128.5050811767578,1071.8513488769531
test,2layer,overall,14,0.18052798509597778,24.377561410268147,1903.2961577574413
test,2layer,resource,14,-0.08976095914840698,29.2467041015625,2553.7859572172165
test,2layer,timing,14,0.7211058735847473,14.639276027679443,602.3165588378906
test,3layer,overall,14,0.23137259483337402,25.032798608144123,3286.0503615935645
test,3layer,resource,14,-0.08184786140918732,30.31394338607788,4504.123130738735
test,3layer,timing,14,0.8578135073184967,14.470509052276611,849.9048233032227
test,all,overall,81,0.5340770681699117,43.22531763712565,239247.60514322916
test,all,resource,81,0.5110652148723602,43.43503665924072,31346.11083984375
test,all,timing,81,0.5801007747650146,42.80587959289551,655050.59375
test,conv1d,overall,6,0.06720489263534546,30.650547583897907,39652.24529088537
test,conv1d,resource,6,0.08703914284706116,23.582570910453796,1879.4734050780535
test,conv1d,timing,6,0.027536392211914062,44.78650093078613,115197.7890625
test,conv2d,overall,4,0.12069698174794515,58.2079873085022,993592.8357480665
test,conv2d,resource,4,0.16916510462760925,39.87344527244568,18215.316122099757
test,conv2d,timing,4,0.023760735988616943,94.87707138061523,2944347.875
test,dense_latency,overall,15,0.7041965126991272,37.88265577952067,35231.97587680817
test,dense_latency,resource,15,0.6876200437545776,31.63499116897583,52802.45658874512
test,dense_latency,timing,15,0.7373494505882263,50.37798500061035,91.01445293426514
test,dense_resource,overall,8,-13.278947194417318,34.825612703959145,34148.84957369169
test,dense_resource,resource,8,-20.24766454100609,39.38925886154175,50816.44359576702
test,dense_resource,timing,8,0.6584874987602234,25.698320388793945,813.6615295410156
test,rule4ml,overall,20,0.44283899664878845,77.2962818145752,15331.950829188028
test,rule4ml,resource,20,0.42911945283412933,79.68803215026855,22871.4002866745
test,rule4ml,timing,20,0.4702780842781067,72.51278114318848,253.0519142150879
