split,kernel_family,target,n_samples,mean_delta_smape,median_delta_smape,fraction_improved
exemplar,all,lut,100,52.94954687572129,54.626638439493014,0.12
exemplar,all,ff,100,56.55687696679073,60.00248892742433,0.11
exemplar,all,dsp,100,36.269322985689094,16.60577795744986,0.19
exemplar,all,bram,100,52.03045469969084,55.57327952348663,0.1
exemplar,all,cycles_max,100,19.430004354281188,19.006455932743826,0.22
exemplar,all,interval_max,100,53.82453339314419,48.166719209181935,0.19
exemplar,exemplar,lut,100,52.94954687572129,54.626638439493014,0.12
exemplar,exemplar,ff,100,56.55687696679073,60.00248892742433,0.11
exemplar,exemplar,dsp,100,36.269322985689094,16.60577795744986,0.19
exemplar,exemplar,bram,100,52.03045469969084,55.57327952348663,0.1
exemplar,exemplar,cycles_max,100,19.430004354281188,19.006455932743826,0.22
exemplar,exemplar,interval_max,100,53.82453339314419,48.166719209181935,0.19
test,2layer,lut,14,11.015269784343806,9.889026795369514,0.2857142857142857
test,2layer,ff,14,10.76574702140962,8.291913722810623,0.35714285714285715
test,2layer,dsp,14,19.096557637283656,14.939437343259083,0.21428571428571427
test,2layer,bram,14,4.910302488517145,3.740997797793389,0.35714285714285715
test,2layer,cycles_max,14,1.6497577498468563,0.8319069297144864,0.5
test,2layer,interval_max,14,13.982479733054387,13.747993841755108,0.07142857142857142
test,3layer,lut,14,11.30986275158172,12.434212694799061,0.21428571428571427
test,3layer,ff,14,10.164975725372035,11.260214125153166,0.2857142857142857
test,3layer,dsp,14,15.33479129258761,2.9054726972535105,0.14285714285714285
test,3layer,bram,14,1.9432667524601845,0.8639777075200623,0.35714285714285715
test,3layer,cycles_max,14,7.621799305443567,10.421507111111648,0.2857142857142857
test,3layer,interval_max,14,1.9099753649245377,1.5761782037645955,0.35714285714285715
test,all,lut,81,22.42543856092769,18.52631492856431,0.18518518518518517
test,all,ff,81,22.68042916356567,14.25973747221213,0.25925925925925924
test,all,dsp,81,19.28705689714293,2.7103460685529703,0.18518518518518517
test,all,bram,81,12.241193528707054,1.0846660657084903,0.2222222222222222
test,all,cycles_max,81,12.961201894352623,8.467158319529688,0.345679012345679
test,all,interval_max,81,22.486463525625677,13.461022011642328,0.19753086419753085
test,conv1d,lut,6,11.362742304110697,4.098697759851021,0.16666666666666666
test,conv1d,ff,6,7.5571643990614845,5.446607681186163,0.3333333333333333
test,conv1d,dsp,6,3.934300152567614,0.0,0.16666666666666666
test,conv1d,bram,6,14.781140847679474,16.234097043127594,0.16666666666666666
test,conv1d,cycles_max,6,4.630378906834373,-4.307508798033857,0.5
test,conv1d,interval_max,6,6.721312532962419,2.719686164390766,0.5
test,conv2d,lut,4,29.662971506903688,30.845000751141136,0.0
test,conv2d,ff,4,9.166679708174485,5.639902164050955,0.5
test,conv2d,dsp,4,-2.9420888415414996,-4.832477376076646,0.5
test,conv2d,bram,4,50.04463498096343,49.36159333614387,0.0
test,conv2d,cycles_max,4,35.642818321857064,32.13303596198412,0.0
test,conv2d,interval_max,4,29.592824334100435,29.82991286232476,0.0
test,dense_latency,lut,15,28.248693388386457,23.97344964627625,0.13333333333333333
test,dense_latency,ff,15,39.33368262658406,41.39351114733126,0.06666666666666667
test,dense_latency,dsp,15,8.018576557588617,0.0,0.2
test,dense_latency,bram,15,0.0,0.0,0.0
test,dense_latency,cycles_max,15,30.93633031685401,12.545824356715602,0.2
test,dense_latency,interval_max,15,44.7506675358346,31.205368061241252,0.13333333333333333
test,dense_resource,lut,8,29.669786426602695,9.716400166300712,0.125
test,dense_resource,ff,8,30.74978046046941,14.92843957681428,0.0
test,dense_resource,dsp,8,23.597758864966934,13.864807870746553,0.125
test,dense_resource,bram,8,12.031150885545644,7.422361553269297,0.0
test,dense_resource,cycles_max,8,20.489227739748447,15.770429841087328,0.125
test,dense_resource,interval_max,8,8.206764884452262,16.975327802952133,0.125
test,rule4ml,lut,20,32.799581792064416,32.661610732822275,0.2
test,rule4ml,ff,20,31.30357277421466,36.64687546028317,0.35
test,rule4ml,dsp,20,37.965727940878764,19.495859069968542,0.15
test,rule4ml,bram,20,25.52360571786465,21.741482647022345,0.35
test,rule4ml,cycles_max,20,6.087161563463224,4.127111870824361,0.5
test,rule4ml,interval_max,20,35.16479347783309,47.27425411891001,0.2
