split,feature,bin,lower,upper,scope,n_samples,r2,smape,rmse
exemplar,instruction_count,0,3808.0,10858.0,overall,24,-98.60464405855322,149.16978903511307,10575.637158451753
exemplar,instruction_count,0,3808.0,10858.0,resource,24,-119.16635850712548,137.77984756053843,15511.606361011181
exemplar,instruction_count,0,3808.0,10858.0,timing,24,-57.48121516140871,171.94967198426232,703.6987533328945
exemplar,instruction_count,1,10858.0,11004.0,overall,25,-79.294608046307,146.4314612890278,16714.936528407587
exemplar,instruction_count,1,10858.0,11004.0,resource,25,-117.73768082699134,139.24328463149106,24576.67586185409
exemplar,instruction_count,1,10858.0,11004.0,timing,25,-2.408462484938334,160.80781460410122,991.4578615145795
exemplar,instruction_count,2,11004.0,11751.0,overall,24,-21.482180079384918,113.52192993695569,8912.135021451459
exemplar,instruction_count,2,11004.0,11751.0,resource,24,-31.003786202643894,128.95201712755826,12581.779571517725
exemplar,instruction_count,2,11004.0,11751.0,timing,24,-2.438967832866963,82.66175555575053,1572.845921318923
exemplar,instruction_count,3,11751.0,12635.0,overall,27,-2.3792060701493836,78.3892938390767,10388.036357614568
exemplar,instruction_count,3,11751.0,12635.0,resource,27,-3.7906920368596553,67.22027452862447,15168.740528701945
exemplar,instruction_count,3,11751.0,12635.0,timing,27,0.4437658632711589,100.72733245998117,826.6280154398164
exemplar,block_count,0,235.0,752.0,overall,20,-238.83379461867912,153.607756659658,10517.700504509212
exemplar,block_count,0,235.0,752.0,resource,20,-247.8561868821737,139.9974386320261,15387.108707080011
exemplar,block_count,0,235.0,752.0,timing,20,-220.78901009168996,180.8283927149218,778.8840993676133
exemplar,block_count,1,752.0,776.0,overall,24,-14.294587275325611,147.04550574975895,14979.812194316139
exemplar,block_count,1,752.0,776.0,resource,24,-13.309243875335811,137.96223757279935,22226.907979419422
exemplar,block_count,1,752.0,776.0,timing,24,-16.265274075305214,165.2120421036781,485.620624109575
exemplar,block_count,2,776.0,784.0,overall,20,-25.941615025442037,126.8527904127168,12965.865124076348
exemplar,block_count,2,776.0,784.0,resource,20,-36.81898023882267,128.88603230108126,18562.35669691382
exemplar,block_count,2,776.0,784.0,timing,20,-4.186884598680776,122.7863066359879,1772.8819784014074
exemplar,block_count,3,784.0,893.0,overall,36,-3.4654462660062104,81.76654560468626,9922.693331376353
exemplar,block_count,3,784.0,893.0,resource,36,-5.338926394557399,83.57864333792017,14403.752418150247
exemplar,block_count,3,784.0,893.0,timing,36,0.2815139910961665,78.14235013821843,960.5751578285672
exemplar,maximum_block_length,0,199.0,318.0,overall,14,0.5283412983129215,67.33230354748594,7756.565936113203
exemplar,maximum_block_length,0,199.0,318.0,resource,14,0.5370362527804053,47.96233969745821,11180.826901797085
exemplar,maximum_block_length,0,199.0,318.0,timing,14,0.5109513893779538,106.07223124754138,908.0440047454425
exemplar,maximum_block_length,1,318.0,376.0,overall,86,-7.686997442815127,129.52612176215828,12667.51745918003
exemplar,maximum_block_length,1,318.0,376.0,resource,86,-11.12042429348164,128.21071540476797,18453.706645612394
exemplar,maximum_block_length,1,318.0,376.0,timing,86,-0.8201437414820976,132.15693447693897,1095.1390863152994
exemplar,loop_block_fraction,0,0.005154639016836882,0.005662514362484217,overall,21,-47.62174130558075,139.97295264810933,14028.942733327895
exemplar,loop_block_fraction,0,0.005154639016836882,0.005662514362484217,resource,21,-71.29187302154124,134.29820657895465,20705.187711505194
exemplar,loop_block_fraction,0,0.005154639016836882,0.005662514362484217,timing,21,-0.2814778736597739,151.32244478641877,676.4527769732949
exemplar,loop_block_fraction,1,0.005662514362484217,0.020408162847161293,overall,22,-2.7378564829943746,101.68790616374186,9246.534508027755
exemplar,loop_block_fraction,1,0.005662514362484217,0.020408162847161293,resource,22,-1.2168741100285132,88.53282018611979,13687.946489118398
exemplar,loop_block_fraction,1,0.005662514362484217,0.020408162847161293,timing,22,-5.779821228926096,127.99807811898604,363.71054584647004
exemplar,loop_block_fraction,2,0.020408162847161293,0.02129077957943082,overall,32,-10.56072149019706,123.55627027349648,12738.279120376494
exemplar,loop_block_fraction,2,0.020408162847161293,0.02129077957943082,resource,32,-14.873720373893935,133.2011174219696,18349.17280563198
exemplar,loop_block_fraction,2,0.020408162847161293,0.02129077957943082,timing,32,-1.934723722803314,104.26657597655029,1516.4917498655193
exemplar,loop_block_fraction,3,0.02129077957943082,0.03404255211353302,overall,25,-8.920210115188473,118.06128524983637,11272.638350267434
exemplar,loop_block_fraction,3,0.02129077957943082,0.03404255211353302,resource,25,-13.458686141080705,106.68696563274989,16384.601189328394
exemplar,loop_block_fraction,3,0.02129077957943082,0.03404255211353302,timing,25,0.15674193659598934,140.80992448400937,1048.7126721455109
exemplar,block_scc_fraction,0,0.5146276595744681,0.5191326530612245,overall,14,-7766.312131826868,161.50812771360583,18131.376164951067
exemplar,block_scc_fraction,0,0.5146276595744681,0.5191326530612245,resource,14,-21.4432483440584,153.43034921296012,26885.121568517963
exemplar,block_scc_fraction,0,0.5146276595744681,0.5191326530612245,timing,14,-23256.049898792488,177.6636847148973,623.8853578172661
exemplar,block_scc_fraction,1,0.5191326530612245,0.5231362467866324,overall,32,-14.787580284056515,111.1350163849707,11639.348418511247
exemplar,block_scc_fraction,1,0.5191326530612245,0.5231362467866324,resource,32,-22.160317239796136,120.9262056577223,16980.594620171993
exemplar,block_scc_fraction,1,0.5191326530612245,0.5231362467866324,timing,32,-0.04210637257727423,91.55263783946748,956.8560151897525
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,overall,28,-7.721217889389023,128.70443960908014,12215.20349724556
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,resource,28,-9.044371967952463,123.77861771472473,17581.881343601137
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,timing,28,-5.074909732262141,138.556083397791,1481.847804534406
