monotonic_seconds,system_cpu_percent,training_process_cpu_percent,training_tree_cpu_percent,training_tree_rss_mb,system_disk_read_mb_s,system_disk_write_mb_s
153095.139546583,0.0,80.0,80.0,858.4140625,0.0,0.0
153095.648610009,20.8,31.4,31.4,976.4375,0.0,0.0
153096.152304153,6.2,2.0,2.0,1223.5546875,0.0,0.0
153096.666559458,6.4,0.0,0.0,1323.48828125,0.0,0.0
153097.170302097,8.1,0.0,0.0,1361.9296875,0.0,0.05428119020382609
153097.673536201,6.0,2.0,2.0,1394.30859375,0.0,0.0
153098.177479386,6.3,0.0,0.0,1428.12890625,0.0,0.0
153101.401738126,6.4,0.9,0.9,2506.9453125,0.0,0.04603771346222171
153101.909347675,13.4,2.0,2.0,2526.01953125,0.0,0.0
153102.452515058,13.1,0.0,0.0,2591.76953125,0.0,0.0
153102.957014867,14.4,39.7,39.7,2613.984375,0.0,0.0
153103.46040747,20.5,111.1,111.1,2768.0703125,0.0,0.06207878266943087
153103.96438836,18.6,139.0,139.0,2853.40234375,0.0,0.0
153104.468240595,14.5,136.9,136.9,2921.4765625,0.0,0.17831368755127
153104.972453876,8.7,115.1,115.1,3015.9609375,0.0,0.0
153105.488631893,9.5,147.2,147.2,3058.5703125,0.0,0.0
153105.992964877,7.4,115.0,115.0,3106.2734375,0.0,0.0
153106.506753214,8.5,146.0,146.0,3155.59375,0.0,0.0
153107.010183843,6.6,93.4,93.4,3182.3125,0.0,0.0
153107.525720484,6.9,93.1,93.1,3210.921875,0.0,0.0
153108.069950304,5.2,90.0,90.0,3244.5625,0.0,0.0
153108.596851102,6.4,93.0,93.0,3344.578125,0.0,3.150794715660361
153109.100393206,6.4,89.2,89.2,3438.3046875,5.259614794706327,0.03878771972497291
153109.604531375,7.0,87.3,87.3,3455.3515625,0.1859609245355113,0.0
153110.110934482,6.8,92.9,92.9,3537.11328125,0.0,0.0
153110.615457327,6.4,93.1,93.1,3606.390625,0.0,0.0
153111.119417286,6.5,93.3,93.3,3642.46484375,0.0,0.0
153111.628330549,6.4,90.4,90.4,3692.0,0.37610780445999115,0.0
153112.131889501,8.6,93.3,93.3,3722.85546875,0.3025340913735549,0.0
153112.652787659,7.0,92.2,92.2,3788.18359375,0.127484132898276,0.0
153113.167902963,12.5,89.3,89.3,3804.53515625,0.0,0.0
153113.671341592,16.6,103.4,103.4,3790.73828125,0.0,0.0
153114.175192378,15.7,112.1,112.1,3782.13671875,0.0,0.07752791319663259
153114.683180594,12.3,93.3,93.3,3782.27734375,0.0,0.0
153115.193845823,13.8,101.8,101.8,3804.34765625,0.0,0.0
153115.706948346,17.0,91.5,91.5,3804.3515625,0.0,0.0
153116.221512787,19.7,104.4,104.4,3804.38671875,0.0,0.0
153116.754477959,18.8,97.7,97.7,3814.4140625,0.0,0.0
153117.260487303,21.3,102.9,102.9,3814.73828125,0.0,0.0
153117.773431662,15.6,37.1,37.1,3818.875,0.0,0.0
153118.282558444,19.3,86.4,86.4,3819.2265625,0.0,0.0
153118.807220941,19.0,72.1,72.1,3822.640625,0.0,0.25313892409410377
153119.316608035,16.4,106.6,106.6,3822.671875,0.0,0.09969088459009862
153119.82048997,16.2,109.2,109.2,3828.54296875,0.0,0.0
153120.34156414,12.0,99.8,99.8,3828.67578125,0.0,0.0
153120.861967207,15.2,101.9,101.9,3851.7421875,0.0,0.0
153121.365364242,17.1,112.6,112.6,3839.72265625,0.0,0.0
153121.873493817,11.7,98.7,98.7,3839.89453125,0.0,0.0
153122.381058194,16.2,102.5,102.5,3846.68359375,0.0,0.0
153122.91201496,15.0,101.8,101.8,3831.29296875,0.0,0.0
153123.415708924,20.5,101.7,101.7,3842.49609375,0.0,0.0
153123.930144069,19.9,101.4,101.4,3842.5078125,0.0,0.0
153124.47134506,15.2,41.1,41.1,3851.62890625,0.0,0.04330646171908108
153124.977534266,18.1,21.7,21.7,3863.3671875,0.0,0.0
153125.482990246,16.6,61.6,61.6,3863.4375,0.0,0.0
153125.994263525,15.4,33.1,33.1,3863.51953125,0.0,0.0
153126.513330314,14.6,30.9,30.9,3863.94921875,0.0,0.0
153127.024266162,12.0,0.0,0.0,3871.76953125,0.0,0.0
153127.527988444,15.7,13.9,13.9,3863.5234375,0.0,0.0
153128.035046477,15.0,53.2,53.2,3868.98828125,0.0,0.0
153128.543488064,14.2,90.5,90.5,3869.66796875,0.0,0.0
153129.050817868,20.3,114.6,114.6,3851.68359375,0.007699626493733866,0.6236697459924431
153129.555123122,16.1,102.7,102.7,3834.7890625,0.0,0.0
153130.062628882,11.9,106.9,106.9,3850.79296875,0.0,0.0
153130.567463505,13.8,92.8,92.8,3852.2578125,0.0,1.1219639545456983
153133.758489408,15.8,38.6,38.6,3925.28125,0.0,0.22891345047075126
153134.270628353,11.9,0.0,0.0,3925.5546875,0.0,0.007627324651239913
153134.779585431,17.7,57.0,57.0,3853.8046875,0.0,0.10745012175430871
153135.282804461,18.2,112.6,112.6,3867.28125,0.0,0.0
153135.790523634,19.4,115.6,115.6,3867.3046875,0.0,0.0
153136.301527761,11.5,108.2,108.2,3867.3125,0.0,0.0
153136.815135326,13.1,93.6,93.6,3868.03515625,0.0,0.0
153137.324086126,17.0,102.7,102.7,3872.3984375,0.0,0.0
153137.829216991,21.3,100.1,100.1,3881.359375,0.0,0.0
153138.35760565,21.7,110.3,110.3,3855.9375,0.0,0.0
153138.876026485,20.2,104.1,104.1,3867.62890625,0.0,0.0
153139.383993583,20.3,114.1,114.1,3890.0078125,0.0,0.0
153139.925013096,13.7,102.3,102.3,3867.9453125,0.0,0.07942181190647833
153140.431338959,16.5,114.5,114.5,3878.8046875,0.0,0.0
153140.947302925,12.8,93.1,93.1,3867.95703125,0.0,0.0
153141.452706483,19.1,106.3,106.3,3871.87109375,0.0,0.0
153141.960193142,19.8,104.9,104.9,3876.69921875,0.0,0.0
153142.479445765,17.8,103.5,103.5,3876.734375,0.0,0.015045663043435083
153142.987216078,21.8,103.9,103.9,3882.1796875,0.0,0.0
153143.512558649,15.3,103.9,103.9,3862.140625,0.0,0.0
153144.016166832,19.6,110.3,110.3,3865.515625,0.0,0.0
153144.551213823,14.6,98.8,98.8,3912.79296875,0.0,1.0440087682139725
153145.062030857,15.2,101.9,101.9,3881.3984375,0.0,0.06882356628756432
153145.571213737,18.2,112.2,112.2,3866.5703125,0.0,0.0
153146.091156375,12.3,101.9,101.9,3880.0859375,0.0,0.0
153146.596049005,11.8,101.2,101.2,3866.58984375,0.0,0.0
153147.101074063,17.1,90.7,90.7,3866.58984375,0.0,0.0
153147.612035335,18.6,92.4,92.4,3866.59765625,0.0,0.0
153148.115925386,14.5,7.9,7.9,3888.08203125,0.0,0.0
153148.619679456,18.5,63.2,63.2,3866.9765625,0.0,0.0
153149.135892236,17.4,77.8,77.8,3866.9765625,0.0,0.0
153149.641652071,12.5,0.0,0.0,3869.73046875,0.0,0.16991760525671992
153150.153309181,17.1,58.6,58.6,3870.875,0.0,0.030538029657708386
153150.658083477,14.5,4.0,4.0,3870.875,0.0,0.007738607197426834
153151.164184415,12.3,2.0,2.0,3870.875,0.0,0.0
153151.668512474,14.1,9.9,9.9,3870.87890625,0.0,0.0
153152.173221154,12.0,2.0,2.0,3873.19140625,0.0,0.0
153152.6776896,14.9,27.8,27.8,3895.953125,0.0,0.0
153153.196822457,16.0,103.9,103.9,3861.234375,0.0,0.0
153153.707116107,18.0,91.5,91.5,3898.796875,0.0,0.0
153154.237234854,15.3,87.5,87.5,3875.14453125,0.0,0.0
153154.741958059,18.7,107.9,107.9,3875.19140625,0.0,0.0
153155.252441762,14.6,108.7,108.7,3861.31640625,0.0,0.03826028115187726
153155.756475713,17.2,101.1,101.1,3865.01171875,0.0,0.0
153156.266247548,16.0,101.9,101.9,3865.046875,0.0,0.0
153156.777577341,14.1,99.9,99.9,3865.07421875,0.0,0.0
153157.328369625,18.7,101.3,101.3,3862.34765625,0.0,0.0
153157.871537891,18.2,109.9,109.9,3865.04296875,0.0,0.0
153158.395523067,17.2,115.6,115.6,3865.0859375,0.0,0.0
153158.918270576,12.0,91.4,91.4,3891.7109375,0.0,0.0
153159.428369932,14.8,101.8,101.8,3908.40625,0.0,0.0
153159.975058906,14.9,114.1,114.1,3878.61328125,0.0,0.028581150786893935
153160.498910047,15.6,104.6,104.6,3875.3671875,0.0,0.06711114522713497
