split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,19,0.027821189478824015,0.0,0.027821189478824015,0.028508682250976525
exemplar,all,dsp,1,0.1,0.2,2,0.1142578125,0.0,0.1142578125,0.028508682250976525
exemplar,all,dsp,8,0.8,0.9,6,0.8639322916666666,1.0,0.13606770833333337,0.028508682250976525
exemplar,all,dsp,9,0.9,1.0,73,0.982502140410959,1.0,0.017497859589041043,0.028508682250976525
exemplar,all,bram,0,0.0,0.1,11,0.017195398157293148,0.0,0.017195398157293148,0.27189149379730226
exemplar,all,bram,4,0.4,0.5,1,0.4296875,1.0,0.5703125,0.27189149379730226
exemplar,all,bram,8,0.8,0.9,1,0.83203125,0.0,0.83203125,0.27189149379730226
exemplar,all,bram,9,0.9,1.0,87,0.9953753591954023,0.7011494252873564,0.29422593390804597,0.27189149379730226
exemplar,exemplar,dsp,0,0.0,0.1,19,0.027821189478824015,0.0,0.027821189478824015,0.028508682250976525
exemplar,exemplar,dsp,1,0.1,0.2,2,0.1142578125,0.0,0.1142578125,0.028508682250976525
exemplar,exemplar,dsp,8,0.8,0.9,6,0.8639322916666666,1.0,0.13606770833333337,0.028508682250976525
exemplar,exemplar,dsp,9,0.9,1.0,73,0.982502140410959,1.0,0.017497859589041043,0.028508682250976525
exemplar,exemplar,bram,0,0.0,0.1,11,0.017195398157293148,0.0,0.017195398157293148,0.27189149379730226
exemplar,exemplar,bram,4,0.4,0.5,1,0.4296875,1.0,0.5703125,0.27189149379730226
exemplar,exemplar,bram,8,0.8,0.9,1,0.83203125,0.0,0.83203125,0.27189149379730226
exemplar,exemplar,bram,9,0.9,1.0,87,0.9953753591954023,0.7011494252873564,0.29422593390804597,0.27189149379730226
test,2layer,dsp,0,0.0,0.1,2,0.045116424560546875,0.0,0.045116424560546875,0.007561274937221014
test,2layer,dsp,9,0.9,1.0,12,0.9986979166666666,1.0,0.0013020833333333703,0.007561274937221014
test,2layer,bram,9,0.9,1.0,14,1.0,1.0,0.0,0.0
test,3layer,dsp,0,0.0,0.1,4,0.0020885467529296875,0.0,0.0020885467529296875,0.0005967276436941964
test,3layer,dsp,9,0.9,1.0,10,1.0,1.0,0.0,0.0005967276436941964
test,3layer,bram,9,0.9,1.0,14,1.0,1.0,0.0,0.0
test,all,dsp,0,0.0,0.1,24,0.009378433227539062,0.0,0.009378433227539062,0.003936202437789384
test,all,dsp,9,0.9,1.0,57,0.9983552631578947,1.0,0.00164473684210531,0.003936202437789384
test,all,bram,0,0.0,0.1,17,0.001038067481097053,0.0,0.001038067481097053,0.017024386076279704
test,all,bram,4,0.4,0.5,1,0.404296875,0.0,0.404296875,0.017024386076279704
test,all,bram,9,0.9,1.0,63,0.9993179563492064,0.9841269841269841,0.015190972222222321,0.017024386076279704
test,conv1d,dsp,0,0.0,0.1,3,0.0014521280924479167,0.0,0.0014521280924479167,0.0007260640462239584
test,conv1d,dsp,9,0.9,1.0,3,1.0,1.0,0.0,0.0007260640462239584
test,conv1d,bram,9,0.9,1.0,6,1.0,1.0,0.0,0.0
test,conv2d,dsp,0,0.0,0.1,1,0.004913330078125,0.0,0.004913330078125,0.00122833251953125
test,conv2d,dsp,9,0.9,1.0,3,1.0,1.0,0.0,0.00122833251953125
test,conv2d,bram,9,0.9,1.0,4,1.0,1.0,0.0,0.0
test,dense_latency,dsp,0,0.0,0.1,7,0.0020315987723214285,0.0,0.0020315987723214285,0.0009480794270833333
test,dense_latency,dsp,9,0.9,1.0,8,1.0,1.0,0.0,0.0009480794270833333
test,dense_latency,bram,0,0.0,0.1,15,0.0005132277806599935,0.0,0.0005132277806599935,0.0005132277806599935
test,dense_resource,dsp,0,0.0,0.1,3,0.0023371378580729165,0.0,0.0023371378580729165,0.001364707946777316
test,dense_resource,dsp,9,0.9,1.0,5,0.99921875,1.0,0.0007812499999999556,0.001364707946777316
test,dense_resource,bram,0,0.0,0.1,1,0.00164794921875,0.0,0.00164794921875,0.0006942749023437361
test,dense_resource,bram,9,0.9,1.0,7,0.9994419642857143,1.0,0.0005580357142856984,0.0006942749023437361
test,rule4ml,dsp,0,0.0,0.1,4,0.023998260498046875,0.0,0.023998260498046875,0.008510589599609375
test,rule4ml,dsp,9,0.9,1.0,16,0.995361328125,1.0,0.004638671875,0.008510589599609375
test,rule4ml,bram,0,0.0,0.1,1,0.00830078125,0.0,0.00830078125,0.06867675781250007
test,rule4ml,bram,4,0.4,0.5,1,0.404296875,0.0,0.404296875,0.06867675781250007
test,rule4ml,bram,9,0.9,1.0,18,0.9978298611111112,0.9444444444444444,0.05338541666666674,0.06867675781250007
