epoch,train_loss,val_r2,val_r2_lut,val_r2_ff,val_r2_dsp,val_r2_bram,val_r2_cycles_max,val_r2_interval_max,val_resource_r2,val_timing_r2,val_smape,val_smape_lut,val_smape_ff,val_smape_dsp,val_smape_bram,val_smape_cycles_max,val_smape_interval_max,val_resource_smape,val_timing_smape,val_rmse,val_rmse_lut,val_rmse_ff,val_rmse_dsp,val_rmse_bram,val_rmse_cycles_max,val_rmse_interval_max,val_resource_rmse,val_timing_rmse,val_loss,train_seconds,validation_seconds,epoch_seconds,cumulative_training_seconds,train_seconds_per_sample,peak_gpu_memory_mb
1,0.38510221270918416,0.13660061359405518,0.27678823471069336,0.15456396341323853,0.011223375797271729,0.25081008672714233,0.08192873001098633,0.04428929090499878,0.1733464151620865,0.06310901045799255,68.1848373413086,54.68804931640625,51.34576416015625,104.92695617675781,55.42238235473633,68.08820343017578,74.63766479492188,66.59578704833984,71.36293029785156,84874.2578125,107519.5234375,63219.81640625,1914.6278076171875,26.51277732849121,166425.203125,170139.890625,43170.12109375,168282.546875,0.29951541712789825,96.30173112900229,5.155829394003376,101.45756453101058,101.45826642698376,0.06963248816269146,2443.34521484375
2,0.25912113036268103,0.2563910186290741,0.6168369650840759,0.5053922533988953,0.08077120780944824,0.28909099102020264,0.041493117809295654,0.0047615766525268555,0.3730228543281555,0.023127347230911255,54.706485748291016,49.83028030395508,47.76477813720703,58.333831787109375,48.72428512573242,51.811702728271484,71.7740478515625,51.16329574584961,61.792877197265625,78693.6171875,78261.1796875,48355.2109375,1846.0653076171875,25.826541900634766,170050.734375,173622.71875,32122.0703125,171836.71875,0.22159748908245203,93.1291044499958,4.735873045021435,97.86498325501452,199.5080504239886,0.06733847031814591,2443.34521484375
3,0.21021777003550995,0.3545830249786377,0.4736179709434509,0.4278057813644409,0.08480793237686157,0.3214183449745178,0.40680819749832153,0.4130399823188782,0.326912522315979,0.40992408990859985,53.1226692199707,49.00862503051758,46.01402282714844,51.83859634399414,41.6231575012207,57.54778289794922,72.70381164550781,47.121097564697266,65.12579345703125,68786.2734375,91728.6796875,52009.7265625,1842.0074462890625,25.232501983642578,133776.078125,133335.9375,36401.41015625,133556.0,0.18350854335409222,81.66258005402051,4.170248284994159,85.83283145501628,285.4730649109988,0.059047418694158,2443.34521484375
4,0.18507847834219557,0.5061442255973816,0.638609766960144,0.6028998494148254,0.24666112661361694,0.3044915199279785,0.5809466242790222,0.6632565259933472,0.4481655955314636,0.6221015453338623,50.08004379272461,42.31917190551758,41.91953659057617,51.7048225402832,38.841590881347656,56.929595947265625,68.76554870605469,43.69628143310547,62.847572326660156,55743.54296875,76005.109375,43327.421875,1671.207763671875,25.545269012451172,112438.640625,100993.296875,30257.322265625,106715.96875,0.1603994992646304,77.05445917299949,3.5234728950017598,80.57793413999025,366.1664843179751,0.05571544408749059,2579.0078125
5,0.17489985247840936,0.4147937595844269,0.6416807770729065,0.4690455198287964,0.5838622450828552,0.30238646268844604,0.26014554500579834,0.23164206743240356,0.4992437958717346,0.24589380621910095,52.46072769165039,43.934104919433594,47.394107818603516,43.79865646362305,44.03318405151367,60.71342086791992,74.89091491699219,44.790016174316406,67.80216979980469,71500.8671875,75681.484375,50100.43359375,1242.0921630859375,25.583898544311523,149401.1875,152554.40625,31762.400390625,150977.796875,0.17623955914468475,78.61955187001149,4.016759813006502,82.63631472201087,448.9030650369823,0.0568471090889454,2880.2666015625
6,0.17295091693503048,0.3003443479537964,0.4477916359901428,0.343148410320282,0.07703381776809692,0.2379280924797058,0.38111376762390137,0.3150504231452942,0.2764754891395569,0.3480820953845978,50.57583236694336,48.476905822753906,47.98933410644531,55.98458480834961,42.351470947265625,48.47126770019531,60.181419372558594,48.7005729675293,54.32634353637695,72038.6953125,93952.0078125,55724.53515625,1849.8143310546875,26.739742279052734,136642.65625,144036.390625,37888.2734375,140339.53125,0.16548814195575137,83.85534968198044,5.30540059300256,89.16075243998785,538.1829702649848,0.060632935417194826,2880.2666015625
7,0.1634777836657829,0.5113887190818787,0.584947943687439,0.6040948629379272,0.8418928980827332,0.14502036571502686,0.4505331516265869,0.4418429732322693,0.5439890623092651,0.4461880624294281,45.95266342163086,45.964935302734375,44.112648010253906,41.06787872314453,42.363311767578125,43.30668640136719,58.9005241394043,43.377193450927734,51.103607177734375,64047.25,81452.7734375,43262.1796875,765.6159057617188,28.32286262512207,128751.3046875,130023.2890625,31377.22265625,129387.296875,0.14065043357285587,83.94935697698384,4.230865343997721,88.18022528398433,626.4336995630001,0.060700908877067125,2880.2666015625
8,0.15959010872820195,0.3704262673854828,0.5657259225845337,0.5312931537628174,0.3929153084754944,0.1966942548751831,0.2945585250854492,0.24137026071548462,0.42165717482566833,0.2679643929004669,48.696929931640625,48.17226028442383,44.56334686279297,44.70174789428711,45.14278030395508,49.110511779785156,60.49092483520508,45.64503479003906,54.80072021484375,71564.6953125,83317.5625,47072.08984375,1500.237060546875,27.453624725341797,145885.25,151585.578125,32979.3359375,148735.40625,0.15223320054285455,85.41380274898256,3.6057238770008553,89.01952934797737,715.6208966299891,0.061759799529271554,2880.2666015625
9,0.15228452012535462,0.453343003988266,0.5050143003463745,0.4999392628669739,0.5302444100379944,0.1230311393737793,0.5149682760238647,0.5468607544898987,0.4145572781562805,0.5309145450592041,48.796634674072266,49.01350402832031,46.43788146972656,38.20831298828125,48.6345100402832,49.06638717651367,61.41920852661133,45.573551177978516,55.2427978515625,62840.265625,88951.015625,48621.03515625,1319.6878662109375,28.684768676757812,120966.734375,117154.453125,34730.10546875,119060.59375,0.14833909273147583,80.38012392999372,6.27868259898969,86.65881201499724,802.2954991189763,0.05812011853217188,2880.2666015625
10,0.15886541479149333,0.5755929350852966,0.6163015961647034,0.5802063345909119,0.4104843735694885,0.24845623970031738,0.807680070400238,0.7904290556907654,0.4638621211051941,0.7990545630455017,45.52151870727539,43.08291244506836,42.363311767578125,48.27896499633789,40.529056549072266,44.45363998413086,54.42124557495117,43.563560485839844,49.437442779541016,46702.1875,78315.8359375,44548.26171875,1478.3692626953125,26.554393768310547,76171.59375,79672.5078125,31092.25390625,77922.046875,0.134555666735678,77.6097170059802,4.025534885004163,81.63526012797956,884.0548297379864,0.056116932036138975,2880.2666015625
