split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,100,-3.6665664513905845,117.2269999186198,10123.178837458292
exemplar,all,resource,100,-3.7126306295394897,108.80399322509766,14195.185828208923
exemplar,all,timing,100,-3.5744380950927734,134.07301330566406,1979.1648559570312
exemplar,exemplar,overall,100,-3.6665664513905845,117.2269999186198,10123.178837458292
exemplar,exemplar,resource,100,-3.7126306295394897,108.80399322509766,14195.185828208923
exemplar,exemplar,timing,100,-3.5744380950927734,134.07301330566406,1979.1648559570312
test,2layer,overall,14,-0.3389842013518016,30.120192527770996,2520.0467433830104
test,2layer,resource,14,-0.7601772993803024,34.72383689880371,3394.7578744739294
test,2layer,timing,14,0.5034019947052002,20.912903785705566,770.6244812011719
test,3layer,overall,14,0.2144773006439209,29.457010904947918,3229.65632780393
test,3layer,resource,14,-0.07614356279373169,35.14396524429321,4390.902277350426
test,3layer,timing,14,0.7957190275192261,18.083102226257324,907.1644287109375
test,all,overall,81,0.6256744960943857,44.16488075256348,183179.7384637197
test,all,resource,81,0.5571579933166504,44.8314847946167,28519.67019557953
test,all,timing,81,0.7627075016498566,42.83167266845703,492499.875
test,conv1d,overall,6,-1.754992773135503,37.83746691544851,44558.20797329148
test,conv1d,resource,6,-2.553963288664818,30.06245666742325,4075.065866187215
test,conv1d,timing,6,-0.15705174207687378,53.38748741149902,125524.4921875
test,conv2d,overall,4,0.38569700717926025,52.94776693979899,746881.942476511
test,conv2d,resource,4,0.3536869287490845,37.592323780059814,14876.476214766502
test,conv2d,timing,4,0.4497171640396118,83.65865325927734,2210892.875
test,dense_latency,overall,15,0.6802874207496643,33.152724266052246,35073.096141179405
test,dense_latency,resource,15,0.7144070863723755,31.27170419692993,52560.599868774414
test,dense_latency,timing,15,0.6120480895042419,36.914764404296875,98.08868598937988
test,dense_resource,overall,8,-8.44582223892212,35.95996507008871,26693.269857446354
test,dense_resource,resource,8,-12.98110656440258,39.227782249450684,39574.536389410496
test,dense_resource,timing,8,0.6247464120388031,29.424330711364746,930.7367935180664
test,rule4ml,overall,20,0.35100723306337994,75.9744078318278,13156.121816635132
test,rule4ml,resource,20,0.37435950338840485,76.97796249389648,19602.625681877136
test,rule4ml,timing,20,0.3043026924133301,73.96729850769043,263.11408615112305
