split,kernel_family,target,n_samples,mean_delta_smape,median_delta_smape,fraction_improved
exemplar,all,lut,100,42.291389582265865,51.104307418690354,0.17
exemplar,all,ff,100,48.80589984995345,51.87960467246175,0.14
exemplar,all,dsp,100,29.861471555770255,12.708407030279233,0.23
exemplar,all,bram,100,44.15965552816543,48.89872321466706,0.11
exemplar,all,cycles_max,100,25.596862374637386,31.547118794169165,0.22
exemplar,all,interval_max,100,58.793549826691475,51.02403936288499,0.15
exemplar,exemplar,lut,100,42.291389582265865,51.104307418690354,0.17
exemplar,exemplar,ff,100,48.80589984995345,51.87960467246175,0.14
exemplar,exemplar,dsp,100,29.861471555770255,12.708407030279233,0.23
exemplar,exemplar,bram,100,44.15965552816543,48.89872321466706,0.11
exemplar,exemplar,cycles_max,100,25.596862374637386,31.547118794169165,0.22
exemplar,exemplar,interval_max,100,58.793549826691475,51.02403936288499,0.15
test,2layer,lut,14,20.874529096773106,21.333737084731265,0.07142857142857142
test,2layer,ff,14,17.738112660217787,19.060128111175615,0.21428571428571427
test,2layer,dsp,14,10.74778403619042,1.9586436662680367,0.2857142857142857
test,2layer,bram,14,18.335984107242325,20.214148110659487,0.21428571428571427
test,2layer,cycles_max,14,5.248000138820653,3.547778965820114,0.14285714285714285
test,2layer,interval_max,14,22.931494496839285,24.690858664990245,0.07142857142857142
test,3layer,lut,14,9.450772594618567,10.08864078701313,0.21428571428571427
test,3layer,ff,14,13.1907588046374,14.132288157094724,0.21428571428571427
test,3layer,dsp,14,11.298876026083162,0.09982218749442917,0.21428571428571427
test,3layer,bram,14,24.13257046542469,25.694945303483642,0.07142857142857142
test,3layer,cycles_max,14,4.330074982705907,5.568286957350911,0.21428571428571427
test,3layer,interval_max,14,12.426886861557351,12.791842431224433,0.07142857142857142
test,all,lut,81,21.429865975447722,17.938573958735375,0.19753086419753085
test,all,ff,81,22.396825671011364,21.04203495345216,0.2345679012345679
test,all,dsp,81,19.946095040082422,1.8312317869518626,0.18518518518518517
test,all,bram,81,18.44712668963873,15.791866457328354,0.18518518518518517
test,all,cycles_max,81,13.181238960672317,7.710323595812028,0.2716049382716049
test,all,interval_max,81,22.31802384490745,21.15936345791652,0.19753086419753085
test,conv1d,lut,6,20.44271290782318,24.054767315919186,0.0
test,conv1d,ff,6,25.907909917506284,28.886865092542415,0.0
test,conv1d,dsp,6,-0.5026578646163194,0.0,0.3333333333333333
test,conv1d,bram,6,17.706924240625032,29.496684172752737,0.3333333333333333
test,conv1d,cycles_max,6,8.505325003223259,0.30270386807918026,0.5
test,conv1d,interval_max,6,20.048339976639692,24.701185855438492,0.3333333333333333
test,conv2d,lut,4,25.28275381288627,23.962840732446047,0.0
test,conv2d,ff,4,4.779768211838061,5.50102093240702,0.5
test,conv2d,dsp,4,-5.9221071167499195,3.019342964722993,0.25
test,conv2d,bram,4,52.667298166084414,58.72128440585573,0.0
test,conv2d,cycles_max,4,25.388883791903417,34.04338836614536,0.25
test,conv2d,interval_max,4,17.40991834635527,27.41437524881509,0.25
test,dense_latency,lut,15,32.485711943188136,28.614165590440237,0.2
test,dense_latency,ff,15,36.36082353571419,28.534711136588854,0.13333333333333333
test,dense_latency,dsp,15,5.301260126033977,0.0,0.2
test,dense_latency,bram,15,0.0,0.0,0.0
test,dense_latency,cycles_max,15,28.49100622387422,16.157832023365362,0.2
test,dense_latency,interval_max,15,20.269560465319614,16.747816911656404,0.4
test,dense_resource,lut,8,29.091837379260326,15.609914187872693,0.25
test,dense_resource,ff,8,28.938376433675792,14.62729075754107,0.25
test,dense_resource,dsp,8,30.345007153369927,16.27417195845552,0.125
test,dense_resource,bram,8,7.027357130780358,-1.874314088416277,0.5
test,dense_resource,cycles_max,8,23.22964899837838,22.235690426813562,0.125
test,dense_resource,interval_max,8,12.91836505125709,15.651571222579465,0.125
test,rule4ml,lut,20,18.372862472569658,16.90770769121591,0.35
test,rule4ml,ff,20,21.482639099321922,28.76492722922083,0.35
test,rule4ml,dsp,20,50.570293695603745,58.41299507583983,0.05
test,rule4ml,bram,20,26.32639513445339,21.20017908685754,0.25
test,rule4ml,cycles_max,20,8.389876679049612,2.5532040716041937,0.45
test,rule4ml,interval_max,20,35.77112758924201,46.5413776037518,0.2
