split,feature,bin,lower,upper,scope,n_samples,r2,smape,rmse
exemplar,instruction_count,0,3808.0,10858.0,overall,24,-73.875131107727,148.3907598100005,10353.75218232208
exemplar,instruction_count,0,3808.0,10858.0,resource,24,-64.29294895369942,137.68452474972094,15085.05455831735
exemplar,instruction_count,0,3808.0,10858.0,timing,24,-93.03949541578213,169.80322993055955,891.1474303315391
exemplar,instruction_count,1,10858.0,11004.0,overall,25,-32.190841216108204,142.24212784735576,12282.192299509035
exemplar,instruction_count,1,10858.0,11004.0,resource,25,-42.94824164713596,130.9138170905557,17542.83371911921
exemplar,instruction_count,1,10858.0,11004.0,timing,25,-10.676040354052704,164.8987493609559,1760.9094602886883
exemplar,instruction_count,2,11004.0,11751.0,overall,24,-17.5594639189216,111.58652050063961,9604.837317759751
exemplar,instruction_count,2,11004.0,11751.0,resource,24,-19.849231511812988,115.71622063526729,12830.524561344957
exemplar,instruction_count,2,11004.0,11751.0,timing,24,-12.97992873313883,103.32712023138424,3153.4628305893384
exemplar,instruction_count,3,11751.0,12635.0,overall,27,-0.7324129930738114,71.37749215829392,7333.660059055649
exemplar,instruction_count,3,11751.0,12635.0,resource,27,-0.7242971121370648,56.516160695460215,10280.863537665598
exemplar,instruction_count,3,11751.0,12635.0,timing,27,-0.7486447549473043,101.10015508396128,1439.2531018357517
exemplar,block_count,0,235.0,752.0,overall,20,-207.92110025575428,150.56867429404605,8217.79784449796
exemplar,block_count,0,235.0,752.0,resource,20,-131.08795007643383,137.57519659559992,11833.436843647049
exemplar,block_count,0,235.0,752.0,timing,20,-361.5874006143952,176.5556296909383,986.5198461997804
exemplar,block_count,1,752.0,776.0,overall,24,-45.84489183034719,136.94256379309118,10604.695380098754
exemplar,block_count,1,752.0,776.0,resource,24,-5.05013903105789,122.0111463679181,15406.048809889176
exemplar,block_count,1,752.0,776.0,timing,24,-127.43439742892576,166.80539864343731,1001.9885205179079
exemplar,block_count,2,776.0,784.0,overall,20,-18.949953936986674,127.29104830545059,13303.421957066357
exemplar,block_count,2,776.0,784.0,resource,20,-20.616393841825627,124.73085583674879,18373.970492387933
exemplar,block_count,2,776.0,784.0,timing,20,-15.617074127308767,132.41143324285423,3162.324886423205
exemplar,block_count,3,784.0,893.0,overall,36,-1.9165218801140256,79.96900635802974,8379.665664561107
exemplar,block_count,3,784.0,893.0,resource,36,-1.7808503761653334,75.16697482788965,11558.582018379753
exemplar,block_count,3,784.0,893.0,timing,36,-2.1878648880114104,89.57306941830993,2021.8329569238178
exemplar,maximum_block_length,0,199.0,318.0,overall,14,0.4945447474214511,47.4540896720767,5602.637296971603
exemplar,maximum_block_length,0,199.0,318.0,resource,14,0.5807478209116055,28.455086359101855,7855.536997794059
exemplar,maximum_block_length,0,199.0,318.0,timing,14,0.3221386004411423,85.4520962980264,1096.8378953266908
exemplar,maximum_block_length,1,318.0,376.0,overall,86,-5.079811777412096,128.58538321516417,10664.102101387958
exemplar,maximum_block_length,1,318.0,376.0,resource,86,-4.848050187618298,121.88405170062336,14952.705585132437
exemplar,maximum_block_length,1,318.0,376.0,timing,86,-5.543334956999692,141.98804624424577,2086.8951338990005
exemplar,loop_block_fraction,0,0.005154639016836882,0.005662514362484217,overall,21,-21.440624616043014,141.44126213823716,13790.52063893756
exemplar,loop_block_fraction,0,0.005154639016836882,0.005662514362484217,resource,21,-30.022927154842,134.12738758276254,20048.3357480706
exemplar,loop_block_fraction,0,0.005154639016836882,0.005662514362484217,timing,21,-4.276019538445044,156.06901124918642,1274.8904206714774
exemplar,loop_block_fraction,1,0.005662514362484217,0.020408162847161293,overall,22,-8.749324589905283,93.63517872184194,8536.190248148252
exemplar,loop_block_fraction,1,0.005662514362484217,0.020408162847161293,resource,22,-0.3763819254802497,83.29352565987071,12460.922978840135
exemplar,loop_block_fraction,1,0.005662514362484217,0.020408162847161293,timing,22,-25.49520991875535,114.31848484578438,686.7247867644858
exemplar,loop_block_fraction,2,0.020408162847161293,0.02129077957943082,overall,32,-7.989493968133769,119.18337290172985,10101.180269508097
exemplar,loop_block_fraction,2,0.020408162847161293,0.02129077957943082,resource,32,-6.815211334088962,118.32138266729994,13668.175583485332
exemplar,loop_block_fraction,2,0.020408162847161293,0.02129077957943082,timing,32,-10.338059236223383,120.90735337058965,2967.189641553624
exemplar,loop_block_fraction,3,0.02129077957943082,0.03404255211353302,overall,25,-3.3230879291851285,115.14367369097334,6864.615014044285
exemplar,loop_block_fraction,3,0.02129077957943082,0.03404255211353302,resource,25,-4.4966404407073295,97.79930824689073,9490.400462268792
exemplar,loop_block_fraction,3,0.02129077957943082,0.03404255211353302,timing,25,-0.9759829061407259,149.83240457913857,1613.0441175952722
exemplar,block_scc_fraction,0,0.5146276595744681,0.5191326530612245,overall,14,-77768.72633427824,150.45951568587685,10188.874595443505
exemplar,block_scc_fraction,0,0.5146276595744681,0.5191326530612245,resource,14,-6.828242953415872,134.19242310122868,14624.266916924727
exemplar,block_scc_fraction,0,0.5146276595744681,0.5191326530612245,timing,14,-233292.5225169279,182.99370085517313,1318.089952481063
exemplar,block_scc_fraction,1,0.5191326530612245,0.5231362467866324,overall,32,-8.977336657644392,112.4071517940185,11917.034617455414
exemplar,block_scc_fraction,1,0.5191326530612245,0.5231362467866324,resource,32,-11.538525691926484,113.77572754209295,16816.754648220824
exemplar,block_scc_fraction,1,0.5191326530612245,0.5231362467866324,timing,32,-3.8549585890802085,109.67000029786959,2117.594555924597
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,overall,28,-8.915233570905052,130.80853048160233,10557.641195958737
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,resource,28,-3.857583122772486,121.81224778816734,14501.50733527304
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,timing,28,-19.030534467170185,148.80109586847226,2669.908917330131
exemplar,block_scc_fraction,3,0.7368421052631579,0.8608923884514436,overall,26,-1.0968859115040444,90.63843390067153,6283.388341171423
exemplar,block_scc_fraction,3,0.7368421052631579,0.8608923884514436,resource,26,-1.6887320557338434,75.00536586339132,8948.459172892808
exemplar,block_scc_fraction,3,0.7368421052631579,0.8608923884514436,timing,26,0.08680637695555377,121.90456997523194,953.246677728656
exemplar,call_depth,0,2.0,4.0,overall,14,0.4945447474214511,47.4540896720767,5602.637296971603
exemplar,call_depth,0,2.0,4.0,resource,14,0.5807478209116055,28.455086359101855,7855.536997794059
exemplar,call_depth,0,2.0,4.0,timing,14,0.3221386004411423,85.4520962980264,1096.8378953266908
exemplar,call_depth,1,4.0,5.0,overall,45,-23.777615922922106,147.06452868281676,10372.230603854827
exemplar,call_depth,1,4.0,5.0,resource,45,-25.85071500142756,139.7027528492868,14490.470999578914
exemplar,call_depth,1,4.0,5.0,timing,45,-19.631417765911188,161.78808034987668,2135.7498124066515
exemplar,call_depth,2,5.0,9.0,overall,41,-3.952021417358528,108.30339428725274,10936.926107220126
exemplar,call_depth,2,5.0,9.0,resource,41,-4.101158700323335,102.3269406837976,15389.78272377246
exemplar,call_depth,2,5.0,9.0,timing,41,-3.653746851428913,120.25630149416304,2031.2128741154595
exemplar,memory_node_count,0,2862.0,8012.0,overall,21,-144.51102587912231,151.94327348611048,8333.631690332933
exemplar,memory_node_count,0,2862.0,8012.0,resource,21,-105.2697542945971,141.85447253643807,12116.980407001014
exemplar,memory_node_count,0,2862.0,8012.0,timing,21,-222.99356904817273,172.1208753854554,766.9342569967738
exemplar,memory_node_count,1,8012.0,8172.5,overall,29,-16.751251654700145,133.1115801670124,13010.101668736368
exemplar,memory_node_count,1,8012.0,8172.5,resource,29,-22.646518943131316,125.61692803591984,18531.044230310406
exemplar,memory_node_count,1,8012.0,8172.5,timing,29,-4.960717077837804,148.1008844291975,1968.2165455882891
exemplar,memory_node_count,2,8172.5,8823.0,overall,23,-6.719113767846285,119.32449372119896,9903.098178479786
exemplar,memory_node_count,2,8172.5,8823.0,resource,23,-4.557737909672975,118.80993392159716,13342.444342473718
exemplar,memory_node_count,2,8172.5,8823.0,timing,23,-11.041865484192906,120.35361332040256,3024.4058504919194
exemplar,memory_node_count,3,8823.0,9398.0,overall,27,-0.7324129930738114,71.37749215829392,7333.660059055649
exemplar,memory_node_count,3,8823.0,9398.0,resource,27,-0.7242971121370648,56.516160695460215,10280.863537665598
exemplar,memory_node_count,3,8823.0,9398.0,timing,27,-0.7486447549473043,101.10015508396128,1439.2531018357517
test,instruction_count,0,2356.0,3533.0,overall,15,-0.11670924314493492,32.73145900510952,2508.4562413840054
test,instruction_count,0,2356.0,3533.0,resource,15,-0.5031185291956306,34.74955982906393,3378.3759998257633
test,instruction_count,0,2356.0,3533.0,timing,15,0.6561093289564565,28.695257357200724,768.6167245004901
test,instruction_count,1,3533.0,16593.0,overall,25,-1.613182682502252,48.687529372743064,194535.94494775461
test,instruction_count,1,3533.0,16593.0,resource,25,-2.8487162759802995,53.810626570383604,26740.198866050803
test,instruction_count,1,3533.0,16593.0,timing,25,0.8578845044538432,38.44133497746199,530127.4371111622
test,instruction_count,2,16593.0,24327.0,overall,20,0.5128607059902953,49.830684889186905,283816.6799248518
test,instruction_count,2,16593.0,24327.0,resource,20,0.47335821265288736,50.46803442948456,30443.12765604127
test,instruction_count,2,16593.0,24327.0,timing,20,0.5918656926651111,48.555985808591586,790563.7844624729
test,instruction_count,3,24327.0,48120.0,overall,21,0.651774267048685,41.55150474646681,30581.002886187707
test,instruction_count,3,24327.0,48120.0,resource,21,0.6353345207234988,35.97526081464456,35270.74694944862
test,instruction_count,3,24327.0,48120.0,timing,21,0.6846537596990572,52.70399261011134,21201.514759665886
test,block_count,0,169.0,253.0,overall,15,-0.11670924314493492,32.73145900510952,2508.4562413840054
test,block_count,0,169.0,253.0,resource,15,-0.5031185291956306,34.74955982906393,3378.3759998257633
test,block_count,0,169.0,253.0,timing,15,0.6561093289564565,28.695257357200724,768.6167245004901
test,block_count,1,253.0,1119.0,overall,25,-1.613182682502252,48.687529372743064,194535.94494775461
test,block_count,1,253.0,1119.0,resource,25,-2.8487162759802995,53.810626570383604,26740.198866050803
test,block_count,1,253.0,1119.0,timing,25,0.8578845044538432,38.44133497746199,530127.4371111622
test,block_count,2,1119.0,1578.0,overall,20,-4.091903720443736,48.426207537752305,259542.8224489234
test,block_count,2,1119.0,1578.0,resource,20,0.45868164411484486,48.96774185480547,30550.068464630673
test,block_count,2,1119.0,1578.0,timing,20,-13.193074449560898,47.34313890364598,717528.330417509
test,block_count,3,1578.0,3202.0,overall,21,0.7357168918148834,42.88910222402357,129398.62548094297
test,block_count,3,1578.0,3202.0,resource,21,0.6383120007376006,37.404110885767494,35206.181509301015
test,block_count,3,1578.0,3202.0,timing,21,0.9305266739694491,53.859084900535734,317783.5134242269
