split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,215,0.012449920106892248,0.2372093023255814,0.22475938221868916,0.09908033999945613
exemplar,all,dsp,1,0.1,0.2,16,0.13372802734375,1.0,0.86627197265625,0.09908033999945613
exemplar,all,dsp,2,0.2,0.3,3,0.24934895833333334,1.0,0.7506510416666666,0.09908033999945613
exemplar,all,dsp,3,0.3,0.4,13,0.357421875,1.0,0.642578125,0.09908033999945613
exemplar,all,dsp,4,0.4,0.5,7,0.43526785714285715,1.0,0.5647321428571428,0.09908033999945613
exemplar,all,dsp,5,0.5,0.6,5,0.55,1.0,0.44999999999999996,0.09908033999945613
exemplar,all,dsp,6,0.6,0.7,10,0.663671875,1.0,0.336328125,0.09908033999945613
exemplar,all,dsp,7,0.7,0.8,5,0.74921875,1.0,0.25078124999999996,0.09908033999945613
exemplar,all,dsp,8,0.8,0.9,14,0.8585379464285714,1.0,0.1414620535714286,0.09908033999945613
exemplar,all,dsp,9,0.9,1.0,598,0.9963289088628763,1.0,0.0036710911371237165,0.09908033999945613
exemplar,all,bram,9,0.9,1.0,886,1.0,0.600451467268623,0.399548532731377,0.399548532731377
exemplar,exemplar,dsp,0,0.0,0.1,215,0.012449920106892248,0.2372093023255814,0.22475938221868916,0.09908033999945613
exemplar,exemplar,dsp,1,0.1,0.2,16,0.13372802734375,1.0,0.86627197265625,0.09908033999945613
exemplar,exemplar,dsp,2,0.2,0.3,3,0.24934895833333334,1.0,0.7506510416666666,0.09908033999945613
exemplar,exemplar,dsp,3,0.3,0.4,13,0.357421875,1.0,0.642578125,0.09908033999945613
exemplar,exemplar,dsp,4,0.4,0.5,7,0.43526785714285715,1.0,0.5647321428571428,0.09908033999945613
exemplar,exemplar,dsp,5,0.5,0.6,5,0.55,1.0,0.44999999999999996,0.09908033999945613
exemplar,exemplar,dsp,6,0.6,0.7,10,0.663671875,1.0,0.336328125,0.09908033999945613
exemplar,exemplar,dsp,7,0.7,0.8,5,0.74921875,1.0,0.25078124999999996,0.09908033999945613
exemplar,exemplar,dsp,8,0.8,0.9,14,0.8585379464285714,1.0,0.1414620535714286,0.09908033999945613
exemplar,exemplar,dsp,9,0.9,1.0,598,0.9963289088628763,1.0,0.0036710911371237165,0.09908033999945613
exemplar,exemplar,bram,9,0.9,1.0,886,1.0,0.600451467268623,0.399548532731377,0.399548532731377
test,2layer,dsp,0,0.0,0.1,88,0.0019222578240177509,0.03409090909090909,0.032168651266891335,0.011507485006042428
test,2layer,dsp,9,0.9,1.0,158,1.0,1.0,0.0,0.011507485006042428
test,2layer,bram,9,0.9,1.0,246,1.0,1.0,0.0,0.0
test,3layer,dsp,0,0.0,0.1,87,0.00020886718927101157,0.0,0.00020886718927101157,8.148630254070855e-05
test,3layer,dsp,9,0.9,1.0,136,1.0,1.0,0.0,8.148630254070855e-05
test,3layer,bram,9,0.9,1.0,223,1.0,1.0,0.0,0.0
test,all,dsp,0,0.0,0.1,390,0.0004845393095253419,0.007692307692307693,0.007207768382782351,0.0033636625501192704
test,all,dsp,9,0.9,1.0,743,1.0,0.9986541049798116,0.0013458950201884479,0.0033636625501192704
test,all,bram,9,0.9,1.0,1133,1.0,0.8217122683142101,0.17828773168578993,0.17828773168578993
test,conv1d,dsp,0,0.0,0.1,31,8.698208017653813e-08,0.0,8.698208017653813e-08,2.8087963390340438e-08
test,conv1d,dsp,9,0.9,1.0,65,1.0,1.0,0.0,2.8087963390340438e-08
test,conv1d,bram,9,0.9,1.0,96,1.0,1.0,0.0,0.0
test,conv2d,dsp,0,0.0,0.1,22,1.7070725096924766e-06,0.0,1.7070725096924766e-06,6.588700914602541e-07
test,conv2d,dsp,9,0.9,1.0,35,1.0,1.0,0.0,6.588700914602541e-07
test,conv2d,bram,9,0.9,1.0,57,1.0,1.0,0.0,0.0
test,dense_latency,dsp,0,0.0,0.1,55,6.751106543974443e-06,0.0,6.751106543974443e-06,2.097801468466635e-06
test,dense_latency,dsp,9,0.9,1.0,122,1.0,1.0,0.0,2.097801468466635e-06
test,dense_latency,bram,9,0.9,1.0,177,1.0,0.0,1.0,1.0
test,dense_resource,dsp,0,0.0,0.1,45,2.6277548426555264e-05,0.0,2.6277548426555264e-05,1.0282518949521624e-05
test,dense_resource,dsp,9,0.9,1.0,70,1.0,1.0,0.0,1.0282518949521624e-05
test,dense_resource,bram,9,0.9,1.0,115,1.0,0.8347826086956521,0.16521739130434787,0.16521739130434784
test,rule4ml,dsp,0,0.0,0.1,62,7.442605795316218e-07,0.0,7.442605795316218e-07,0.00456642074957046
test,rule4ml,dsp,9,0.9,1.0,157,1.0,0.9936305732484076,0.006369426751592355,0.00456642074957046
test,rule4ml,bram,9,0.9,1.0,219,1.0,0.9726027397260274,0.0273972602739726,0.0273972602739726
