split,cohort,target,n_samples,tn,fp,fn,tp,accuracy,precision,recall
exemplar,all,dsp,886,164,0,90,632,0.8984198645598194,1.0,0.8753462603878116
exemplar,all,bram,886,0,354,0,532,0.600451467268623,0.600451467268623,1.0
exemplar,exemplar,dsp,886,164,0,90,632,0.8984198645598194,1.0,0.8753462603878116
exemplar,exemplar,bram,886,0,354,0,532,0.600451467268623,0.600451467268623,1.0
test,2layer,dsp,246,85,0,3,158,0.9878048780487805,1.0,0.9813664596273292
test,2layer,bram,246,0,0,0,246,1.0,1.0,1.0
test,3layer,dsp,223,87,0,0,136,1.0,1.0,1.0
test,3layer,bram,223,0,0,0,223,1.0,1.0,1.0
test,all,dsp,1133,387,1,3,742,0.9964695498676082,0.9986541049798116,0.9959731543624161
test,all,bram,1133,0,202,0,931,0.8217122683142101,0.8217122683142101,1.0
test,conv1d,dsp,96,31,0,0,65,1.0,1.0,1.0
test,conv1d,bram,96,0,0,0,96,1.0,1.0,1.0
test,conv2d,dsp,57,22,0,0,35,1.0,1.0,1.0
test,conv2d,bram,57,0,0,0,57,1.0,1.0,1.0
test,dense_latency,dsp,177,55,0,0,122,1.0,1.0,1.0
test,dense_latency,bram,177,0,177,0,0,0.0,0.0,
test,dense_resource,dsp,115,45,0,0,70,1.0,1.0,1.0
test,dense_resource,bram,115,0,19,0,96,0.8347826086956521,0.8347826086956521,1.0
test,rule4ml,dsp,219,62,1,0,156,0.9954337899543378,0.9936305732484076,1.0
test,rule4ml,bram,219,0,6,0,213,0.9726027397260274,0.9726027397260274,1.0
