epoch,train_loss,val_r2,val_r2_lut,val_r2_ff,val_r2_dsp,val_r2_bram,val_r2_cycles_max,val_r2_interval_max,val_resource_r2,val_timing_r2,val_smape,val_smape_lut,val_smape_ff,val_smape_dsp,val_smape_bram,val_smape_cycles_max,val_smape_interval_max,val_resource_smape,val_timing_smape,val_rmse,val_rmse_lut,val_rmse_ff,val_rmse_dsp,val_rmse_bram,val_rmse_cycles_max,val_rmse_interval_max,val_resource_rmse,val_timing_rmse,val_loss,train_seconds,validation_seconds,epoch_seconds,cumulative_training_seconds,learning_rate,next_learning_rate,train_seconds_per_sample,data_wait_seconds,compute_submission_seconds,data_wait_fraction,mean_pre_clip_gradient_norm,peak_gpu_memory_mb
1,0.2939341068267822,0.28900811076164246,0.3828135132789612,0.37756603956222534,0.18183785676956177,0.2648320198059082,0.21544229984283447,0.31155699491500854,0.30176234245300293,0.2634996473789215,54.0933952331543,47.15009689331055,47.816802978515625,66.32007598876953,44.62135696411133,57.108219146728516,61.5438117980957,51.47708511352539,59.32601547241211,317559.03125,112176.7265625,59779.1875,1418.392578125,32.21000289916992,894157.875,837789.625,43351.625,865973.75,0.20990683138370514,140.94578112499948,15.736620147999929,156.68240461700043,156.7385850690007,0.001,0.001,0.027283349036972413,3.55410861305063,137.38489275195025,0.025217353455246033,1.9189513333072603,607.21435546875
2,0.1833304762840271,0.3989168703556061,0.4480953812599182,0.40084290504455566,0.42828285694122314,0.3526965379714966,0.39650195837020874,0.36708152294158936,0.4074794352054596,0.38179174065589905,46.82973098754883,43.25456619262695,44.59210968017578,41.224761962890625,46.01434326171875,50.41416931152344,55.47844696044922,43.771446228027344,52.94630813598633,292243.8125,106078.3046875,58650.76953125,1185.6796875,30.223968505859375,784223.25,803294.625,41486.2421875,793758.9375,0.1408032327890396,141.22375243900024,19.363247904999298,160.58700244800275,317.4936570300015,0.001,0.001,0.02733715687940384,3.917384150932776,137.30269537106506,0.027739569076807986,2.002342007662121,660.775390625
3,0.1528250128030777,0.43322834372520447,0.5901757478713989,0.5448755621910095,0.7457787990570068,0.39768338203430176,0.17243438959121704,0.14842218160629272,0.5696283578872681,0.16042828559875488,44.46653747558594,39.561859130859375,40.60458755493164,35.12041473388672,43.36894989013672,52.266998291015625,55.87641143798828,39.6639518737793,54.07170486450195,332244.21875,91409.9375,51117.359375,790.6470947265625,29.154788970947266,918338.875,931779.5,35836.7734375,925059.1875,0.13260449469089508,139.79236709999896,27.029191121000622,166.82156009399841,484.46696915199936,0.001,0.001,0.027060078803716407,4.46477328896799,135.3254478370327,0.03193909597541621,1.86176914927022,660.775390625
4,0.13662490248680115,0.4857971966266632,0.6071039438247681,0.6312228441238403,0.6165127754211426,0.32734179496765137,0.292503297328949,0.44009870290756226,0.5455453395843506,0.3663010001182556,39.18299102783203,34.25579833984375,35.604591369628906,29.92611312866211,42.72822952270508,42.24091720581055,50.34230422973633,35.62868118286133,46.29161071777344,290194.375,89502.140625,46013.5078125,971.0737915039062,30.810213088989258,849110.0625,755538.6875,34129.38671875,802324.375,0.1065228134393692,141.1295756489999,25.372005615998205,166.50158252700203,651.1616064519985,0.001,0.001,0.02731892676132402,7.347386492969235,133.77945972103043,0.0520622878642659,2.0704505907677277,660.775390625
5,0.12064635753631592,0.3363630771636963,0.5514680743217468,0.5181863903999329,0.8311374187469482,0.4244539141654968,0.3831351399421692,-0.6902025938034058,0.5813114643096924,-0.1535337269306183,40.78217697143555,33.76594543457031,33.646141052246094,35.91009521484375,35.60731887817383,48.81407165527344,56.94951248168945,34.73237609863281,52.88179016113281,375745.375,95629.359375,52594.8125,644.3821411132812,28.499521255493164,792860.5,1312714.75,37224.26171875,1052787.625,0.11673028022050858,139.44299453200074,19.075824862000445,158.5188205170016,809.8773534319989,0.001,0.001,0.02699244958033309,5.2489165080151,134.19097937498736,0.03764286020709039,2.46077114417457,660.775390625
6,0.11463449895381927,-0.23827104270458221,0.7078567147254944,0.7541426420211792,-4.423245906829834,0.47550511360168457,0.5578444004058838,0.49827080965042114,-0.6214353442192078,0.5280575752258301,38.259151458740234,32.303314208984375,32.229740142822266,32.91902542114258,35.66006088256836,45.7371940612793,50.70557403564453,33.27803421020508,48.22138214111328,250816.390625,77177.8203125,37570.328125,3651.795166015625,27.206214904785156,671257.8125,715213.4375,29606.787109375,693235.625,0.10340571403503418,138.1589671469992,23.77330456100026,161.93227364300037,971.879619880001,0.001,0.001,0.0267438960795585,3.4199234489933588,134.7364060840082,0.024754012071350216,2.6132281076612855,660.775390625
7,0.10838764905929565,0.6536984443664551,0.7259832620620728,0.7570352554321289,0.8204078674316406,0.5154895186424255,0.5355983972549438,0.5676764249801636,0.7047289609909058,0.5516374111175537,35.15473556518555,30.35505485534668,28.15484046936035,24.463470458984375,39.20553970336914,40.8277587890625,47.9217529296875,30.544727325439453,44.374755859375,244104.265625,74745.1640625,37348.65625,664.5388793945312,26.148637771606445,687936.9375,663904.25,28196.126953125,675920.625,0.08785747736692429,145.934660308998,24.85447313899931,170.78913466599988,1142.8257870320012,0.001,0.001,0.028249063164730543,8.237299887005065,137.69407855099416,0.05644639264820475,2.47961608904065,660.775390625
8,0.1049969345331192,0.6599702835083008,0.7609949111938477,0.7808071970939636,0.8366986513137817,0.4753751754760742,0.637068510055542,0.4688774347305298,0.7134690284729004,0.5529729723930359,34.161991119384766,28.04387855529785,25.238271713256836,25.434112548828125,35.3197021484375,40.42067337036133,50.515323638916016,28.508991241455078,45.46799850463867,241660.375,69806.8671875,35474.51953125,633.6824951171875,27.209585189819336,608154.6875,735865.3125,26485.5703125,672010.0,0.08856668323278427,141.53515007200258,22.11963105799805,163.6547822950015,1306.5884990160012,0.001,0.001,0.027397435166860738,5.166428303964494,136.366987557034,0.03650324040111135,2.4550314474585626,660.775390625
9,0.10088581591844559,0.651892364025116,0.7202917337417603,0.8143727779388428,0.724157989025116,0.4836004972457886,0.5937186479568481,0.5752125978469849,0.6856057643890381,0.5844656229019165,35.791595458984375,27.547592163085938,25.370708465576172,24.01439666748047,41.099769592285156,45.400634765625,51.31648635864258,29.508115768432617,48.358558654785156,235092.75,75517.4375,32645.564453125,823.5822143554688,26.995439529418945,643450.625,658092.25,27253.39453125,650771.4375,0.09060817956924438,137.85736240900223,19.877479494,157.73484284000006,1464.5954388540013,0.001,0.001,0.026685513435734075,3.8251429599768016,134.0301256560233,0.02774752824741033,2.5622111617965224,660.775390625
10,0.09939946979284286,0.5207709670066833,0.7376420497894287,0.7336218357086182,0.8405175805091858,0.3770591616630554,0.19991028308868408,0.23587465286254883,0.672210156917572,0.21789246797561646,35.914485931396484,30.560476303100586,30.396621704101562,27.67058563232422,34.67500305175781,42.05208206176758,50.132144927978516,30.825672149658203,46.09211349487305,316417.53125,73137.765625,39106.8359375,626.2290649414062,29.649742126464844,902965.4375,882639.3125,28225.119140625,892802.375,0.09465284645557404,138.5049699480005,21.360283877002075,159.86525572000028,1624.4694638699984,0.001,0.001,0.026810873005807298,4.225676164995093,134.27499983900634,0.030510148303341197,2.451902073695564,660.775390625
