split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,886,0.3735836644967397,74.72398440043132,4887.826591690381
exemplar,all,resource,886,0.3581349700689316,69.33676433563232,7008.20737105608
exemplar,all,timing,886,0.40448105335235596,85.4984245300293,647.0650329589844
exemplar,exemplar,overall,886,0.3735836644967397,74.72398440043132,4887.826591690381
exemplar,exemplar,resource,886,0.3581349700689316,69.33676433563232,7008.20737105608
exemplar,exemplar,timing,886,0.40448105335235596,85.4984245300293,647.0650329589844
test,2layer,overall,246,0.6646972795327505,14.830388704935709,1095.924883166949
test,2layer,resource,246,0.5199818164110184,18.542316436767578,1466.7302088141441
test,2layer,timing,246,0.9541282057762146,7.406533241271973,354.3142318725586
test,3layer,overall,223,0.7493207255999247,12.440745830535889,1182.3756015499432
test,3layer,resource,223,0.644030824303627,14.99704909324646,1558.201730877161
test,3layer,timing,223,0.9599005281925201,7.328139305114746,430.7233428955078
test,all,overall,1133,0.7720995446046194,18.32140604654948,226323.6887296041
test,all,resource,1133,0.8466538786888123,18.304492950439453,17695.642469406128
test,all,timing,1133,0.6229908764362335,18.35523223876953,643579.78125
test,conv1d,overall,96,0.9056936403115591,17.58192189534505,17779.493822748464
test,conv1d,resource,96,0.9230463653802872,11.895842552185059,2003.7465934976935
test,conv1d,timing,96,0.8709881901741028,28.95408058166504,49330.98828125
test,conv2d,overall,57,0.6163111726442972,28.3349191347758,973996.1605141163
test,conv2d,resource,57,0.6956657916307449,18.617072343826294,26688.61577117443
test,conv2d,timing,57,0.457601934671402,47.770612716674805,2868611.25
test,dense_latency,overall,177,-497923.6176731189,10.005220810572306,10710.517029324546
test,dense_latency,resource,177,-746885.9204955846,10.347389101982117,16060.957579492591
test,dense_latency,timing,177,0.9879718124866486,9.320884227752686,9.635928988456726
test,dense_resource,overall,115,0.9436715543270111,11.890989144643148,7872.690680305163
test,dense_resource,resource,115,0.9347164928913116,10.151824951171875,11671.08495157957
test,dense_resource,timing,115,0.96158167719841,15.369317531585693,275.90213775634766
test,rule4ml,overall,219,0.7357487877209982,36.0467955271403,18922.987659454346
test,rule4ml,resource,219,0.723590761423111,34.845282554626465,28285.590509414673
test,rule4ml,timing,219,0.7600648403167725,38.44982147216797,197.7819595336914
