split,cohort,source,model,n_samples,metric,target,value,is_best
test,All,paper,MLP,102484,r2,bram,0.32,False
test,All,paper,MLP,102484,r2,dsp,0.03,False
test,All,paper,MLP,102484,r2,ff,0.2,False
test,All,paper,MLP,102484,r2,lut,0.49,False
test,All,paper,MLP,102484,r2,cycles_max,0.54,False
test,All,paper,MLP,102484,r2,interval_max,0.56,False
test,All,paper,MLP,102484,smape,bram,33.9,False
test,All,paper,MLP,102484,smape,dsp,105.7,False
test,All,paper,MLP,102484,smape,ff,24.9,False
test,All,paper,MLP,102484,smape,lut,15.5,False
test,All,paper,MLP,102484,smape,cycles_max,31.8,False
test,All,paper,MLP,102484,smape,interval_max,25.8,False
test,All,paper,MLP,102484,rmse,bram,12.5,True
test,All,paper,MLP,102484,rmse,dsp,590.4,False
test,All,paper,MLP,102484,rmse,ff,31897.9,False
test,All,paper,MLP,102484,rmse,lut,40463.1,True
test,All,paper,MLP,102484,rmse,cycles_max,450879.5,False
test,All,paper,MLP,102484,rmse,interval_max,221524.7,False
test,All,paper,GNN,102484,r2,bram,0.51,False
test,All,paper,GNN,102484,r2,dsp,0.89,False
test,All,paper,GNN,102484,r2,ff,0.74,False
test,All,paper,GNN,102484,r2,lut,0.73,False
test,All,paper,GNN,102484,r2,cycles_max,0.89,False
test,All,paper,GNN,102484,r2,interval_max,0.91,False
test,All,paper,GNN,102484,smape,bram,19.5,False
test,All,paper,GNN,102484,smape,dsp,15.1,False
test,All,paper,GNN,102484,smape,ff,11.6,False
test,All,paper,GNN,102484,smape,lut,11.4,False
test,All,paper,GNN,102484,smape,cycles_max,15.7,False
test,All,paper,GNN,102484,smape,interval_max,13.4,True
test,All,paper,GNN,102484,rmse,bram,48.0,False
test,All,paper,GNN,102484,rmse,dsp,580.0,False
test,All,paper,GNN,102484,rmse,ff,55087.6,False
test,All,paper,GNN,102484,rmse,lut,104945.7,False
test,All,paper,GNN,102484,rmse,cycles_max,227987.8,False
test,All,paper,GNN,102484,rmse,interval_max,201369.9,False
test,All,paper,Transformer,102484,r2,bram,0.39,False
test,All,paper,Transformer,102484,r2,dsp,0.29,False
test,All,paper,Transformer,102484,r2,ff,0.72,False
test,All,paper,Transformer,102484,r2,lut,0.67,False
test,All,paper,Transformer,102484,r2,cycles_max,0.95,True
test,All,paper,Transformer,102484,r2,interval_max,0.95,True
test,All,paper,Transformer,102484,smape,bram,14.1,True
test,All,paper,Transformer,102484,smape,dsp,10.8,True
test,All,paper,Transformer,102484,smape,ff,2.9,True
test,All,paper,Transformer,102484,smape,lut,2.9,True
test,All,paper,Transformer,102484,smape,cycles_max,10.1,True
test,All,paper,Transformer,102484,smape,interval_max,14.1,False
test,All,paper,Transformer,102484,rmse,bram,53.7,False
test,All,paper,Transformer,102484,rmse,dsp,1472.3,False
test,All,paper,Transformer,102484,rmse,ff,57138.2,False
test,All,paper,Transformer,102484,rmse,lut,115943.6,False
test,All,paper,Transformer,102484,rmse,cycles_max,147137.7,True
test,All,paper,Transformer,102484,rmse,interval_max,150688.4,True
test,All,run,hierarchical_bottom_up_v3_seed42,1133,r2,bram,0.7254098243387193,True
test,All,run,hierarchical_bottom_up_v3_seed42,1133,r2,dsp,0.956705362881448,True
test,All,run,hierarchical_bottom_up_v3_seed42,1133,r2,ff,0.8925708928297443,True
test,All,run,hierarchical_bottom_up_v3_seed42,1133,r2,lut,0.8119294351904752,True
test,All,run,hierarchical_bottom_up_v3_seed42,1133,r2,cycles_max,0.6138550893123533,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,r2,interval_max,0.6321267408879592,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,smape,bram,24.91932265613564,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,smape,dsp,14.554647279295226,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,smape,ff,15.807359744270862,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,smape,lut,17.93664327929577,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,smape,cycles_max,19.736639261483518,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,smape,interval_max,16.973824562080225,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,rmse,bram,20.312339551561152,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,rmse,dsp,251.58373036067277,True
test,All,run,hierarchical_bottom_up_v3_seed42,1133,rmse,ff,21987.9317538723,True
test,All,run,hierarchical_bottom_up_v3_seed42,1133,rmse,lut,48522.74427109347,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,rmse,cycles_max,651321.1153711309,False
test,All,run,hierarchical_bottom_up_v3_seed42,1133,rmse,interval_max,635838.4461872268,False
test,Dense,paper,MLP,91307,r2,bram,0.47,False
test,Dense,paper,MLP,91307,r2,dsp,0.03,False
test,Dense,paper,MLP,91307,r2,ff,0.13,False
test,Dense,paper,MLP,91307,r2,lut,0.49,False
test,Dense,paper,MLP,91307,r2,cycles_max,0.74,False
test,Dense,paper,MLP,91307,r2,interval_max,0.77,False
test,Dense,paper,MLP,91307,smape,bram,33.3,False
test,Dense,paper,MLP,91307,smape,dsp,106.6,False
test,Dense,paper,MLP,91307,smape,ff,24.5,False
test,Dense,paper,MLP,91307,smape,lut,14.8,False
test,Dense,paper,MLP,91307,smape,cycles_max,30.9,False
test,Dense,paper,MLP,91307,smape,interval_max,24.8,False
test,Dense,paper,MLP,91307,rmse,bram,9.3,True
test,Dense,paper,MLP,91307,rmse,dsp,603.0,False
test,Dense,paper,MLP,91307,rmse,ff,31441.0,False
test,Dense,paper,MLP,91307,rmse,lut,41221.3,True
test,Dense,paper,MLP,91307,rmse,cycles_max,1548.5,False
test,Dense,paper,MLP,91307,rmse,interval_max,639.8,False
test,Dense,paper,GNN,91307,r2,bram,-0.51,False
test,Dense,paper,GNN,91307,r2,dsp,-0.74,False
test,Dense,paper,GNN,91307,r2,ff,0.73,False
test,Dense,paper,GNN,91307,r2,lut,0.73,False
test,Dense,paper,GNN,91307,r2,cycles_max,0.82,False
test,Dense,paper,GNN,91307,r2,interval_max,0.91,False
test,Dense,paper,GNN,91307,smape,bram,24.6,False
test,Dense,paper,GNN,91307,smape,dsp,23.9,False
test,Dense,paper,GNN,91307,smape,ff,11.8,False
test,Dense,paper,GNN,91307,smape,lut,11.6,False
test,Dense,paper,GNN,91307,smape,cycles_max,15.8,False
test,Dense,paper,GNN,91307,smape,interval_max,13.4,True
test,Dense,paper,GNN,91307,rmse,bram,86.1,False
test,Dense,paper,GNN,91307,rmse,dsp,18950.8,False
test,Dense,paper,GNN,91307,rmse,ff,56341.8,False
test,Dense,paper,GNN,91307,rmse,lut,107544.5,False
test,Dense,paper,GNN,91307,rmse,cycles_max,1304.9,False
test,Dense,paper,GNN,91307,rmse,interval_max,415.1,False
test,Dense,paper,Transformer,91307,r2,bram,0.39,False
test,Dense,paper,Transformer,91307,r2,dsp,0.29,False
test,Dense,paper,Transformer,91307,r2,ff,0.71,False
test,Dense,paper,Transformer,91307,r2,lut,0.67,False
