scale,model,split,kernel_family,target,smape,r2,rmse,n_samples,inference_seconds_per_sample
25,logistic_hurdle_rbf_expected_graph,test,all,lut,29.251924514770508,0.7522234916687012,54030.2265625,294,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,all,ff,36.16032409667969,0.7505817413330078,34003.38671875,294,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,all,dsp,46.668479919433594,0.8044697642326355,470.86102294921875,294,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,all,bram,33.89479064941406,0.4246220588684082,22.855606079101562,294,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,all,cycles_max,35.70701217651367,0.12732195854187012,489389.3125,294,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,all,interval_max,44.363548278808594,0.12172800302505493,491169.96875,294,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,2layer,lut,16.087377548217773,0.7228123545646667,3525.68017578125,64,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,2layer,ff,14.392815589904785,0.7396095991134644,2022.2825927734375,64,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,2layer,dsp,22.895734786987305,0.5661396980285645,2.9381489753723145,64,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,2layer,bram,23.95254135131836,-0.05160069465637207,2.212676525115967,64,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,2layer,cycles_max,7.175856590270996,0.9653131365776062,411.4597473144531,64,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,2layer,interval_max,8.946022033691406,0.9299092888832092,348.0846252441406,64,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,3layer,lut,16.896154403686523,0.6259773373603821,5947.396484375,58,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,3layer,ff,15.667346000671387,0.5453961491584778,3511.2060546875,58,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,3layer,dsp,21.78362464904785,0.6245800256729126,3.4025447368621826,58,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,3layer,bram,25.92803192138672,-0.08684194087982178,6.1846418380737305,58,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,3layer,cycles_max,8.304999351501465,0.9590093493461609,658.9895629882812,58,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,3layer,interval_max,10.924781799316406,0.9174114465713501,398.62939453125,58,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,conv1d,lut,14.710341453552246,0.8692150115966797,4858.298828125,24,0.00036004955907979974
25,logistic_hurdle_rbf_expected_graph,test,conv1d,ff,16.234289169311523,0.7132562398910522,9528.787109375,24,0.00036004955907979974
