timestamp,utilization_gpu_percent,utilization_memory_percent,memory_used_mb,power_draw_w,clock_sm_mhz,temperature_c,pstate
2026/08/16 15:47:42.868, 0, 0, 215, 32.08, 585, 73, P0
2026/08/16 15:47:43.382, 5, 0, 313, 32.28, 585, 73, P0
2026/08/16 15:47:43.891, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:44.400, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:44.908, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:45.417, 0, 0, 333, 32.77, 585, 73, P0
2026/08/16 15:47:45.926, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:46.434, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:46.943, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:47.451, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:47.959, 0, 0, 333, 32.18, 585, 73, P0
2026/08/16 15:47:48.468, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:48.976, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:49.484, 0, 0, 333, 32.18, 585, 73, P0
2026/08/16 15:47:49.996, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:50.506, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:51.014, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:51.523, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:52.031, 0, 0, 333, 32.18, 585, 73, P0
2026/08/16 15:47:52.539, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:53.049, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:53.557, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:54.066, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:54.575, 0, 0, 333, 32.28, 585, 73, P0
2026/08/16 15:47:55.084, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:55.593, 0, 0, 333, 32.18, 585, 73, P0
2026/08/16 15:47:56.101, 0, 0, 333, 32.08, 585, 73, P0
2026/08/16 15:47:56.609, 0, 0, 333, 32.18, 585, 73, P0
2026/08/16 15:47:57.120, 0, 0, 333, 32.18, 585, 73, P0
2026/08/16 15:47:57.629, 0, 0, 333, 32.18, 585, 73, P0
2026/08/16 15:47:58.136, 0, 0, 333, 32.18, 585, 73, P0
2026/08/16 15:47:58.645, 0, 0, 333, 32.18, 585, 73, P0
2026/08/16 15:47:59.156, 0, 0, 339, 32.18, 585, 73, P0
2026/08/16 15:47:59.666, 0, 0, 451, 32.28, 585, 73, P0
2026/08/16 15:48:00.175, 3, 1, 575, 33.66, 585, 73, P0
2026/08/16 15:48:00.683, 6, 0, 649, 32.18, 585, 73, P0
2026/08/16 15:48:01.192, 45, 8, 1183, 32.28, 675, 73, P0
2026/08/16 15:48:01.701, 84, 16, 1187, 50.36, 1425, 74, P0
2026/08/16 15:48:02.210, 27, 14, 1849, 45.49, 1590, 74, P0
2026/08/16 15:48:02.725, 35, 10, 1891, 61.76, 1590, 75, P0
2026/08/16 15:48:03.232, 32, 16, 2135, 45.69, 1575, 75, P0
2026/08/16 15:48:03.738, 65, 25, 2163, 57.48, 1590, 75, P0
2026/08/16 15:48:04.245, 18, 6, 2163, 54.82, 1590, 75, P0
2026/08/16 15:48:04.754, 40, 14, 2189, 50.00, 1590, 75, P0
2026/08/16 15:48:05.260, 52, 16, 2189, 69.48, 1575, 76, P0
2026/08/16 15:48:05.767, 60, 16, 2189, 61.96, 1590, 76, P0
2026/08/16 15:48:06.273, 52, 16, 2189, 56.26, 1590, 76, P0
2026/08/16 15:48:06.781, 70, 21, 2189, 56.03, 1590, 76, P0
2026/08/16 15:48:07.289, 94, 5, 2189, 57.01, 1575, 76, P0
2026/08/16 15:48:07.807, 26, 6, 2189, 74.74, 1590, 76, P0
2026/08/16 15:48:08.314, 28, 13, 2189, 53.41, 1590, 76, P0
2026/08/16 15:48:08.820, 24, 6, 2189, 55.81, 1590, 77, P0
2026/08/16 15:48:09.328, 52, 17, 2189, 62.16, 1575, 77, P0
2026/08/16 15:48:09.839, 29, 8, 2189, 64.34, 1590, 77, P0
2026/08/16 15:48:10.346, 41, 14, 2189, 48.56, 1590, 77, P0
2026/08/16 15:48:10.856, 20, 2, 2189, 60.19, 1590, 77, P0
2026/08/16 15:48:11.364, 60, 18, 2189, 54.27, 1575, 77, P0
2026/08/16 15:48:11.873, 34, 10, 2189, 51.71, 1590, 77, P0
2026/08/16 15:48:12.380, 83, 26, 2273, 48.82, 1575, 78, P0
2026/08/16 15:48:12.898, 18, 1, 2291, 52.59, 1590, 77, P0
2026/08/16 15:48:13.404, 55, 21, 2291, 64.34, 1590, 78, P0
2026/08/16 15:48:13.911, 16, 3, 2291, 47.90, 1590, 78, P0
2026/08/16 15:48:14.419, 88, 16, 2291, 52.49, 1590, 78, P0
