split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,182,0.004317900186384117,0.0989010989010989,0.09458319871471478,0.055276393175596045
exemplar,all,dsp,1,0.1,0.2,10,0.135546875,1.0,0.864453125,0.055276393175596045
exemplar,all,dsp,2,0.2,0.3,6,0.2605794270833333,1.0,0.7394205729166667,0.055276393175596045
exemplar,all,dsp,3,0.3,0.4,5,0.360546875,1.0,0.639453125,0.055276393175596045
exemplar,all,dsp,4,0.4,0.5,7,0.4271763392857143,1.0,0.5728236607142857,0.055276393175596045
exemplar,all,dsp,5,0.5,0.6,8,0.52880859375,1.0,0.47119140625,0.055276393175596045
exemplar,all,dsp,6,0.6,0.7,8,0.6630859375,1.0,0.3369140625,0.055276393175596045
exemplar,all,dsp,7,0.7,0.8,4,0.75390625,1.0,0.24609375,0.055276393175596045
exemplar,all,dsp,8,0.8,0.9,9,0.8480902777777778,1.0,0.1519097222222222,0.055276393175596045
exemplar,all,dsp,9,0.9,1.0,647,0.995894513137558,1.0,0.004105486862442054,0.055276393175596045
exemplar,all,bram,0,0.0,0.1,64,0.006858610548079014,0.0,0.006858610548079014,0.297426643072886
exemplar,all,bram,1,0.1,0.2,9,0.1418185763888889,0.0,0.1418185763888889,0.297426643072886
exemplar,all,bram,3,0.3,0.4,1,0.3046875,0.0,0.3046875,0.297426643072886
exemplar,all,bram,4,0.4,0.5,2,0.474609375,1.0,0.525390625,0.297426643072886
exemplar,all,bram,5,0.5,0.6,10,0.51328125,0.0,0.51328125,0.297426643072886
exemplar,all,bram,6,0.6,0.7,9,0.66015625,0.4444444444444444,0.21571180555555558,0.297426643072886
exemplar,all,bram,7,0.7,0.8,26,0.7603665865384616,0.38461538461538464,0.3757512019230769,0.297426643072886
exemplar,all,bram,8,0.8,0.9,24,0.8478190104166666,0.6666666666666666,0.18115234375,0.297426643072886
exemplar,all,bram,9,0.9,1.0,741,0.9976488697705803,0.6747638326585695,0.3228850371120108,0.297426643072886
exemplar,exemplar,dsp,0,0.0,0.1,182,0.004317900186384117,0.0989010989010989,0.09458319871471478,0.055276393175596045
exemplar,exemplar,dsp,1,0.1,0.2,10,0.135546875,1.0,0.864453125,0.055276393175596045
exemplar,exemplar,dsp,2,0.2,0.3,6,0.2605794270833333,1.0,0.7394205729166667,0.055276393175596045
exemplar,exemplar,dsp,3,0.3,0.4,5,0.360546875,1.0,0.639453125,0.055276393175596045
exemplar,exemplar,dsp,4,0.4,0.5,7,0.4271763392857143,1.0,0.5728236607142857,0.055276393175596045
exemplar,exemplar,dsp,5,0.5,0.6,8,0.52880859375,1.0,0.47119140625,0.055276393175596045
exemplar,exemplar,dsp,6,0.6,0.7,8,0.6630859375,1.0,0.3369140625,0.055276393175596045
exemplar,exemplar,dsp,7,0.7,0.8,4,0.75390625,1.0,0.24609375,0.055276393175596045
exemplar,exemplar,dsp,8,0.8,0.9,9,0.8480902777777778,1.0,0.1519097222222222,0.055276393175596045
exemplar,exemplar,dsp,9,0.9,1.0,647,0.995894513137558,1.0,0.004105486862442054,0.055276393175596045
exemplar,exemplar,bram,0,0.0,0.1,64,0.006858610548079014,0.0,0.006858610548079014,0.297426643072886
exemplar,exemplar,bram,1,0.1,0.2,9,0.1418185763888889,0.0,0.1418185763888889,0.297426643072886
exemplar,exemplar,bram,3,0.3,0.4,1,0.3046875,0.0,0.3046875,0.297426643072886
exemplar,exemplar,bram,4,0.4,0.5,2,0.474609375,1.0,0.525390625,0.297426643072886
exemplar,exemplar,bram,5,0.5,0.6,10,0.51328125,0.0,0.51328125,0.297426643072886
exemplar,exemplar,bram,6,0.6,0.7,9,0.66015625,0.4444444444444444,0.21571180555555558,0.297426643072886
exemplar,exemplar,bram,7,0.7,0.8,26,0.7603665865384616,0.38461538461538464,0.3757512019230769,0.297426643072886
exemplar,exemplar,bram,8,0.8,0.9,24,0.8478190104166666,0.6666666666666666,0.18115234375,0.297426643072886
exemplar,exemplar,bram,9,0.9,1.0,741,0.9976488697705803,0.6747638326585695,0.3228850371120108,0.297426643072886
test,2layer,dsp,0,0.0,0.1,40,0.0055486913304775955,0.025,0.019451308669522407,0.007755668774247156
test,2layer,dsp,1,0.1,0.2,1,0.18359375,0.0,0.18359375,0.007755668774247156
test,2layer,dsp,9,0.9,1.0,84,0.9999069940476191,1.0,9.300595238093123e-05,0.007755668774247156
test,2layer,bram,9,0.9,1.0,125,1.0,1.0,0.0,0.0
test,3layer,dsp,0,0.0,0.1,38,1.3637233917650424e-05,0.0,1.3637233917650424e-05,4.467369731644104e-06
test,3layer,dsp,9,0.9,1.0,78,1.0,1.0,0.0,4.467369731644104e-06
test,3layer,bram,9,0.9,1.0,116,1.0,1.0,0.0,0.0
test,all,dsp,0,0.0,0.1,192,0.0012453836534405127,0.005208333333333333,0.00396294967989282,0.0036545300818540015
test,all,dsp,1,0.1,0.2,1,0.18359375,0.0,0.18359375,0.0036545300818540015
test,all,dsp,7,0.7,0.8,1,0.71484375,1.0,0.28515625,0.0036545300818540015
test,all,dsp,9,0.9,1.0,399,0.9998433583959899,0.9974937343358395,0.0023496240601503793,0.0036545300818540015
test,all,bram,0,0.0,0.1,104,0.0009500261467809861,0.0,0.0009500261467809861,0.0032889801336681286
test,all,bram,8,0.8,0.9,1,0.8828125,0.0,0.8828125,0.0032889801336681286
test,all,bram,9,0.9,1.0,488,0.9999359631147541,0.9979508196721312,0.0019851434426229053,0.0032889801336681286
test,conv1d,dsp,0,0.0,0.1,18,4.6472582552168104e-05,0.0,4.6472582552168104e-05,1.5209208835255015e-05
test,conv1d,dsp,9,0.9,1.0,37,1.0,1.0,0.0,1.5209208835255015e-05
test,conv1d,bram,9,0.9,1.0,55,1.0,1.0,0.0,0.0
test,conv2d,dsp,0,0.0,0.1,10,7.446855306625366e-06,0.0,7.446855306625366e-06,3.102856377760569e-06
test,conv2d,dsp,9,0.9,1.0,14,1.0,1.0,0.0,3.102856377760569e-06
test,conv2d,bram,9,0.9,1.0,24,1.0,1.0,0.0,0.0
test,dense_latency,dsp,0,0.0,0.1,28,0.00016265256064278738,0.0,0.00016265256064278738,5.0603018866644964e-05
test,dense_latency,dsp,9,0.9,1.0,62,1.0,1.0,0.0,5.0603018866644964e-05
test,dense_latency,bram,0,0.0,0.1,90,8.748399300707711e-05,0.0,8.748399300707711e-05,8.748399300707711e-05
test,dense_resource,dsp,0,0.0,0.1,24,1.694882909456889e-05,0.0,1.694882909456889e-05,6.894438953722937e-06
test,dense_resource,dsp,9,0.9,1.0,35,1.0,1.0,0.0,6.894438953722937e-06
