split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,886,0.11645857493082683,79.07254219055176,5594.429865082105
exemplar,all,resource,886,-0.01683203876018524,70.88194561004639,8065.483069717884
exemplar,all,timing,886,0.38303980231285095,95.4537353515625,652.3234558105469
exemplar,exemplar,overall,886,0.11645857493082683,79.07254219055176,5594.429865082105
exemplar,exemplar,resource,886,-0.01683203876018524,70.88194561004639,8065.483069717884
exemplar,exemplar,timing,886,0.38303980231285095,95.4537353515625,652.3234558105469
test,2layer,overall,125,0.3837653199831645,21.083858172098797,1742.4116340080898
test,2layer,resource,125,0.14066869020462036,23.42533254623413,2310.9669840931892
test,2layer,timing,125,0.8699585795402527,16.400909423828125,605.3009338378906
test,3layer,overall,116,0.4638199508190155,20.546921253204346,2364.6230839888253
test,3layer,resource,116,0.2545658349990845,23.161163330078125,3198.4515784978867
test,3layer,timing,116,0.8823281824588776,15.318437099456787,696.9660949707031
test,all,overall,593,0.6169452468554179,28.10288651784261,263537.6164890925
test,all,resource,593,0.7303326725959778,26.929635524749756,25731.346608638763
test,all,timing,593,0.3901703953742981,30.44938850402832,739150.15625
test,conv1d,overall,55,0.5242010553677877,33.21793381373087,45139.7367152969
test,conv1d,resource,55,0.712674081325531,21.25506615638733,3121.5699166953564
test,conv1d,timing,55,0.14725500345230103,57.14366912841797,129176.0703125
test,conv2d,overall,24,0.5793395638465881,39.5563383102417,1240884.618537426
test,conv2d,resource,24,0.8197902292013168,22.532450199127197,26866.677806138992
test,conv2d,timing,24,0.09843823313713074,73.6041145324707,3668920.5
test,dense_latency,overall,90,0.8941904902458191,16.235860029856365,17813.29252751668
test,dense_latency,resource,90,0.8584469705820084,17.287907600402832,26710.016845703125
test,dense_latency,timing,90,0.9656775295734406,14.131764888763428,19.843891143798828
test,dense_resource,overall,59,0.8504975040753683,19.163577715555828,13025.018904765448
test,dense_resource,resource,59,0.8217652887105942,18.055964946746826,19304.66528761387
test,dense_resource,timing,59,0.9079619348049164,21.378803253173828,465.7261390686035
test,rule4ml,overall,124,0.4563955068588257,50.62798309326172,28828.083255132038
test,rule4ml,resource,124,0.5284134596586227,48.57573413848877,43066.882294654846
test,rule4ml,timing,124,0.31235960125923157,54.73248100280762,350.4851760864258
