split,feature,bin,lower,upper,scope,n_samples,r2,smape,rmse
exemplar,instruction_count,0,3808.0,10809.0,overall,192,-27.749669434977502,106.99153511795616,2704.510901182914
exemplar,instruction_count,0,3808.0,10809.0,resource,192,-29.300430836170225,91.52484808240487,3860.9029632638008
exemplar,instruction_count,0,3808.0,10809.0,timing,192,-24.648146632592045,137.92490918905872,391.7267770211414
exemplar,instruction_count,1,10809.0,10985.0,overall,240,-2.4844994422910323,89.90770708748681,5615.788681539616
exemplar,instruction_count,1,10809.0,10985.0,resource,240,-3.9325568760729155,84.1295111841232,8218.651353064504
exemplar,instruction_count,1,10809.0,10985.0,timing,240,0.41161542527273454,101.46409889421405,410.06333848983854
exemplar,instruction_count,2,10985.0,11787.0,overall,221,-0.39805414466171235,66.32039948313533,5522.6366834424625
exemplar,instruction_count,2,10985.0,11787.0,resource,221,-0.6448241838288412,62.45203561293605,7954.4447760808125
exemplar,instruction_count,2,10985.0,11787.0,timing,221,0.09548593367254538,74.05712722353391,659.0204981657644
exemplar,instruction_count,3,11787.0,12635.0,overall,233,0.47429697716573177,57.001023471649695,7139.395553183408
exemplar,instruction_count,3,11787.0,12635.0,resource,233,0.5005525675042538,48.22166618637988,10253.584084978585
exemplar,instruction_count,3,11787.0,12635.0,timing,233,0.42178579648868775,74.55973804218935,911.0184895930556
exemplar,block_count,0,235.0,762.0,overall,208,-5.53460805716001,112.5421459544783,6518.379408591624
exemplar,block_count,0,235.0,762.0,resource,208,-4.045198946603602,98.9789049315964,9589.70437152846
exemplar,block_count,0,235.0,762.0,timing,208,-8.513426278272824,139.66862800024208,375.7294827179551
exemplar,block_count,1,762.0,776.0,overall,145,-4.033436802939806,88.96050346399765,4464.1233418115
exemplar,block_count,1,762.0,776.0,resource,145,-6.111803503524178,77.9828165119164,6504.3028465658435
exemplar,block_count,1,762.0,776.0,timing,145,0.12329659822893563,110.91587736816015,383.76433230281054
exemplar,block_count,2,776.0,798.0,overall,299,0.040894990578924595,69.2543557846139,3965.5299165836477
exemplar,block_count,2,776.0,798.0,resource,299,-0.043187429194472104,65.36934348611709,5630.260840928231
exemplar,block_count,2,776.0,798.0,timing,299,0.209059830125718,77.02438038160756,636.0680678944807
exemplar,block_count,3,798.0,893.0,overall,234,0.4953364257975285,55.740083153423086,6855.993576064687
exemplar,block_count,3,798.0,893.0,resource,234,0.5305641063627673,48.550629425417675,9830.945916661814
exemplar,block_count,3,798.0,893.0,timing,234,0.424881064667051,70.1189906094339,906.0888948704321
exemplar,maximum_block_length,0,199.0,318.0,overall,119,0.5406029363980617,46.987621597575846,7733.803371283856
exemplar,maximum_block_length,0,199.0,318.0,resource,119,0.6238558042627699,32.148015728546376,11023.3643609785
exemplar,maximum_block_length,0,199.0,318.0,timing,119,0.3740972006686453,76.66683333563478,1154.6813918945716
exemplar,maximum_block_length,1,318.0,376.0,overall,767,-0.10045940133589525,84.05051398722314,5147.074669767263
exemplar,maximum_block_length,1,318.0,376.0,resource,767,-0.3216747043431927,76.89150943441933,7455.54051394292
exemplar,maximum_block_length,1,318.0,376.0,timing,767,0.3419712046786996,98.36852309283074,530.1429814159483
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,overall,189,-0.7607262403890531,78.92537947581566,4723.058507517011
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,resource,189,-1.3610433438175893,72.96224731244422,6869.004082241415
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,timing,189,0.43990796646801916,90.85164380255856,431.1673580682044
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,overall,253,0.19296598864738823,82.74922444228463,5196.339502019639
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,resource,253,0.28740762998626224,74.6298264621808,7520.576726874831
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,timing,253,0.004082705969640277,98.98802040249228,547.8650523092548
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,overall,217,-0.629299091290903,69.13748490066023,5502.561054499786
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,resource,217,-0.9800797195360376,65.68071124695655,7920.724120784673
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,timing,217,0.07226216519936618,76.05103220806757,666.2349219300121
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,overall,227,0.0452179016679363,84.59465405304522,6543.154752737344
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,resource,227,-0.21950475842229428,69.94483008953044,9422.742307450006
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,timing,227,0.5746632218483975,113.89430198007477,783.9796433120198
exemplar,block_scc_fraction,0,0.5146276595744681,0.5193298969072165,overall,166,-1.1004141590270802,77.58913203597838,7217.7326715851805
exemplar,block_scc_fraction,0,0.5146276595744681,0.5193298969072165,resource,166,-1.7801081522397688,68.93198086089293,10523.12608559917
exemplar,block_scc_fraction,0,0.5146276595744681,0.5193298969072165,timing,166,0.25897382739829733,94.90343438614926,606.9458435572003
exemplar,block_scc_fraction,1,0.5193298969072165,0.5231362467866324,overall,235,-0.10653180424110915,74.71913056193672,4389.035383250706
exemplar,block_scc_fraction,1,0.5193298969072165,0.5231362467866324,resource,235,-0.34550346774303486,68.2789599182733,6319.940733299941
