monotonic_seconds,system_cpu_percent,training_process_cpu_percent,training_tree_cpu_percent,training_tree_rss_mb,system_disk_read_mb_s,system_disk_write_mb_s
1238.690518406,44.8,79.6,79.6,1169.6171875,113.16623894097661,0.0
1239.192559142,65.7,27.9,27.9,1530.4140625,14.596674083434568,0.0
1239.694661726,53.7,0.0,0.0,1710.69140625,0.2800722491401645,1.0736102883706304
1240.196087183,51.7,2.0,2.0,1741.8515625,0.0,0.0
1240.698253849,51.5,0.0,0.0,1764.93359375,0.0,1.711334220658945
1241.200437212,50.7,2.0,2.0,1847.734375,0.0,0.0
1241.702556194,51.7,0.0,0.0,1863.5234375,0.015559061258513984,0.0
1242.204719824,52.3,0.0,0.0,1932.0625,0.0,0.0
1242.706753358,52.2,0.0,0.0,1950.5390625,0.0,0.0
1243.208924118,51.0,0.0,0.0,1954.62890625,0.0,0.015557456989334806
1243.711180114,51.5,2.0,2.0,1958.98828125,0.0,0.0
1244.213319544,51.2,0.0,0.0,1958.6875,0.015558427666197989,5.476566538501692
1244.715324831,52.0,0.0,0.0,1964.953125,0.0155625851008156,0.0
1245.217297654,52.5,0.0,0.0,2005.59765625,0.0,0.0
1245.71939957,53.0,0.0,0.0,2058.6875,0.09335754058347231,4.442262972763557
1246.221523438,52.2,4.0,4.0,2096.2421875,1.4158607971207244,1.5169937112007763
1246.723932374,56.7,0.0,0.0,2475.7265625,0.0,0.0
1247.226333063,52.0,0.0,0.0,2555.77734375,0.0,0.0
1247.728600881,64.8,4.0,4.0,2574.1484375,0.5288513229013738,0.0
1248.232395848,60.2,0.0,0.0,2600.6875,0.0,0.0
1248.734903545,55.5,0.0,0.0,2675.62109375,0.0,0.0
1249.237469396,51.7,0.0,0.0,2695.94921875,0.0,0.0
1249.739911549,52.9,0.0,0.0,2761.2890625,0.0,0.0
1250.242313701,52.2,2.0,2.0,2778.06640625,0.0,0.0
1250.744627872,51.5,0.0,0.0,2781.78515625,0.0,0.0
1251.246974772,50.7,0.0,0.0,2785.8046875,0.0,1.7651522284699355
1251.749164205,51.5,2.0,2.0,2785.8125,0.0,0.0
1252.251474785,51.0,0.0,0.0,2792.98828125,0.0,0.0
1252.753653425,52.2,0.0,0.0,2848.80859375,0.0,0.0
1253.256156903,52.5,0.0,0.0,2890.76953125,0.06218862429447191,0.32649027754597754
1253.758434441,37.6,2.0,2.0,2921.8515625,168.77807802743627,0.0
1254.259958257,24.2,0.0,0.0,2996.6875,424.29284903578474,7.695297564889497
1254.764515694,90.5,59.3,59.3,3199.20703125,628.0953029537069,0.0
1255.268752815,79.0,81.5,81.5,3395.3671875,180.80376266071696,0.0
1255.771391523,44.5,83.6,83.6,3685.96875,132.97013627531192,0.03108594652841892
1256.27324577,48.3,75.6,75.6,3947.41015625,80.62288551281578,0.2957781086587179
1256.777220785,34.5,63.6,63.6,4071.80859375,91.94094175479339,0.0
1257.280013007,48.0,89.6,89.6,4133.984375,59.77556172299828,0.0
1257.783054584,85.8,100.6,100.6,4174.2890625,375.978489944995,0.0
1258.289421103,59.8,99.1,99.1,4176.53515625,94.85471135581986,0.0
1258.794460631,71.0,113.4,113.4,4207.5390625,127.96028116040912,0.0
1259.297128554,66.7,100.4,100.4,4207.8203125,290.44243141411454,9.946924741406464
1259.805687826,63.8,113.3,113.3,4210.76171875,0.0,0.0
1260.307719061,67.8,101.6,101.6,4210.76171875,119.51447602657535,0.0
1260.809802899,67.0,113.4,113.4,4210.78515625,162.23012739156417,0.0
1261.313050389,61.0,105.3,105.3,4210.8828125,84.0323366540916,0.40362844134608933
1261.816817387,66.3,111.1,111.1,4236.98046875,58.620850744977034,0.0
1262.32005979,60.0,101.4,101.4,4237.1171875,134.44067828281186,0.0
1262.82279354,70.0,111.2,111.2,4237.24609375,165.08956032888162,0.0
1263.326422113,55.9,99.5,99.5,4237.35546875,90.79421810326612,0.0
1263.828556835,78.2,113.4,113.4,4246.26953125,248.47041945849674,0.0
1264.33160165,56.5,99.5,99.5,4246.37109375,142.15774940447508,3.5719978547035858
1264.834018712,70.6,113.3,113.3,4246.390625,52.900522315467605,0.0
1265.338031985,50.8,99.4,99.4,4247.29296875,20.437519807139832,0.0
1265.840157888,83.9,113.3,113.3,4265.44140625,373.42010266697616,0.0
1266.34446529,55.4,101.3,101.3,4265.6171875,149.27651210640124,0.16266120559539363
1266.847387333,75.4,113.2,113.2,4261.69921875,165.31513413902354,0.0
1267.350949412,51.2,99.5,99.5,4270.73828125,0.0,0.0
1267.853153814,77.5,96.2,96.2,4270.890625,277.7597865420757,0.0
1268.367713563,60.0,108.4,108.4,4271.71484375,57.83159790059677,0.0
1268.870828754,61.2,101.4,101.4,4271.828125,11.125993311539524,0.0
1269.372975775,63.8,111.6,111.6,4282.8984375,126.74481494137777,0.0
1269.875071913,66.8,113.5,113.5,4286.9921875,246.17888765753221,2.3339653729816914
1270.377531791,63.0,99.5,99.5,4287.41015625,57.44395227116697,0.0
1270.880226746,52.0,103.5,103.5,4287.4921875,24.803809698062782,0.0
1271.382259632,75.9,111.2,111.2,4287.50390625,200.88636683461263,0.11671297166779726
1271.886516163,65.3,99.4,99.4,4287.5546875,158.61067498994558,0.0
1272.388662148,62.6,111.5,111.5,4287.56640625,61.859500877992254,0.0
1272.891351679,60.1,105.2,105.2,4287.59375,94.96573591862054,0.0
