split,cohort,target,n_samples,tn,fp,fn,tp,accuracy,precision,recall
exemplar,all,dsp,886,112,52,44,678,0.891647855530474,0.9287671232876712,0.9390581717451524
exemplar,all,bram,886,106,248,179,353,0.518058690744921,0.5873544093178037,0.6635338345864662
exemplar,exemplar,dsp,886,112,52,44,678,0.891647855530474,0.9287671232876712,0.9390581717451524
exemplar,exemplar,bram,886,106,248,179,353,0.518058690744921,0.5873544093178037,0.6635338345864662
test,2layer,dsp,125,40,0,1,84,0.992,1.0,0.9882352941176471
test,2layer,bram,125,0,0,0,125,1.0,1.0,1.0
test,3layer,dsp,116,38,0,0,78,1.0,1.0,1.0
test,3layer,bram,116,0,0,0,116,1.0,1.0,1.0
test,all,dsp,593,189,4,3,397,0.9881956155143339,0.9900249376558603,0.9925
test,all,bram,593,100,6,3,484,0.984822934232715,0.9877551020408163,0.9938398357289527
test,conv1d,dsp,55,18,0,0,37,1.0,1.0,1.0
test,conv1d,bram,55,0,0,0,55,1.0,1.0,1.0
test,conv2d,dsp,24,10,0,0,14,1.0,1.0,1.0
test,conv2d,bram,24,0,0,0,24,1.0,1.0,1.0
test,dense_latency,dsp,90,28,0,1,61,0.9888888888888889,1.0,0.9838709677419355
test,dense_latency,bram,90,88,2,0,0,0.9777777777777777,0.0,
test,dense_resource,dsp,59,24,0,1,34,0.9830508474576272,1.0,0.9714285714285714
test,dense_resource,bram,59,10,2,0,47,0.9661016949152542,0.9591836734693877,1.0
test,rule4ml,dsp,124,31,4,0,89,0.967741935483871,0.956989247311828,1.0
test,rule4ml,bram,124,2,2,3,117,0.9596774193548387,0.9831932773109243,0.975
