split,cohort,source,model,n_samples,metric,target,value,is_best
test,All,paper,MLP,102484,r2,bram,0.32,False
test,All,paper,MLP,102484,r2,dsp,0.03,False
test,All,paper,MLP,102484,r2,ff,0.2,False
test,All,paper,MLP,102484,r2,lut,0.49,False
test,All,paper,MLP,102484,r2,cycles_max,0.54,False
test,All,paper,MLP,102484,r2,interval_max,0.56,False
test,All,paper,MLP,102484,smape,bram,33.9,False
test,All,paper,MLP,102484,smape,dsp,105.7,False
test,All,paper,MLP,102484,smape,ff,24.9,False
test,All,paper,MLP,102484,smape,lut,15.5,False
test,All,paper,MLP,102484,smape,cycles_max,31.8,False
test,All,paper,MLP,102484,smape,interval_max,25.8,False
test,All,paper,MLP,102484,rmse,bram,12.5,True
test,All,paper,MLP,102484,rmse,dsp,590.4,False
test,All,paper,MLP,102484,rmse,ff,31897.9,False
test,All,paper,MLP,102484,rmse,lut,40463.1,True
test,All,paper,MLP,102484,rmse,cycles_max,450879.5,False
test,All,paper,MLP,102484,rmse,interval_max,221524.7,False
test,All,paper,GNN,102484,r2,bram,0.51,False
test,All,paper,GNN,102484,r2,dsp,0.89,True
test,All,paper,GNN,102484,r2,ff,0.74,False
test,All,paper,GNN,102484,r2,lut,0.73,False
test,All,paper,GNN,102484,r2,cycles_max,0.89,False
test,All,paper,GNN,102484,r2,interval_max,0.91,False
test,All,paper,GNN,102484,smape,bram,19.5,False
test,All,paper,GNN,102484,smape,dsp,15.1,False
test,All,paper,GNN,102484,smape,ff,11.6,False
test,All,paper,GNN,102484,smape,lut,11.4,False
test,All,paper,GNN,102484,smape,cycles_max,15.7,False
test,All,paper,GNN,102484,smape,interval_max,13.4,True
test,All,paper,GNN,102484,rmse,bram,48.0,False
test,All,paper,GNN,102484,rmse,dsp,580.0,False
test,All,paper,GNN,102484,rmse,ff,55087.6,False
test,All,paper,GNN,102484,rmse,lut,104945.7,False
test,All,paper,GNN,102484,rmse,cycles_max,227987.8,False
test,All,paper,GNN,102484,rmse,interval_max,201369.9,False
test,All,paper,Transformer,102484,r2,bram,0.39,False
test,All,paper,Transformer,102484,r2,dsp,0.29,False
test,All,paper,Transformer,102484,r2,ff,0.72,False
test,All,paper,Transformer,102484,r2,lut,0.67,False
test,All,paper,Transformer,102484,r2,cycles_max,0.95,True
test,All,paper,Transformer,102484,r2,interval_max,0.95,True
test,All,paper,Transformer,102484,smape,bram,14.1,True
test,All,paper,Transformer,102484,smape,dsp,10.8,True
test,All,paper,Transformer,102484,smape,ff,2.9,True
test,All,paper,Transformer,102484,smape,lut,2.9,True
test,All,paper,Transformer,102484,smape,cycles_max,10.1,True
test,All,paper,Transformer,102484,smape,interval_max,14.1,False
test,All,paper,Transformer,102484,rmse,bram,53.7,False
test,All,paper,Transformer,102484,rmse,dsp,1472.3,False
test,All,paper,Transformer,102484,rmse,ff,57138.2,False
test,All,paper,Transformer,102484,rmse,lut,115943.6,False
test,All,paper,Transformer,102484,rmse,cycles_max,147137.7,True
test,All,paper,Transformer,102484,rmse,interval_max,150688.4,True
test,All,run,Hierarchy only,593,r2,bram,0.66669178006274,False
test,All,run,Hierarchy only,593,r2,dsp,0.8420116940467298,False
test,All,run,Hierarchy only,593,r2,ff,0.8680950149629386,False
test,All,run,Hierarchy only,593,r2,lut,0.6988047531539324,False
test,All,run,Hierarchy only,593,r2,cycles_max,0.403120928564755,False
test,All,run,Hierarchy only,593,r2,interval_max,0.3313264005896881,False
test,All,run,Hierarchy only,593,smape,bram,29.090659507349933,False
test,All,run,Hierarchy only,593,smape,dsp,19.244566498407806,False
test,All,run,Hierarchy only,593,smape,ff,23.169023828426372,False
test,All,run,Hierarchy only,593,smape,lut,24.50942087262697,False
test,All,run,Hierarchy only,593,smape,cycles_max,27.582850994425407,False
test,All,run,Hierarchy only,593,smape,interval_max,23.721761316439085,False
test,All,run,Hierarchy only,593,rmse,bram,24.768699426665442,False
test,All,run,Hierarchy only,593,rmse,dsp,443.2388719343344,False
test,All,run,Hierarchy only,593,rmse,ff,25292.861692763643,False
test,All,run,Hierarchy only,593,rmse,lut,70584.96800654453,False
test,All,run,Hierarchy only,593,rmse,cycles_max,731547.3006350474,False
test,All,run,Hierarchy only,593,rmse,interval_max,774445.1910139268,False
test,All,run,High-level only,593,r2,bram,0.644861068637244,False
test,All,run,High-level only,593,r2,dsp,0.31386789614338495,False
test,All,run,High-level only,593,r2,ff,0.7390516783617744,False
test,All,run,High-level only,593,r2,lut,0.5922778457974855,False
test,All,run,High-level only,593,r2,cycles_max,0.39473104003635007,False
test,All,run,High-level only,593,r2,interval_max,0.3832385204388027,False
test,All,run,High-level only,593,smape,bram,23.84584245338362,False
test,All,run,High-level only,593,smape,dsp,24.315640171316073,False
test,All,run,High-level only,593,smape,ff,24.0802558351183,False
test,All,run,High-level only,593,smape,lut,20.533095561747565,False
test,All,run,High-level only,593,smape,cycles_max,25.502387392904648,False
test,All,run,High-level only,593,smape,interval_max,34.99823176870447,False
test,All,run,High-level only,593,rmse,bram,25.566974164413516,False
test,All,run,High-level only,593,rmse,dsp,923.6963762927978,False
test,All,run,High-level only,593,rmse,ff,35574.97623750513,False
test,All,run,High-level only,593,rmse,lut,82124.04272711446,False
test,All,run,High-level only,593,rmse,cycles_max,736670.7694686281,False
test,All,run,High-level only,593,rmse,interval_max,743776.1014506489,False
test,All,run,Late fusion,593,r2,bram,0.7919762699096558,True
test,All,run,Late fusion,593,r2,dsp,0.886711149954288,False
test,All,run,Late fusion,593,r2,ff,0.9693291312129798,True
test,All,run,Late fusion,593,r2,lut,0.8562865752949642,True
test,All,run,Late fusion,593,r2,cycles_max,0.7239553455176875,False
test,All,run,Late fusion,593,r2,interval_max,0.779407842753946,False
test,All,run,Late fusion,593,smape,bram,19.379955184079492,False
test,All,run,Late fusion,593,smape,dsp,13.138072605263021,False
test,All,run,Late fusion,593,smape,ff,13.491143886724988,False
test,All,run,Late fusion,593,smape,lut,14.927085978145591,False
test,All,run,Late fusion,593,smape,cycles_max,16.31338300946175,False
test,All,run,Late fusion,593,smape,interval_max,19.334899569561497,False
test,All,run,Late fusion,593,rmse,bram,19.56755803488432,False
test,All,run,Late fusion,593,rmse,dsp,375.3349046584573,True
test,All,run,Late fusion,593,rmse,ff,12196.364739733397,True
test,All,run,Late fusion,593,rmse,lut,48756.98414864334,False
test,All,run,Late fusion,593,rmse,cycles_max,497495.2141613122,False
test,All,run,Late fusion,593,rmse,interval_max,444814.1896644078,False
test,Dense,paper,MLP,91307,r2,bram,0.47,False
test,Dense,paper,MLP,91307,r2,dsp,0.03,False
test,Dense,paper,MLP,91307,r2,ff,0.13,False
test,Dense,paper,MLP,91307,r2,lut,0.49,False
test,Dense,paper,MLP,91307,r2,cycles_max,0.74,False
test,Dense,paper,MLP,91307,r2,interval_max,0.77,False
test,Dense,paper,MLP,91307,smape,bram,33.3,False
test,Dense,paper,MLP,91307,smape,dsp,106.6,False
test,Dense,paper,MLP,91307,smape,ff,24.5,False
test,Dense,paper,MLP,91307,smape,lut,14.8,False
