scale_percent,kernel_family,mean,std
25,2layer,17.593647559483845,1.2498229246367643
25,3layer,17.064619064331055,1.0818394340489008
25,conv1d,41.5409123632643,1.695067982051453
25,conv2d,57.1356782383389,4.477843011132682
25,dense_latency,45.46316125657824,1.1267214228759475
25,dense_resource,35.183560371398926,0.9010094945427677
25,rule4ml,80.91679996914333,3.346853173501944
50,2layer,14.851319710413614,1.1907572916997577
50,3layer,13.553159846199883,0.7201361154536005
50,conv1d,38.59334866205851,1.1110799042177415
50,conv2d,50.943480809529625,4.184422571786925
50,dense_latency,39.31782052252027,2.7149308160368917
50,dense_resource,27.584286901685925,0.994726351850338
50,rule4ml,69.69210412767198,3.0569421065615328
100,2layer,13.606960217157999,0.8179282981114395
100,3layer,12.234694904751246,0.16453820331975508
100,conv1d,30.46943187713623,1.5943500760510065
100,conv2d,42.941604667239716,1.1600844484917652
100,dense_latency,34.33743561638726,0.8262627546139801
100,dense_resource,19.54951238632202,1.6517546499889604
100,rule4ml,61.02129046122233,2.986237275410736
200,2layer,11.06499711672465,0.6166750783161655
200,3layer,11.397043916914198,0.19300991058543207
200,conv1d,22.253618929121227,1.7953231739926794
200,conv2d,32.69006903966268,2.9230814106085994
200,dense_latency,28.986220677693684,3.6483233653342317
200,dense_resource,15.196992556254068,0.7973262766901545
200,rule4ml,51.4358779059516,2.2561755064104343
