timestamp,utilization_gpu_percent,utilization_memory_percent,memory_used_mb,power_draw_w,clock_sm_mhz,temperature_c,pstate
2026/08/13 23:05:46.922, 0, 0, 211, 33.13, 585, 71, P0
2026/08/13 23:05:47.934, 0, 0, 329, 33.23, 585, 71, P0
2026/08/13 23:05:48.944, 1, 0, 377, 33.13, 585, 71, P0
2026/08/13 23:05:49.961, 8, 3, 917, 33.13, 585, 71, P0
2026/08/13 23:05:50.972, 11, 4, 1507, 43.69, 1425, 72, P0
2026/08/13 23:05:51.979, 77, 21, 1729, 54.33, 1545, 73, P0
2026/08/13 23:05:52.995, 75, 14, 1749, 50.60, 1590, 73, P0
2026/08/13 23:05:54.001, 49, 10, 1749, 47.67, 1590, 73, P0
2026/08/13 23:05:55.008, 61, 18, 1749, 47.77, 1590, 74, P0
2026/08/13 23:05:56.016, 43, 10, 1749, 59.33, 1590, 74, P0
2026/08/13 23:05:57.025, 7, 1, 1753, 44.85, 1590, 74, P0
2026/08/13 23:05:58.031, 61, 8, 1843, 46.13, 1425, 75, P0
2026/08/13 23:05:59.043, 24, 6, 1845, 52.33, 1590, 75, P0
2026/08/13 23:06:00.049, 20, 5, 1845, 61.91, 1590, 75, P0
2026/08/13 23:06:01.058, 10, 3, 1845, 46.99, 1590, 75, P0
2026/08/13 23:06:02.065, 13, 2, 1845, 49.42, 1590, 76, P0
2026/08/13 23:06:03.071, 91, 19, 1875, 61.00, 1545, 77, P0
2026/08/13 23:06:04.084, 67, 14, 1875, 62.73, 1590, 77, P0
2026/08/13 23:06:05.093, 11, 1, 1893, 50.40, 1590, 76, P0
2026/08/13 23:06:06.101, 81, 17, 1893, 53.91, 1545, 78, P0
2026/08/13 23:06:07.110, 18, 7, 1897, 50.13, 1590, 78, P0
2026/08/13 23:06:08.117, 86, 19, 1897, 54.40, 1590, 78, P0
2026/08/13 23:06:09.132, 32, 6, 1897, 62.73, 1590, 78, P0
2026/08/13 23:06:10.138, 100, 3, 1897, 52.14, 1590, 78, P0
2026/08/13 23:06:11.145, 15, 3, 1897, 55.08, 1590, 78, P0
2026/08/13 23:06:12.152, 83, 21, 1897, 50.33, 1590, 79, P0
2026/08/13 23:06:13.161, 36, 8, 1897, 66.38, 1590, 80, P0
2026/08/13 23:06:14.168, 69, 19, 1897, 47.97, 1590, 79, P0
2026/08/13 23:06:15.175, 13, 2, 1897, 62.79, 1590, 80, P0
2026/08/13 23:06:16.183, 42, 14, 1897, 48.86, 1575, 80, P0
2026/08/13 23:06:17.190, 61, 13, 1897, 58.45, 1590, 81, P0
2026/08/13 23:06:18.201, 10, 1, 1897, 57.37, 1590, 81, P0
2026/08/13 23:06:19.212, 88, 23, 1897, 59.67, 1575, 81, P0
2026/08/13 23:06:20.221, 7, 1, 1897, 54.46, 1590, 81, P0
2026/08/13 23:06:21.230, 20, 10, 1897, 49.61, 1590, 81, P0
2026/08/13 23:06:22.238, 58, 13, 1897, 61.75, 1320, 83, P0
2026/08/13 23:06:23.245, 9, 2, 1943, 62.85, 1500, 82, P0
2026/08/13 23:06:24.252, 100, 0, 1943, 49.64, 1590, 82, P0
2026/08/13 23:06:25.259, 82, 19, 1943, 52.24, 1575, 82, P0
2026/08/13 23:06:26.265, 73, 15, 1943, 54.95, 1590, 82, P0
2026/08/13 23:06:27.272, 38, 11, 1943, 51.65, 1590, 82, P0
2026/08/13 23:06:28.281, 82, 7, 1943, 50.69, 1590, 82, P0
2026/08/13 23:06:29.292, 18, 4, 2035, 64.12, 1560, 83, P0
2026/08/13 23:06:30.301, 96, 18, 2035, 53.54, 1575, 82, P0
2026/08/13 23:06:31.308, 54, 14, 2035, 62.10, 1590, 83, P0
2026/08/13 23:06:32.318, 70, 11, 2035, 49.35, 1590, 81, P0
2026/08/13 23:06:33.326, 100, 10, 2035, 52.69, 1590, 81, P0
2026/08/13 23:06:34.333, 51, 11, 2035, 72.31, 1560, 81, P0
2026/08/13 23:06:35.347, 34, 10, 2035, 54.40, 1590, 81, P0
