split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,148,0.00783883236549996,0.0,0.00783883236549996,0.07992655702765203
exemplar,all,dsp,2,0.2,0.3,10,0.25546875,1.0,0.74453125,0.07992655702765203
exemplar,all,dsp,3,0.3,0.4,18,0.3374565972222222,1.0,0.6625434027777778,0.07992655702765203
exemplar,all,dsp,4,0.4,0.5,11,0.4493963068181818,1.0,0.5506036931818181,0.07992655702765203
exemplar,all,dsp,5,0.5,0.6,16,0.560546875,1.0,0.439453125,0.07992655702765203
exemplar,all,dsp,6,0.6,0.7,23,0.6418138586956522,1.0,0.3581861413043478,0.07992655702765203
exemplar,all,dsp,7,0.7,0.8,24,0.74853515625,1.0,0.25146484375,0.07992655702765203
exemplar,all,dsp,8,0.8,0.9,59,0.8535487288135594,1.0,0.14645127118644063,0.07992655702765203
exemplar,all,dsp,9,0.9,1.0,490,0.9850446428571429,1.0,0.014955357142857117,0.07992655702765203
exemplar,all,bram,0,0.0,0.1,56,0.006621278190453138,0.0,0.006621278190453138,0.31040960695077013
exemplar,all,bram,1,0.1,0.2,7,0.18415178571428573,0.5714285714285714,0.3872767857142857,0.31040960695077013
exemplar,all,bram,2,0.2,0.3,4,0.23046875,0.0,0.23046875,0.31040960695077013
exemplar,all,bram,4,0.4,0.5,3,0.4381510416666667,0.0,0.4381510416666667,0.31040960695077013
exemplar,all,bram,5,0.5,0.6,2,0.52734375,1.0,0.47265625,0.31040960695077013
exemplar,all,bram,6,0.6,0.7,3,0.6614583333333334,1.0,0.33854166666666663,0.31040960695077013
exemplar,all,bram,7,0.7,0.8,14,0.7594866071428571,0.7857142857142857,0.026227678571428603,0.31040960695077013
exemplar,all,bram,8,0.8,0.9,45,0.85390625,0.4,0.45390624999999996,0.31040960695077013
exemplar,all,bram,9,0.9,1.0,665,0.995406484962406,0.6646616541353384,0.3307448308270676,0.31040960695077013
exemplar,exemplar,dsp,0,0.0,0.1,148,0.00783883236549996,0.0,0.00783883236549996,0.07992655702765203
exemplar,exemplar,dsp,2,0.2,0.3,10,0.25546875,1.0,0.74453125,0.07992655702765203
exemplar,exemplar,dsp,3,0.3,0.4,18,0.3374565972222222,1.0,0.6625434027777778,0.07992655702765203
exemplar,exemplar,dsp,4,0.4,0.5,11,0.4493963068181818,1.0,0.5506036931818181,0.07992655702765203
exemplar,exemplar,dsp,5,0.5,0.6,16,0.560546875,1.0,0.439453125,0.07992655702765203
exemplar,exemplar,dsp,6,0.6,0.7,23,0.6418138586956522,1.0,0.3581861413043478,0.07992655702765203
exemplar,exemplar,dsp,7,0.7,0.8,24,0.74853515625,1.0,0.25146484375,0.07992655702765203
exemplar,exemplar,dsp,8,0.8,0.9,59,0.8535487288135594,1.0,0.14645127118644063,0.07992655702765203
exemplar,exemplar,dsp,9,0.9,1.0,490,0.9850446428571429,1.0,0.014955357142857117,0.07992655702765203
exemplar,exemplar,bram,0,0.0,0.1,56,0.006621278190453138,0.0,0.006621278190453138,0.31040960695077013
exemplar,exemplar,bram,1,0.1,0.2,7,0.18415178571428573,0.5714285714285714,0.3872767857142857,0.31040960695077013
exemplar,exemplar,bram,2,0.2,0.3,4,0.23046875,0.0,0.23046875,0.31040960695077013
exemplar,exemplar,bram,4,0.4,0.5,3,0.4381510416666667,0.0,0.4381510416666667,0.31040960695077013
exemplar,exemplar,bram,5,0.5,0.6,2,0.52734375,1.0,0.47265625,0.31040960695077013
exemplar,exemplar,bram,6,0.6,0.7,3,0.6614583333333334,1.0,0.33854166666666663,0.31040960695077013
exemplar,exemplar,bram,7,0.7,0.8,14,0.7594866071428571,0.7857142857142857,0.026227678571428603,0.31040960695077013
exemplar,exemplar,bram,8,0.8,0.9,45,0.85390625,0.4,0.45390624999999996,0.31040960695077013
exemplar,exemplar,bram,9,0.9,1.0,665,0.995406484962406,0.6646616541353384,0.3307448308270676,0.31040960695077013
test,2layer,dsp,0,0.0,0.1,41,0.011012240153987234,0.024390243902439025,0.013378003748451791,0.004387985229492188
test,2layer,dsp,9,0.9,1.0,84,1.0,1.0,0.0,0.004387985229492188
test,2layer,bram,9,0.9,1.0,125,1.0,1.0,0.0,0.0
test,3layer,dsp,0,0.0,0.1,38,0.00040448339361893505,0.0,0.00040448339361893505,0.0001325031806682718
test,3layer,dsp,9,0.9,1.0,78,1.0,1.0,0.0,0.0001325031806682718
test,3layer,bram,9,0.9,1.0,116,1.0,1.0,0.0,0.0
test,all,dsp,0,0.0,0.1,193,0.0028004611557629444,0.0051813471502590676,0.002380885994496123,0.002349249151665677
test,all,dsp,9,0.9,1.0,400,0.999833984375,0.9975,0.0023339843749999867,0.002349249151665677
test,all,bram,0,0.0,0.1,104,0.0005262117738311645,0.0,0.0005262117738311645,0.003227826348193016
test,all,bram,9,0.9,1.0,489,0.9997124233128835,0.9959100204498977,0.003802402862985721,0.003227826348193016
test,conv1d,dsp,0,0.0,0.1,18,0.00014099147584703233,0.0,0.00014099147584703233,4.614266482266513e-05
test,conv1d,dsp,9,0.9,1.0,37,1.0,1.0,0.0,4.614266482266513e-05
test,conv1d,bram,9,0.9,1.0,55,1.0,1.0,0.0,0.0
test,conv2d,dsp,0,0.0,0.1,10,1.6884505748748778e-05,0.0,1.6884505748748778e-05,7.035210728645325e-06
test,conv2d,dsp,9,0.9,1.0,14,1.0,1.0,0.0,7.035210728645325e-06
test,conv2d,bram,9,0.9,1.0,24,1.0,1.0,0.0,0.0
test,dense_latency,dsp,0,0.0,0.1,28,0.0002968013286590576,0.0,0.0002968013286590576,9.233819113837348e-05
test,dense_latency,dsp,9,0.9,1.0,62,1.0,1.0,0.0,9.233819113837348e-05
test,dense_latency,bram,0,0.0,0.1,90,0.00039932054512771884,0.0,0.00039932054512771884,0.00039932054512771884
test,dense_resource,dsp,0,0.0,0.1,24,0.0010303457578023274,0.0,0.0010303457578023274,0.00041912369808908234
test,dense_resource,dsp,9,0.9,1.0,35,1.0,1.0,0.0,0.00041912369808908234
test,dense_resource,bram,0,0.0,0.1,12,3.938873608907064e-05,0.0,3.938873608907064e-05,8.011268357099112e-06
test,dense_resource,bram,9,0.9,1.0,47,1.0,1.0,0.0,8.011268357099112e-06
test,rule4ml,dsp,0,0.0,0.1,34,0.0011138635523178998,0.0,0.0011138635523178998,0.00783439605466776
test,rule4ml,dsp,9,0.9,1.0,90,0.9992621527777777,0.9888888888888889,0.010373263888888817,0.00783439605466776
test,rule4ml,bram,0,0.0,0.1,2,0.009157255291938782,0.0,0.009157255291938782,0.01514265734341836
test,rule4ml,bram,9,0.9,1.0,122,0.9988473360655737,0.9836065573770492,0.015240778688524581,0.01514265734341836
