split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,799,-0.2748733063538869,91.73012034098308,5236.897338271141
exemplar,all,resource,799,-0.19036032259464264,80.03347587585449,7334.452391684055
exemplar,all,timing,799,-0.4438992738723755,115.12340927124023,1041.7872314453125
exemplar,exemplar,overall,799,-0.2748733063538869,91.73012034098308,5236.897338271141
exemplar,exemplar,resource,799,-0.19036032259464264,80.03347587585449,7334.452391684055
exemplar,exemplar,timing,799,-0.4438992738723755,115.12340927124023,1041.7872314453125
test,2layer,overall,125,0.5872113108634949,16.65780798594157,1276.2008506059647
test,2layer,resource,125,0.43193279206752777,19.577818870544434,1648.768145263195
test,2layer,timing,125,0.8977683484554291,10.81778621673584,531.0662612915039
test,3layer,overall,116,0.6937063634395599,15.452914396921793,1521.525309721629
test,3layer,resource,116,0.5808518528938293,17.65862274169922,1985.1803596019745
test,3layer,timing,116,0.9194153845310211,11.041497707366943,594.2152099609375
test,all,overall,593,0.5810540219148,28.151591300964355,246466.92243639627
test,all,resource,593,0.633690595626831,26.443233966827393,27185.11802959442
test,all,timing,593,0.4757808744907379,31.56830596923828,685030.53125
test,conv1d,overall,55,0.5867173175017039,32.6448130607605,41549.47780574361
test,conv1d,resource,55,0.7407449930906296,20.916438341140747,2910.5467867404222
test,conv1d,timing,55,0.27866196632385254,56.1015625,118827.33984375
test,conv2d,overall,24,0.40788395206133526,43.72246630986532,1161172.7038089435
test,conv2d,resource,24,0.49934348464012146,28.122016191482544,41580.805713415146
test,conv2d,timing,24,0.22496488690376282,74.92336654663086,3400356.5
test,dense_latency,overall,90,0.8134595652421316,16.318588892618816,19520.140965660412
test,dense_latency,resource,90,0.7401895225048065,17.472966194152832,29268.836547851562
test,dense_latency,timing,90,0.9599996507167816,14.009834289550781,22.74980127811432
test,dense_resource,overall,59,0.8525299827257792,17.640464941660564,11980.855282227198
test,dense_resource,resource,59,0.8171877562999725,15.231815576553345,17782.882086396217
test,dense_resource,timing,59,0.9232144355773926,22.457763671875,376.80167388916016
test,rule4ml,overall,124,0.3621607224146525,60.200523376464844,27623.734573364258
test,rule4ml,resource,124,0.5273175835609436,55.55349636077881,41230.18472671509
test,rule4ml,timing,124,0.03184700012207031,69.49457740783691,410.83426666259766
