split,kernel_family,target,n_samples,mean_delta_smape,median_delta_smape,fraction_improved
exemplar,all,lut,799,10.258941989719421,5.388753967114052,0.44806007509386736
exemplar,all,ff,799,12.468072967966334,7.952721620057275,0.425531914893617
exemplar,all,dsp,799,21.588782479429277,19.634186435299014,0.20901126408010012
exemplar,all,bram,799,7.1499245360336285,5.02247565432296,0.37296620775969963
exemplar,all,cycles_max,799,1.4196181043179432,5.58273351542617,0.4167709637046308
exemplar,all,interval_max,799,47.905119892163924,37.940415720178436,0.2127659574468085
exemplar,exemplar,lut,799,10.258941989719421,5.388753967114052,0.44806007509386736
exemplar,exemplar,ff,799,12.468072967966334,7.952721620057275,0.425531914893617
exemplar,exemplar,dsp,799,21.588782479429277,19.634186435299014,0.20901126408010012
exemplar,exemplar,bram,799,7.1499245360336285,5.02247565432296,0.37296620775969963
exemplar,exemplar,cycles_max,799,1.4196181043179432,5.58273351542617,0.4167709637046308
exemplar,exemplar,interval_max,799,47.905119892163924,37.940415720178436,0.2127659574468085
test,2layer,lut,125,-1.5731223260184666,-0.447642452148445,0.512
test,2layer,ff,125,-5.142482356808699,-3.584127968713551,0.648
test,2layer,dsp,125,2.661507269175082,0.0,0.272
test,2layer,bram,125,0.22271113433831125,0.0,0.488
test,2layer,cycles_max,125,4.942150093170866,4.980367608394291,0.224
test,2layer,interval_max,125,1.3733467659046823,0.6817768787947838,0.392
test,3layer,lut,116,-3.969735582810657,-4.052573169496244,0.6293103448275862
test,3layer,ff,116,-5.66045386182419,-5.273526494886154,0.6379310344827587
test,3layer,dsp,116,-1.818560394533833,0.0,0.3879310344827586
test,3layer,bram,116,0.061943914057039556,-0.30869969425665333,0.5344827586206896
test,3layer,cycles_max,116,1.2534526407134563,0.9964756478821228,0.41379310344827586
test,3layer,interval_max,116,3.6233921708003267,3.4199670582491737,0.25862068965517243
test,all,lut,593,-0.052992199539142644,0.14489344465870624,0.4856661045531197
test,all,ff,593,-0.5807677058062376,-0.972129274196297,0.5227655986509275
test,all,dsp,593,6.900305567363124,0.0,0.26644182124789206
test,all,bram,593,3.4927202274028377,0.0,0.37268128161888703
test,all,cycles_max,593,3.5579351079999304,1.9895826113165835,0.403035413153457
test,all,interval_max,593,8.274064464070406,2.797702466637891,0.33895446880269814
test,conv1d,lut,55,1.7705143213109675,1.7898278761464645,0.43636363636363634
test,conv1d,ff,55,0.91199057555562,0.36248787854006237,0.4727272727272727
test,conv1d,dsp,55,0.7542245272909504,0.0,0.2909090909090909
test,conv1d,bram,55,4.597755263434474,3.1848816237933244,0.4
test,conv1d,cycles_max,55,5.715680381437151,3.9935633606559744,0.34545454545454546
test,conv1d,interval_max,55,4.836920488692012,7.237059229142204,0.4
test,conv2d,lut,24,10.212441558067255,8.764911552019155,0.25
test,conv2d,ff,24,11.081538130935911,12.205918690606858,0.375
test,conv2d,dsp,24,2.0525566049201935,0.0,0.25
test,conv2d,bram,24,9.863963672016848,5.995668571837836,0.4583333333333333
test,conv2d,cycles_max,24,3.6684066533655106,-5.31270145542045,0.5
test,conv2d,interval_max,24,-5.457573329514054,-10.170383613625177,0.6666666666666666
test,dense_latency,lut,90,5.478578198373025,5.151643980374429,0.36666666666666664
test,dense_latency,ff,90,4.152311786449847,4.774371690439438,0.3111111111111111
test,dense_latency,dsp,90,9.471036999168604,0.0,0.16666666666666666
test,dense_latency,bram,90,0.0,0.0,0.0
test,dense_latency,cycles_max,90,-2.065697408351616,-2.0415027984315057,0.5777777777777777
test,dense_latency,interval_max,90,1.691140473121786,1.3858635886564343,0.34444444444444444
test,dense_resource,lut,59,1.5921570695619935,1.5669807632031256,0.4406779661016949
test,dense_resource,ff,59,-0.6035804306294769,-1.1265106318376112,0.559322033898305
test,dense_resource,dsp,59,-0.46917267854885963,0.0,0.3389830508474576
test,dense_resource,bram,59,5.0860633542578775,0.6378562975882678,0.2711864406779661
test,dense_resource,cycles_max,59,2.7423243563693345,1.9895826113165835,0.423728813559322
test,dense_resource,interval_max,59,6.969161305179432,5.815941891982429,0.3050847457627119
test,rule4ml,lut,124,-2.4498463386436646,-0.1983583455898028,0.5
test,rule4ml,ff,124,2.425923232727633,2.3827033279258565,0.47580645161290325
test,rule4ml,dsp,124,24.6345963641572,7.983051816444819,0.1774193548387097
test,rule4ml,bram,124,10.0521718024876,9.139176259540463,0.3951612903225806
test,rule4ml,cycles_max,124,7.8096588721038565,2.979043932264352,0.4435483870967742
test,rule4ml,interval_max,124,29.16214808940771,24.0768746597253,0.28225806451612906
