monotonic_seconds,system_cpu_percent,training_process_cpu_percent,training_tree_cpu_percent,training_tree_rss_mb,system_disk_read_mb_s,system_disk_write_mb_s
1484.949078477,43.7,61.8,61.8,2926.6328125,116.8502537211799,0.0
1485.951703433,86.2,51.8,51.8,3232.015625,254.66744665792544,0.0
1486.956931007,45.8,74.6,74.6,3750.32421875,127.08176442240926,0.0
1487.961060026,50.6,77.7,77.7,3958.4140625,117.61592411463432,0.038901873425492596
1488.966160986,74.3,108.0,108.0,4002.37109375,104.69253009171008,4.337250856869421
1489.973260863,71.0,112.4,112.4,4004.18359375,58.20394663795749,0.45380926007203964
1490.979332441,70.8,113.5,113.5,4019.84375,94.85377540403552,0.0
1491.983252804,73.6,104.3,104.3,4039.5703125,124.57801520857451,0.0
1492.991816704,70.2,107.4,107.4,4039.32421875,72.81392879518172,0.0
1493.995321189,73.4,109.8,109.8,4048.40625,100.77963179208979,4.262406211368803
1495.011766846,71.5,111.6,111.6,4041.12890625,97.84401587540307,0.0
1496.020067255,69.9,106.5,106.5,4057.1953125,33.04989113616575,0.0
1497.023552555,74.6,110.6,110.6,4057.26953125,96.6436366830718,0.0
1498.027043303,72.4,104.6,104.6,4093.41015625,119.4580022176623,0.0
1499.029463249,76.9,113.5,113.5,4063.859375,102.91501372420659,1.7964339767837652
1500.034996688,70.1,109.6,109.6,4095.93359375,105.16805896097566,0.0
1501.03708911,73.0,110.7,110.7,4109.4765625,45.958522875656435,0.0
1502.039798968,78.8,111.6,111.6,4136.4921875,112.68682221331753,0.0
1503.043987659,68.5,104.4,104.4,4137.16796875,68.8911238694625,0.0
1504.048585403,69.9,110.7,110.7,4134.87890625,66.12565864969955,1.7342140278587554
1505.051474445,63.5,105.3,105.3,4145.00390625,60.621736257845505,2.5862781338479452
1506.059057004,75.9,103.6,103.6,4151.42578125,71.47367166763661,0.0
1507.061156432,67.2,106.8,106.8,4155.28125,63.33578108777833,0.0
1508.063411457,73.5,111.6,111.6,4162.9921875,61.05762602686464,0.0
1509.069093498,71.6,105.6,105.6,4163.046875,122.49926664445627,2.2761294392051292
1510.071954713,67.4,112.6,112.6,4149.375,55.357236045870394,0.19865036858565932
1511.075076072,72.2,104.7,104.7,4201.515625,116.61257279638495,0.0
1512.077883629,68.0,112.5,112.5,4156.94921875,79.66695548146164,0.0
1513.082836841,69.9,108.3,108.3,4157.08984375,86.43903662652012,0.0
1514.091678459,68.7,108.4,108.4,4157.12109375,67.65184820121722,1.0531881130226124
1515.093899617,74.0,110.7,110.7,4160.75,120.957895901841,2.2567062488614402
1516.096995561,69.0,107.5,107.5,4160.76953125,52.75074913471815,0.0
1517.100966193,76.3,110.1,110.1,4172.51171875,121.04282100157403,0.0
1518.114869485,73.7,112.6,112.6,4172.8359375,147.06854433409015,0.0
1519.122542376,70.2,104.6,104.6,4172.80859375,135.80563441992953,0.0
1520.127604833,72.7,110.3,110.3,4153.71875,117.60774086896937,3.3230210985779514
1521.132593329,69.8,110.6,110.6,4157.53515625,109.46953665428958,0.0
1522.13505499,70.4,104.5,104.5,4157.5859375,109.30124987591853,0.0
1523.142728164,72.5,110.4,110.4,4166.4609375,110.0384681869281,0.0
1524.144949345,73.7,105.5,105.5,4204.78515625,179.4529649837673,0.0
1525.151229419,76.1,117.2,117.2,4168.75,137.29403331105357,1.1645614678046843
1526.157065668,70.8,103.7,103.7,4168.75,67.25591523197389,0.0
1527.159772899,66.7,105.7,105.7,4168.7578125,138.07152099814616,0.0
1528.162820433,73.2,109.7,109.7,4168.76171875,108.94143477352314,0.0
1529.164965511,71.2,115.7,115.7,4170.40625,113.47143866329363,0.0
1530.168651668,69.4,105.7,105.7,4198.546875,69.70399762124414,0.9807597655250432
1531.171288777,73.9,109.7,109.7,4172.40625,124.3829261659572,0.0
1532.174339912,73.6,107.4,107.4,4172.40625,125.42200802154541,0.0
1533.184075822,64.8,109.1,109.1,4172.4296875,79.58067842709347,0.0
1534.187803357,77.8,110.7,110.7,4157.48046875,165.1616977410397,0.0
1535.19107752,75.9,107.2,107.2,4170.3046875,103.90588893297203,0.9967365221583858
1536.20908976,69.8,104.5,104.5,4170.296875,131.3297691783894,0.04604561532579538
1537.211389286,72.8,110.7,110.7,4170.30078125,78.35887423138298,0.0
1538.213692375,71.8,107.1,107.1,4170.30078125,138.99238815975224,0.0
1539.228245336,72.4,116.7,116.7,4183.46875,125.88287517696128,0.0
1540.247699933,70.5,106.1,106.1,4170.30078125,129.6725846242107,1.0652141872682046
1541.252695709,76.3,109.5,109.5,4170.30078125,159.51170898254807,0.0
1542.256980023,76.7,111.6,111.6,4170.30078125,109.35181498810053,0.0
1543.260325488,72.6,111.1,111.1,4170.30078125,129.77677384529562,0.0
1544.268072168,65.5,106.6,106.6,4170.30078125,89.54460782744827,0.0
1545.27377502,77.4,105.1,105.1,4177.6328125,197.94536562574788,1.103084273643867
1546.279907668,71.4,106.7,106.7,4177.6328125,175.34653641412226,0.0
1547.29086061,75.5,111.5,111.5,4180.70703125,77.57995871187394,0.0
1548.29904561,65.3,107.4,107.4,4209.58984375,82.65549601512348,0.0
1549.301486233,74.4,111.7,111.7,4163.3984375,100.9060700745152,0.0
1550.304390473,67.5,106.6,106.6,4163.92578125,125.05088471857654,3.5560785444484018
1551.308046001,70.1,110.7,110.7,4163.92578125,66.66256313390683,0.0
1552.310880899,66.6,105.4,105.4,4163.93359375,159.3100908919591,0.0
1553.316662546,75.7,110.7,110.7,4163.93359375,149.72807512363832,0.0
1554.319056672,75.4,107.0,107.0,4169.69921875,147.5140203485339,0.0
1555.331850281,69.3,108.3,108.3,4169.69921875,94.45563405011316,0.9410851248765868
1556.334085084,71.5,110.7,110.7,4169.69921875,86.06547312247251,0.0
1557.338108562,72.7,110.6,110.6,4169.69921875,220.1182652523791,0.0
1558.341904054,68.7,106.6,106.6,4169.69921875,65.33794784166346,0.0
1559.345129869,74.6,110.6,110.6,4169.69921875,169.0912616218995,0.0
1560.349095277,66.6,104.7,104.7,4169.69921875,130.0234664061108,0.9337971134558201
1561.351817232,77.8,111.7,111.7,4169.69921875,174.35743814944715,0.0
1562.353943051,75.2,106.3,106.3,4179.0859375,151.7477243044733,0.0
1563.361741395,68.1,111.6,111.6,4179.0859375,146.97880868911832,0.0
1564.363970761,78.0,112.7,112.7,4179.0859375,153.05331938358862,0.0
1565.368101187,72.1,105.2,105.2,4195.84765625,149.32074172602444,2.3574502262914447
1566.477520716,69.9,104.5,104.5,4179.08984375,71.91260647080381,0.0
1567.489041166,74.3,111.2,111.2,4182.51171875,172.89875355460586,0.0
1568.49195726,76.9,117.6,117.6,4144.60546875,141.65722671115515,0.0
1569.495792416,68.5,105.7,105.7,4144.640625,98.06920181223985,0.0
1570.499090769,67.3,105.6,105.6,4148.09375,143.29688753112234,2.2387096951608574
1571.502570274,73.9,110.7,110.7,4152.48828125,162.31802611656013,0.0
1572.506077658,74.2,110.6,110.6,4152.48828125,163.69928126007093,0.0
1573.508259829,77.6,108.7,108.7,4152.48828125,154.57674959975557,0.0
1574.513050905,75.1,105.5,105.5,4201.44140625,216.57953847115132,0.10885347472971167
1575.516703899,74.1,110.7,110.7,4167.38671875,86.6989143859374,1.0586328206578817
1576.518896084,73.2,111.6,111.6,4167.38671875,114.32749797385274,0.07015869915209837
1577.523204316,67.5,104.7,104.7,4178.68359375,98.24859724938906,0.0
1578.525439451,73.9,111.7,111.7,4178.68359375,110.79922377695313,0.0
1579.528040086,73.2,102.6,102.6,4215.61328125,198.88122003834388,0.0
1580.532441694,71.4,112.7,112.7,4163.7890625,131.61987963482974,0.9956176812491923
1581.535512301,69.9,108.2,108.2,4144.6484375,108.86883160360411,0.0
1582.54277604,69.6,109.8,109.8,4151.44921875,144.70670079386647,0.0
1583.546084492,78.9,112.6,112.6,4169.74609375,198.99008834422628,0.0
1584.548922883,71.3,106.7,106.7,4152.9765625,84.04270394551874,0.0
1585.551140673,79.4,105.6,105.6,4168.21875,156.61749902682834,0.0
1586.55514418,76.0,110.6,110.6,4168.21875,226.30103347833807,1.05048188840628
1587.559669872,73.4,105.9,105.9,4154.74609375,188.03183831359593,0.0
1588.574334821,69.7,110.1,110.1,4160.4609375,85.13432200957932,0.0
1589.576611754,72.7,110.7,110.7,4179.26953125,110.02292267661787,0.0
1590.579281063,50.9,100.7,100.7,4179.26953125,0.0,0.0
1591.598220965,51.9,99.5,99.5,7204.60546875,0.0,0.759060959809146
1592.637754065,80.2,94.6,94.6,7253.4765625,86.6524836967697,0.0
1593.64516421,84.9,127.3,127.3,7254.58203125,88.54697904595798,0.0
1594.653270256,83.6,130.4,130.4,7254.7421875,88.36960938135569,0.0
1595.662627967,85.6,115.7,115.7,7296.9453125,141.03569745257047,0.0
1596.675230749,88.9,108.7,108.7,7379.3359375,416.2771868623349,0.007715266182232136
1597.686940512,82.0,123.7,123.7,7357.90234375,357.5051061852809,1.652524331723783
1598.697189866,81.7,117.6,117.6,7319.8125,372.7498671581088,0.0
1599.713598604,82.5,113.7,113.7,7427.02734375,406.6861682174515,0.0
1600.728485555,85.3,118.8,118.8,7425.6953125,397.6120193509588,0.0
1601.739317955,84.8,115.6,115.6,7387.88671875,424.85483374888724,1.3989089585968582
1602.752960474,87.0,115.2,115.2,7434.2734375,474.1023620181811,2.204302757745514
1603.763522482,80.4,120.6,120.6,7464.6015625,190.28706153376882,0.0
1604.767506109,70.7,116.9,116.9,7432.65234375,0.0,0.0
1605.781547207,74.6,121.9,121.9,7432.65234375,0.0,0.0
1606.785745996,66.1,116.5,116.5,7432.72265625,0.0,0.0
1607.789351742,66.2,69.4,69.4,7472.1953125,140.00299725267539,0.7706587004734425
1608.806046179,87.5,113.5,113.5,7433.34765625,70.08005297071882,0.0
1609.813110099,69.6,107.3,107.3,7436.33203125,17.730223867024144,0.0
1610.819323915,70.9,110.4,110.4,7436.33203125,34.97020160175933,0.0
1611.822570521,62.2,105.7,105.7,7436.33203125,27.956112517365902,0.09734022464263893
1612.825342049,72.0,106.2,106.2,7436.33203125,93.21431017933362,0.0
1613.839072048,76.0,115.6,115.6,7436.33203125,90.63449472802716,0.26202736454682396
1614.863773755,72.8,107.1,107.1,7443.79296875,88.89782204685368,0.0
1615.875638175,68.8,108.3,108.3,7444.046875,33.86385006007237,0.0
1616.879073087,72.2,112.0,112.0,7444.24609375,28.340154064718345,4.20041569173504
1617.901494502,68.3,106.2,106.2,7426.48828125,8.856120741562838,0.0
1618.904098235,66.1,111.7,111.7,7426.48828125,34.15326152591121,4.367534356667404
1619.907227756,73.2,111.7,111.7,7431.2734375,27.73351986716848,0.0
1620.910434476,68.3,106.7,106.7,7431.2734375,44.622533030880106,0.0
1621.920436038,70.5,109.9,109.9,7431.2734375,42.18743475567677,0.0
1622.923017724,73.6,113.7,113.7,7435.92578125,70.20157407902327,0.0
1623.926375138,71.4,110.7,110.7,7435.92578125,33.006371446416836,0.05450450580913373
1624.928906741,68.8,106.7,106.7,7435.9296875,48.938606876012976,0.0
1625.933579276,70.3,107.8,107.8,7436.265625,54.38650216510303,0.0
1626.946754894,73.7,113.0,113.0,7436.265625,48.5247193344974,0.0
1627.965712193,69.5,107.1,107.1,7436.265625,37.80672412652219,0.11500727274342586
1628.968532546,69.2,109.7,109.7,7436.26953125,50.80982336224771,0.08180054359147516
1629.972069301,72.3,109.6,109.6,7436.26953125,61.2521162715214,0.0
1630.976057567,71.6,106.6,106.6,7436.26953125,97.61070255376106,0.0
1631.980300769,73.8,116.5,116.5,7437.01171875,54.80650741811058,0.05834617539188493
1632.986648116,68.2,106.3,106.3,7437.01171875,38.734606759986846,0.0
1633.99613331,70.3,108.0,108.0,7437.6484375,72.94095340639282,0.0
1635.01440376,69.2,105.1,105.1,7468.15625,36.228710162411524,0.07672323202543736
1636.01704955,72.1,110.6,110.6,7437.01171875,39.53602099102767,0.0
1637.02268337,66.5,112.5,112.5,7437.01171875,31.19922915877495,0.0
1638.025089867,68.9,103.7,103.7,7449.39453125,68.261510130668,0.0
1639.027980785,76.8,112.2,112.2,7437.015625,102.13442525161553,0.0
1640.041790948,73.3,107.0,107.0,7437.015625,75.99733935592708,0.07706077809361903
1641.044383934,73.9,111.6,111.6,7440.25390625,77.30735560920202,0.0
1642.047912241,72.3,111.5,111.5,7440.25390625,23.020339674386857,0.0
1643.052987934,63.1,103.6,103.6,7469.859375,28.328867614949424,0.0
1644.055652262,70.8,113.7,113.7,7440.25390625,42.62081915813247,0.0
1645.059517647,73.3,112.5,112.5,7440.25390625,62.28269092075984,0.0
