timestamp,utilization_gpu_percent,utilization_memory_percent,memory_used_mb,power_draw_w,clock_sm_mhz,temperature_c,pstate
2026/08/14 12:37:15.008, 0, 0, 211, 33.75, 585, 74, P0
2026/08/14 12:37:16.020, 0, 0, 333, 33.45, 585, 74, P0
2026/08/14 12:37:17.030, 4, 2, 715, 33.45, 585, 74, P0
2026/08/14 12:37:18.039, 8, 1, 1851, 33.45, 585, 74, P0
2026/08/14 12:37:19.048, 36, 18, 2031, 47.42, 1575, 75, P0
2026/08/14 12:37:20.054, 100, 17, 2107, 60.18, 1590, 76, P0
2026/08/14 12:37:21.061, 100, 17, 2827, 57.42, 1590, 77, P0
2026/08/14 12:37:22.068, 87, 22, 2847, 57.96, 1530, 77, P0
2026/08/14 12:37:23.129, 53, 22, 2847, 45.00, 1575, 77, P0
2026/08/14 12:37:24.136, 14, 2, 2877, 53.22, 1590, 77, P0
2026/08/14 12:37:25.143, 48, 10, 2877, 60.89, 1590, 78, P0
2026/08/14 12:37:26.151, 95, 17, 2877, 63.81, 1590, 79, P0
2026/08/14 12:37:27.157, 18, 3, 2877, 49.96, 1590, 78, P0
2026/08/14 12:37:28.164, 98, 7, 2877, 52.54, 1590, 78, P0
2026/08/14 12:37:29.170, 98, 18, 2877, 63.28, 1500, 80, P0
2026/08/14 12:37:30.180, 47, 22, 2877, 46.18, 1590, 79, P0
2026/08/14 12:37:31.196, 22, 3, 2877, 63.42, 1590, 80, P0
2026/08/14 12:37:32.203, 100, 7, 2877, 57.61, 1500, 81, P0
2026/08/14 12:37:33.213, 47, 13, 2877, 53.45, 1590, 80, P0
2026/08/14 12:37:34.221, 96, 15, 2877, 53.58, 1590, 81, P0
2026/08/14 12:37:35.228, 87, 17, 2877, 65.83, 1590, 82, P0
2026/08/14 12:37:36.237, 95, 20, 2877, 51.95, 1560, 81, P0
2026/08/14 12:37:37.250, 12, 2, 2877, 64.95, 1590, 82, P0
2026/08/14 12:37:38.256, 100, 13, 2877, 62.31, 1545, 83, P0
2026/08/14 12:37:39.263, 17, 2, 2877, 49.64, 1590, 82, P0
2026/08/14 12:37:40.270, 63, 12, 2877, 67.08, 1590, 83, P0
2026/08/14 12:37:41.277, 100, 18, 2877, 77.83, 1365, 84, P0
2026/08/14 12:37:42.284, 15, 7, 2877, 53.65, 1590, 83, P0
2026/08/14 12:37:43.291, 21, 6, 2877, 71.37, 1590, 84, P0
2026/08/14 12:37:44.298, 64, 18, 3169, 63.19, 1575, 84, P0
2026/08/14 12:37:45.304, 86, 14, 3169, 54.95, 1590, 83, P0
2026/08/14 12:37:46.310, 51, 28, 3225, 52.25, 1590, 83, P0
2026/08/14 12:37:47.317, 21, 10, 3225, 56.28, 1590, 82, P0
2026/08/14 12:37:48.324, 18, 5, 3225, 68.75, 1590, 82, P0
2026/08/14 12:37:49.331, 65, 16, 3225, 50.81, 1590, 81, P0
2026/08/14 12:37:50.338, 7, 1, 3225, 56.67, 1590, 81, P0
2026/08/14 12:37:51.347, 31, 9, 3225, 63.42, 1590, 81, P0
2026/08/14 12:37:52.354, 97, 12, 3225, 53.12, 1590, 80, P0
2026/08/14 12:37:53.360, 100, 18, 3225, 70.01, 1590, 80, P0
2026/08/14 12:37:54.369, 85, 15, 3225, 46.67, 1575, 78, P0
2026/08/14 12:37:55.375, 20, 8, 3225, 53.45, 1590, 78, P0
2026/08/14 12:37:56.382, 15, 2, 3225, 57.35, 1590, 78, P0
2026/08/14 12:37:57.389, 100, 15, 3225, 56.70, 1575, 77, P0
2026/08/14 12:37:58.399, 22, 10, 3225, 47.06, 1590, 76, P0
2026/08/14 12:37:59.407, 27, 10, 3225, 61.80, 1590, 76, P0
2026/08/14 12:38:00.415, 85, 15, 3225, 60.17, 1590, 76, P0
2026/08/14 12:38:01.421, 100, 14, 3225, 53.16, 1575, 75, P0
2026/08/14 12:38:02.435, 78, 13, 3225, 45.78, 1590, 75, P0
2026/08/14 12:38:03.442, 30, 14, 3225, 46.57, 1590, 74, P0
2026/08/14 12:38:04.448, 20, 4, 3225, 60.83, 1590, 75, P0
2026/08/14 12:38:05.456, 15, 2, 3225, 57.33, 1590, 74, P0
2026/08/14 12:38:06.464, 90, 16, 3225, 63.56, 1590, 74, P0
2026/08/14 12:38:07.472, 50, 20, 3225, 61.57, 1575, 74, P0
2026/08/14 12:38:08.485, 70, 12, 3225, 61.64, 1590, 74, P0
2026/08/14 12:38:09.491, 100, 17, 3225, 60.47, 1590, 74, P0
2026/08/14 12:38:10.500, 68, 18, 3225, 45.00, 1545, 73, P0
2026/08/14 12:38:11.520, 48, 23, 3225, 48.79, 1575, 73, P0
2026/08/14 12:38:12.531, 77, 13, 3225, 59.42, 1590, 74, P0
2026/08/14 12:38:13.540, 82, 18, 3225, 67.43, 1590, 73, P0
2026/08/14 12:38:14.548, 27, 11, 3225, 47.94, 1590, 73, P0
2026/08/14 12:38:15.555, 66, 15, 3225, 60.83, 1590, 73, P0
2026/08/14 12:38:16.562, 100, 8, 3225, 49.28, 1590, 73, P0
2026/08/14 12:38:17.569, 100, 19, 3225, 61.29, 1590, 73, P0
2026/08/14 12:38:18.578, 95, 9, 3225, 49.28, 1590, 73, P0
2026/08/14 12:38:19.586, 60, 12, 3225, 57.68, 1590, 73, P0
2026/08/14 12:38:20.593, 100, 18, 3225, 53.06, 1590, 73, P0
2026/08/14 12:38:21.600, 46, 5, 3225, 45.06, 1590, 72, P0
2026/08/14 12:38:22.612, 92, 16, 3225, 61.90, 1590, 73, P0
2026/08/14 12:38:23.620, 100, 0, 3225, 49.28, 1590, 73, P0
