split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,209,0.002696212877282142,0.291866028708134,0.28916981583085183,0.13729926972296372
exemplar,all,dsp,1,0.1,0.2,8,0.169189453125,1.0,0.830810546875,0.13729926972296372
exemplar,all,dsp,2,0.2,0.3,11,0.23473011363636365,1.0,0.7652698863636364,0.13729926972296372
exemplar,all,dsp,3,0.3,0.4,1,0.365234375,1.0,0.634765625,0.13729926972296372
exemplar,all,dsp,4,0.4,0.5,15,0.44557291666666665,1.0,0.5544270833333333,0.13729926972296372
exemplar,all,dsp,5,0.5,0.6,17,0.5450367647058824,1.0,0.45496323529411764,0.13729926972296372
exemplar,all,dsp,6,0.6,0.7,11,0.6644176136363636,1.0,0.33558238636363635,0.13729926972296372
exemplar,all,dsp,7,0.7,0.8,23,0.7554347826086957,1.0,0.24456521739130432,0.13729926972296372
exemplar,all,dsp,8,0.8,0.9,31,0.8553427419354839,1.0,0.14465725806451613,0.13729926972296372
exemplar,all,dsp,9,0.9,1.0,473,0.9921462077167019,1.0,0.007853792283298078,0.13729926972296372
exemplar,all,bram,0,0.0,0.1,102,0.006807191899285641,0.058823529411764705,0.05201633751247906,0.2715234893476507
exemplar,all,bram,1,0.1,0.2,4,0.115478515625,0.0,0.115478515625,0.2715234893476507
exemplar,all,bram,2,0.2,0.3,6,0.2503255208333333,0.6666666666666666,0.4163411458333333,0.2715234893476507
exemplar,all,bram,3,0.3,0.4,2,0.3740234375,0.0,0.3740234375,0.2715234893476507
exemplar,all,bram,4,0.4,0.5,2,0.455078125,1.0,0.544921875,0.2715234893476507
exemplar,all,bram,5,0.5,0.6,6,0.560546875,0.5,0.060546875,0.2715234893476507
exemplar,all,bram,6,0.6,0.7,9,0.6393229166666666,0.6666666666666666,0.02734375,0.2715234893476507
exemplar,all,bram,7,0.7,0.8,6,0.74609375,1.0,0.25390625,0.2715234893476507
exemplar,all,bram,8,0.8,0.9,8,0.84521484375,0.875,0.02978515625,0.2715234893476507
exemplar,all,bram,9,0.9,1.0,654,0.9946065080275229,0.6819571865443425,0.3126493214831805,0.2715234893476507
exemplar,exemplar,dsp,0,0.0,0.1,209,0.002696212877282142,0.291866028708134,0.28916981583085183,0.13729926972296372
exemplar,exemplar,dsp,1,0.1,0.2,8,0.169189453125,1.0,0.830810546875,0.13729926972296372
exemplar,exemplar,dsp,2,0.2,0.3,11,0.23473011363636365,1.0,0.7652698863636364,0.13729926972296372
exemplar,exemplar,dsp,3,0.3,0.4,1,0.365234375,1.0,0.634765625,0.13729926972296372
exemplar,exemplar,dsp,4,0.4,0.5,15,0.44557291666666665,1.0,0.5544270833333333,0.13729926972296372
exemplar,exemplar,dsp,5,0.5,0.6,17,0.5450367647058824,1.0,0.45496323529411764,0.13729926972296372
exemplar,exemplar,dsp,6,0.6,0.7,11,0.6644176136363636,1.0,0.33558238636363635,0.13729926972296372
exemplar,exemplar,dsp,7,0.7,0.8,23,0.7554347826086957,1.0,0.24456521739130432,0.13729926972296372
exemplar,exemplar,dsp,8,0.8,0.9,31,0.8553427419354839,1.0,0.14465725806451613,0.13729926972296372
exemplar,exemplar,dsp,9,0.9,1.0,473,0.9921462077167019,1.0,0.007853792283298078,0.13729926972296372
exemplar,exemplar,bram,0,0.0,0.1,102,0.006807191899285641,0.058823529411764705,0.05201633751247906,0.2715234893476507
exemplar,exemplar,bram,1,0.1,0.2,4,0.115478515625,0.0,0.115478515625,0.2715234893476507
exemplar,exemplar,bram,2,0.2,0.3,6,0.2503255208333333,0.6666666666666666,0.4163411458333333,0.2715234893476507
exemplar,exemplar,bram,3,0.3,0.4,2,0.3740234375,0.0,0.3740234375,0.2715234893476507
exemplar,exemplar,bram,4,0.4,0.5,2,0.455078125,1.0,0.544921875,0.2715234893476507
exemplar,exemplar,bram,5,0.5,0.6,6,0.560546875,0.5,0.060546875,0.2715234893476507
exemplar,exemplar,bram,6,0.6,0.7,9,0.6393229166666666,0.6666666666666666,0.02734375,0.2715234893476507
exemplar,exemplar,bram,7,0.7,0.8,6,0.74609375,1.0,0.25390625,0.2715234893476507
exemplar,exemplar,bram,8,0.8,0.9,8,0.84521484375,0.875,0.02978515625,0.2715234893476507
exemplar,exemplar,bram,9,0.9,1.0,654,0.9946065080275229,0.6819571865443425,0.3126493214831805,0.2715234893476507
test,2layer,dsp,0,0.0,0.1,36,0.004454258842290276,0.027777777777777776,0.0233235189354875,0.018232798453420403
test,2layer,dsp,1,0.1,0.2,2,0.16552734375,0.0,0.16552734375,0.018232798453420403
