split,cohort,target,n_samples,tn,fp,fn,tp,accuracy,precision,recall
exemplar,all,dsp,799,148,0,96,555,0.8798498122653317,1.0,0.8525345622119815
exemplar,all,bram,799,104,215,12,468,0.7158948685857321,0.6852122986822841,0.975
exemplar,exemplar,dsp,799,148,0,96,555,0.8798498122653317,1.0,0.8525345622119815
exemplar,exemplar,bram,799,104,215,12,468,0.7158948685857321,0.6852122986822841,0.975
test,2layer,dsp,125,39,1,1,84,0.984,0.9882352941176471,0.9882352941176471
test,2layer,bram,125,0,0,0,125,1.0,1.0,1.0
test,3layer,dsp,116,38,0,0,78,1.0,1.0,1.0
test,3layer,bram,116,0,0,0,116,1.0,1.0,1.0
test,all,dsp,593,191,2,2,398,0.9932546374367622,0.995,0.995
test,all,bram,593,105,1,0,487,0.9983136593591906,0.9979508196721312,1.0
test,conv1d,dsp,55,18,0,0,37,1.0,1.0,1.0
test,conv1d,bram,55,0,0,0,55,1.0,1.0,1.0
test,conv2d,dsp,24,10,0,0,14,1.0,1.0,1.0
test,conv2d,bram,24,0,0,0,24,1.0,1.0,1.0
test,dense_latency,dsp,90,28,0,0,62,1.0,1.0,1.0
test,dense_latency,bram,90,90,0,0,0,1.0,,
test,dense_resource,dsp,59,24,0,0,35,1.0,1.0,1.0
test,dense_resource,bram,59,12,0,0,47,1.0,1.0,1.0
test,rule4ml,dsp,124,34,1,1,88,0.9838709677419355,0.9887640449438202,0.9887640449438202
test,rule4ml,bram,124,3,1,0,120,0.9919354838709677,0.9917355371900827,1.0
