epoch,train_loss,val_r2,val_r2_lut,val_r2_ff,val_r2_dsp,val_r2_bram,val_r2_cycles_max,val_r2_interval_max,val_resource_r2,val_timing_r2,val_smape,val_smape_lut,val_smape_ff,val_smape_dsp,val_smape_bram,val_smape_cycles_max,val_smape_interval_max,val_resource_smape,val_timing_smape,val_rmse,val_rmse_lut,val_rmse_ff,val_rmse_dsp,val_rmse_bram,val_rmse_cycles_max,val_rmse_interval_max,val_resource_rmse,val_timing_rmse,val_loss,train_seconds,validation_seconds,epoch_seconds,cumulative_training_seconds,train_seconds_per_sample,data_wait_seconds,compute_submission_seconds,data_wait_fraction,peak_gpu_memory_mb
1,0.3566625118255615,0.09150343388319016,0.13195526599884033,0.11388289928436279,-0.002529621124267578,0.2389068603515625,0.03511691093444824,0.03168827295303345,0.12055385112762451,0.033402591943740845,68.81242370605469,55.82320785522461,59.19538116455078,111.82418060302734,48.300777435302734,63.67369842529297,74.05728149414062,68.785888671875,68.86549377441406,367768.15625,134669.15625,75177.796875,1800.2109375,30.328651428222656,996493.5,998438.1875,52919.37109375,997465.875,0.29756903648376465,134.40392893199896,15.472858999000891,149.8767902239997,150.30016019599861,0.049016750157548854,0.6809768499842903,133.7195976340172,0.005066770380995292,2205.20361328125
2,0.2833751142024994,0.2153540998697281,0.2785691022872925,0.20999205112457275,0.19543272256851196,0.3358438014984131,0.12010031938552856,0.15218663215637207,0.2549594044685364,0.13614347577095032,62.91847610473633,52.708740234375,56.694244384765625,98.00814819335938,39.59148406982422,61.414676666259766,69.09356689453125,61.75065612792969,65.25411987304688,346874.21875,122770.6328125,70983.890625,1612.7088623046875,28.33148193359375,951598.375,934251.3125,48848.890625,942924.875,0.26461151242256165,132.6211059819998,15.594890659998782,148.21599797800081,298.55678884999907,0.04836655943909547,0.5642873820161185,132.0525136259821,0.004255021820214815,2304.00390625
3,0.25006601214408875,0.27487751841545105,0.2882816791534424,0.3445168733596802,0.22816044092178345,0.3572901487350464,0.17314589023590088,0.2578701376914978,0.3045622706413269,0.21550801396369934,58.37884521484375,53.150970458984375,53.195953369140625,74.40513610839844,41.63897705078125,60.800777435302734,67.08123016357422,55.59775924682617,63.941001892089844,330793.4375,121941.40625,64658.37890625,1579.5679931640625,27.87030029296875,922468.5625,874084.75,47051.8046875,898276.625,0.2426130324602127,132.32213351499922,15.468756012000085,147.79089066300003,446.39150230299856,0.04825752498723531,0.5953599630047393,131.72377159599455,0.004499424656057967,2490.73583984375
4,0.23136767745018005,0.2999612092971802,0.40355581045150757,0.34464067220687866,0.42832106351852417,0.24523496627807617,0.17780178785324097,0.20021289587020874,0.35543811321258545,0.18900734186172485,54.04286193847656,48.017818450927734,53.552425384521484,72.09171295166016,37.72685623168945,53.40998840332031,59.45835876464844,52.84720230102539,56.434173583984375,334157.34375,111630.28125,64652.26953125,1359.411376953125,30.202302932739258,919867.6875,907404.25,44418.0390625,913636.0,0.210186168551445,134.02461343600044,15.802708102999532,149.82732294199923,596.2722661189982,0.04887841481983969,0.7381329050022032,133.28381013299804,0.005507552631086051,2490.73583984375
5,0.1808149218559265,0.45674625039100647,0.518699049949646,0.5700485110282898,0.710634708404541,0.3099207878112793,0.31002277135849,0.3211517930030823,0.5273257493972778,0.31558728218078613,47.9862174987793,48.00110626220703,47.70124053955078,37.56138229370117,39.47563552856445,56.773712158203125,58.40422439575195,43.18484115600586,57.588966369628906,305382.03125,100277.9609375,52366.52734375,967.1593017578125,28.879100799560547,842664.0625,835987.8125,38410.12890625,839325.9375,0.15540330111980438,132.9805950000009,15.613116919999811,148.59371321500112,744.9085185719996,0.048497664113785886,0.582535193014337,132.39419620698573,0.004380730274246587,2490.73583984375
6,0.15023604035377502,0.38837602734565735,0.5253397226333618,0.5483123660087585,0.4794358015060425,0.3575679063796997,0.22837036848068237,0.19123005867004395,0.47766393423080444,0.20980021357536316,45.271663665771484,45.18810272216797,43.54491424560547,38.99418258666992,38.89700698852539,49.11833572387695,55.887413024902344,41.65605163574219,52.50287628173828,326366.59375,99583.765625,53673.8984375,1297.2149658203125,27.86427879333496,891131.0,912485.75,38645.68359375,901808.375,0.14221195876598358,132.9299728700007,15.745149447000585,148.67512384900147,893.6630806189987,0.0484792023595918,0.613604166002915,132.3136480289977,0.0046160900482827595,2529.86962890625
7,0.1378542184829712,0.4001271426677704,0.5571053624153137,0.550623893737793,0.5311374068260193,0.28804177045822144,0.2491658329963684,0.22468841075897217,0.48172712326049805,0.2369271218776703,44.475555419921875,45.16254806518555,44.509429931640625,39.501953125,38.45508575439453,43.88467025756836,55.33963394165039,41.907257080078125,49.612152099609375,320573.9375,96193.8515625,53536.38671875,1231.112060546875,29.33333396911621,879040.9375,893411.875,37747.66796875,886226.375,0.13730783760547638,132.75736875099938,15.515775096000652,148.27314504499918,1041.9786991679994,0.04841625410320911,0.6168632449989673,132.13734140900124,0.0046466569296747294,2529.86962890625
8,0.1431160718202591,0.4223097860813141,0.5000253915786743,0.3586759567260742,0.8015415668487549,0.30453354120254517,0.2866048216819763,0.2824774384498596,0.49119412899017334,0.28454113006591797,45.23933410644531,44.93087387084961,47.318241119384766,35.58001708984375,35.452308654785156,42.842735290527344,65.31185150146484,40.82035827636719,54.077293395996094,313884.53125,102204.75,63956.22265625,800.9576416015625,28.991605758666992,856844.875,859471.3125,41747.7265625,858158.125,0.14272093772888184,132.69222192099915,15.515607639999871,148.20783074899919,1190.2302812579983,0.048392495230123685,0.7264749420010048,131.9608053869997,0.005475091057708742,2529.86962890625
9,0.12684449553489685,0.45830604434013367,0.467943012714386,0.5371741056442261,0.6507190465927124,0.40179258584976196,0.3613849878311157,0.33082258701324463,0.514407217502594,0.3461037874221802,40.35259246826172,42.151695251464844,40.7539176940918,35.26486587524414,36.30058288574219,42.39967346191406,45.24481964111328,38.61776351928711,43.82224655151367,300259.875,105432.90625,54331.6484375,1062.58154296875,26.888097763061523,810693.5,830011.75,40213.5078125,820352.625,0.11923597007989883,131.56095975000062,15.888703077998798,147.44966403299986,1337.6845076369991,0.047979926969365656,0.588131391992647,130.96988799900646,0.004470509625450363,2529.86962890625
10,0.12706351280212402,0.5426607728004456,0.6143488883972168,0.6932933926582336,0.6490645408630371,0.39330780506134033,0.45826274156570435,0.44768768548965454,0.5875036716461182,0.45297521352767944,38.28999710083008,40.8867301940918,41.060794830322266,31.565757751464844,39.89738464355469,37.87860107421875,38.45071029663086,38.35266876220703,38.16465759277344,272636.40625,89762.3828125,44228.84765625,1065.09521484375,27.078113555908203,746674.75,754060.125,33770.8515625,750367.4375,0.1117238700389862,131.15913784500117,15.08703501400123,146.24617406700054,1483.9715778639984,0.047833383605033246,0.6132115479831555,130.5428086700158,0.004675435766988929,2560.53173828125
