split,kernel_family,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
test,all,lut,0.6828247904777527,24.57025718688965,72433.21875,3.6626856327056885,-76.224609375,-15.520073890686035,17.204437255859375,0.021911947978078144,593
test,all,ff,0.9332411289215088,24.781652450561523,17993.759765625,2.275635242462158,-16.03354835510254,-14.809623718261719,16.782264709472656,0.021911947978078144,593
test,all,dsp,0.794539749622345,23.647563934326172,505.46295166015625,0.0,-17.161327362060547,-6.738050937652588,11.051713943481445,0.021911947978078144,593
test,all,bram,0.635555624961853,29.06570053100586,25.899761199951172,0.0,-14.580218315124512,-15.841870307922363,11.932706832885742,0.021911947978078144,593
test,all,cycles_max,0.5104382038116455,27.344820022583008,662526.125,2.0390665531158447,-14.56312084197998,-12.70561408996582,12.12181568145752,0.021911947978078144,593
test,all,interval_max,0.4683394432067871,23.999217987060547,690559.0625,1.4716639518737793,-3.906294107437134,-5.814952373504639,10.418025970458984,0.021911947978078144,593
test,2layer,lut,0.41350722312927246,18.89926528930664,5153.61669921875,2.6255581378936768,0.5239960551261902,-11.126526832580566,15.27351188659668,0.021911947978078144,125
test,2layer,ff,0.49983352422714233,16.20281410217285,2680.418212890625,-2.865358352661133,-1.1160587072372437,-14.38790512084961,11.43690013885498,0.021911947978078144,125
test,2layer,dsp,0.32256001234054565,17.24863624572754,3.4623661041259766,0.0,-0.03442767634987831,-7.325875759124756,6.540028095245361,0.021911947978078144,125
test,2layer,bram,-0.058145880699157715,25.265064239501953,2.1860909461975098,-6.186485290527344,-1.6524890661239624,-14.658737182617188,9.463582992553711,0.021911947978078144,125
test,2layer,cycles_max,0.9387564659118652,8.633742332458496,502.0774841308594,-0.24392543733119965,-0.900543749332428,-8.415371894836426,6.235701560974121,0.021911947978078144,125
test,2layer,interval_max,0.9834065437316895,4.3597893714904785,159.44595336914062,1.1830272674560547,0.9707691073417664,-3.092090129852295,3.795316457748413,0.021911947978078144,125
test,3layer,lut,0.6320700645446777,18.078712463378906,6230.54296875,3.6394357681274414,1.0646090507507324,-13.023935317993164,15.514837265014648,0.021911947978078144,116
test,3layer,ff,0.626652717590332,14.902355194091797,3416.69970703125,-3.791353225708008,-3.137355327606201,-13.943023681640625,9.27078628540039,0.021911947978078144,116
test,3layer,dsp,0.6798753142356873,17.558025360107422,3.671118974685669,0.0,-0.8443209528923035,-9.434393882751465,8.984208106994629,0.021911947978078144,116
test,3layer,bram,-0.026986360549926758,25.111093521118164,6.451140403747559,-4.187718391418457,1.0391385555267334,-17.074922561645508,9.31031608581543,0.021911947978078144,116
test,3layer,cycles_max,0.9366215467453003,9.932988166809082,694.8402709960938,0.447229266166687,-1.3661425113677979,-8.424860000610352,7.767294406890869,0.021911947978078144,116
test,3layer,interval_max,0.9642657041549683,6.248384952545166,230.04876708984375,2.4519758224487305,3.0991382598876953,-1.8867048025131226,7.5775227546691895,0.021911947978078144,116
test,conv1d,lut,0.7761101722717285,14.871551513671875,5113.984375,8.979655265808105,6.985045909881592,-1.5575398206710815,16.73020362854004,0.021911947978078144,55
test,conv1d,ff,0.7674298286437988,15.132406234741211,7778.57470703125,9.556496620178223,7.996554851531982,-0.6018030643463135,18.441864013671875,0.021911947978078144,55
test,conv1d,dsp,0.9377114772796631,10.634268760681152,0.5844730138778687,0.0,3.0136606693267822,0.0,12.121313095092773,0.021911947978078144,55
test,conv1d,bram,0.649590790271759,35.95440673828125,6.577701091766357,-7.431520462036133,-9.120227813720703,-35.42142868041992,33.39546585083008,0.021911947978078144,55
test,conv1d,cycles_max,0.399108350276947,48.94654846191406,108480.84375,4.654916286468506,-31.01280403137207,-40.51365280151367,42.245582580566406,0.021911947978078144,55
test,conv1d,interval_max,0.4460611939430237,46.45589065551758,104156.109375,0.6953829526901245,-30.869699478149414,-37.71664047241211,41.2021369934082,0.021911947978078144,55
test,conv2d,lut,0.8450046181678772,15.779441833496094,17816.47265625,7.774257659912109,0.984089195728302,-10.503565788269043,15.125808715820312,0.021911947978078144,24
test,conv2d,ff,0.9639615416526794,17.180639266967773,30592.484375,8.705497741699219,6.782346248626709,-5.714325904846191,18.47472381591797,0.021911947978078144,24
test,conv2d,dsp,0.925123929977417,12.011373519897461,3.953263759613037,0.0,-3.747304916381836,-6.18412971496582,1.5277296304702759,0.021911947978078144,24
test,conv2d,bram,0.8151094913482666,31.538572311401367,49.51825714111328,-11.985719680786133,-16.981067657470703,-35.778587341308594,17.24823570251465,0.021911947978078144,24
test,conv2d,cycles_max,0.2761387228965759,69.13581085205078,3289152.0,9.484596252441406,-24.1284236907959,-66.04095458984375,64.01529693603516,0.021911947978078144,24
test,conv2d,interval_max,0.21328920125961304,69.49332427978516,3428971.5,9.089180946350098,-24.95759391784668,-66.78096008300781,61.10493087768555,0.021911947978078144,24
test,dense_latency,lut,0.7317596673965454,21.375715255737305,70399.8359375,7.516359329223633,3.121317148208618,-9.634008407592773,23.77840805053711,0.021911947978078144,90
test,dense_latency,ff,0.9187125563621521,22.19295883178711,30772.4921875,7.214006423950195,1.7428762912750244,-6.314942359924316,21.726781845092773,0.021911947978078144,90
test,dense_latency,dsp,0.7988862991333008,17.386306762695312,869.0846557617188,0.0,-7.803338050842285,-1.9961334466934204,11.161757469177246,0.021911947978078144,90
test,dense_latency,bram,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021911947978078144,90
test,dense_latency,cycles_max,0.9591771960258484,10.58150863647461,33.52765655517578,3.863438844680786,0.253357857465744,-1.4632545709609985,8.726066589355469,0.021911947978078144,90
test,dense_latency,interval_max,0.9727427363395691,10.546043395996094,4.811436176300049,-2.8463001251220703,-3.4899604320526123,-9.514009475708008,4.329503059387207,0.021911947978078144,90
test,dense_resource,lut,0.8269177079200745,17.027420043945312,56094.8671875,6.778608798980713,2.9434893131256104,-7.470451831817627,16.431838989257812,0.021911947978078144,59
test,dense_resource,ff,0.7639904022216797,16.524518966674805,17534.927734375,10.0044584274292,9.147309303283691,0.5823955535888672,18.30059814453125,0.021911947978078144,59
test,dense_resource,dsp,0.7371505498886108,18.664457321166992,1066.5499267578125,0.0,-8.474282264709473,-0.8267331719398499,7.216923713684082,0.021911947978078144,59
test,dense_resource,bram,0.9120400547981262,9.228294372558594,1.9921903610229492,0.0,1.7570831775665283,-5.048877716064453,5.588940620422363,0.021911947978078144,59
test,dense_resource,cycles_max,0.891265869140625,21.48950958251953,838.6210327148438,9.892049789428711,-0.7160140872001648,3.6057496070861816,17.79029083251953,0.021911947978078144,59
test,dense_resource,interval_max,0.8447798490524292,20.802072525024414,145.95359802246094,2.9681882858276367,-13.6632719039917,-1.0252947807312012,16.304080963134766,0.021911947978078144,59
test,rule4ml,lut,0.5193829536437988,48.270565032958984,140925.296875,-23.496910095214844,-373.004638671875,-76.20491027832031,19.14597511291504,0.021911947978078144,124
test,rule4ml,ff,0.8334113955497742,54.23036193847656,22105.13671875,-12.165060043334961,-83.09347534179688,-76.5847396850586,23.11143684387207,0.021911947978078144,124
test,rule4ml,dsp,0.8221797943115234,50.734413146972656,363.8040466308594,0.0,-72.16092681884766,-19.05048179626465,33.53351593017578,0.021911947978078144,124
test,rule4ml,bram,0.28653568029403687,63.597190856933594,51.6575927734375,1.7184950113296509,-62.53676223754883,-85.51005554199219,43.608760833740234,0.021911947978078144,124
test,rule4ml,cycles_max,0.04581505060195923,59.778202056884766,630.7727661132812,-17.194427490234375,-48.87629318237305,-93.17219543457031,36.88621520996094,0.021911947978078144,124
test,rule4ml,interval_max,-0.014759659767150879,52.922325134277344,191.09085083007812,7.080996036529541,4.998120307922363,-22.19297218322754,35.34432601928711,0.021911947978078144,124
exemplar,all,lut,0.2521313428878784,59.705055236816406,23600.478515625,-20.323226928710938,-113.78277587890625,-133.79135131835938,28.206844329833984,0.028081307600746386,799
exemplar,all,ff,0.21708351373672485,72.96379089355469,15173.7958984375,-12.315067291259766,-195.5240020751953,-168.98275756835938,35.69552230834961,0.028081307600746386,799
exemplar,all,dsp,0.34195369482040405,78.65787506103516,627.8675537109375,0.0,-9.037165641784668,-37.21549606323242,75.0,0.028081307600746386,799
exemplar,all,bram,-6.389262676239014,85.03446960449219,6.761661529541016,-81.16556549072266,-247.37435913085938,-325.2846374511719,-19.043720245361328,0.028081307600746386,799
exemplar,all,cycles_max,0.38031983375549316,99.87421417236328,1003.0225219726562,-164.1251220703125,-483.5434875488281,-625.6304931640625,5.0963134765625,0.028081307600746386,799
exemplar,all,interval_max,0.4885316491127014,94.92390441894531,366.26165771484375,-117.84672546386719,-1000.6896362304688,-396.5580749511719,-1.0361089706420898,0.028081307600746386,799
exemplar,exemplar,lut,0.2521313428878784,59.705055236816406,23600.478515625,-20.323226928710938,-113.78277587890625,-133.79135131835938,28.206844329833984,0.028081307600746386,799
