split,kernel_family,target,n_samples,mean_delta_smape,median_delta_smape,fraction_improved
exemplar,all,lut,799,-0.5428225346656944,3.6548786709290937,0.44180225281602004
exemplar,all,ff,799,4.471528697787932,1.0379673200098054,0.4881101376720901
exemplar,all,dsp,799,15.129630341784765,0.4007436727380309,0.28911138923654567
exemplar,all,bram,799,8.634671680233838,16.146924329238132,0.29912390488110135
exemplar,all,cycles_max,799,-2.272443512443393,-1.8747603314864776,0.5143929912390488
exemplar,all,interval_max,799,16.14846719106281,15.346133445359868,0.3541927409261577
exemplar,exemplar,lut,799,-0.5428225346656944,3.6548786709290937,0.44180225281602004
exemplar,exemplar,ff,799,4.471528697787932,1.0379673200098054,0.4881101376720901
exemplar,exemplar,dsp,799,15.129630341784765,0.4007436727380309,0.28911138923654567
exemplar,exemplar,bram,799,8.634671680233838,16.146924329238132,0.29912390488110135
exemplar,exemplar,cycles_max,799,-2.272443512443393,-1.8747603314864776,0.5143929912390488
exemplar,exemplar,interval_max,799,16.14846719106281,15.346133445359868,0.3541927409261577
test,2layer,lut,125,-1.40884071310156,-0.8896342579895204,0.552
test,2layer,ff,125,-1.4963188533633438,-1.4080859020909138,0.592
test,2layer,dsp,125,-0.6309710478578657,0.0,0.44
test,2layer,bram,125,-0.9907484189825138,-0.915045885656018,0.568
test,2layer,cycles_max,125,-1.7479046615889346,-1.981799127454856,0.6
test,2layer,interval_max,125,-0.5786408199574189,-0.09270473349671171,0.504
test,3layer,lut,116,-2.690187751106287,-2.005387592736877,0.646551724137931
test,3layer,ff,116,-0.8433474374183377,-0.6336117366066585,0.5258620689655172
test,3layer,dsp,116,-0.28673062038945685,0.0,0.3448275862068966
test,3layer,bram,116,-2.550842133902476,-1.2141997483554645,0.6293103448275862
test,3layer,cycles_max,116,-1.4457073125514817,-2.620193280698042,0.603448275862069
test,3layer,interval_max,116,0.4209319112863544,0.0,0.49137931034482757
test,all,lut,593,0.0608368998665251,-0.4337556845920929,0.5075885328836425
test,all,ff,593,1.6126294491789348,0.2804250369193291,0.4822934232715008
test,all,dsp,593,4.402998805440334,0.0,0.3288364249578415
test,all,bram,593,-0.02495836351142391,0.0,0.433389544688027
test,all,cycles_max,593,-0.23803110937817115,-1.9840576457795471,0.5463743676222597
test,all,interval_max,593,0.27745384678499335,-0.09270473349671171,0.5059021922428331
test,conv1d,lut,55,1.3442387143715575,4.250170271466059,0.41818181818181815
test,conv1d,ff,55,2.2550514390634175,2.4813710765622146,0.38181818181818183
test,conv1d,dsp,55,-2.1288525248847505,0.0,0.32727272727272727
test,conv1d,bram,55,-0.509081017310762,1.7002749716560954,0.4909090909090909
test,conv1d,cycles_max,55,-2.3190219405126693,-0.7708222483750831,0.509090909090909
test,conv1d,interval_max,55,-3.9290724430674184,-2.596487387141458,0.5272727272727272
test,conv2d,lut,24,5.280849976038803,7.398548460818887,0.2916666666666667
test,conv2d,ff,24,-8.341039662708555,-2.57104846615975,0.75
test,conv2d,dsp,24,-1.2201174354255937,0.0,0.375
test,conv2d,bram,24,1.5127761354797205,4.819324516784331,0.3333333333333333
test,conv2d,cycles_max,24,-1.7447941004339274,-4.857121970640218,0.5416666666666666
test,conv2d,interval_max,24,-11.261976073616587,-13.729340957762401,0.6666666666666666
test,dense_latency,lut,90,3.4743943326215163,3.8142587074869105,0.4111111111111111
test,dense_latency,ff,90,4.428680610512802,5.612114672802521,0.3333333333333333
test,dense_latency,dsp,90,2.261965214949952,0.0,0.2777777777777778
test,dense_latency,bram,90,0.0,0.0,0.0
test,dense_latency,cycles_max,90,-4.899072241714256,-6.055637682324394,0.6555555555555556
test,dense_latency,interval_max,90,-2.3676010673419277,-2.7577053419750164,0.5666666666666667
test,dense_resource,lut,59,2.239341108460819,1.3410288960226033,0.4745762711864407
test,dense_resource,ff,59,3.2543639581892583,2.247626156450334,0.3728813559322034
test,dense_resource,dsp,59,-0.008597236391294512,0.0,0.3559322033898305
test,dense_resource,bram,59,0.6377850807573552,0.0,0.3559322033898305
test,dense_resource,cycles_max,59,5.072835636192558,6.212255689809664,0.3050847457627119
test,dense_resource,interval_max,59,2.014706493528886,0.2066349086691599,0.423728813559322
test,rule4ml,lut,124,-0.9777983400291773,0.06784127040753063,0.5
test,rule4ml,ff,124,5.860692072993972,0.0,0.4838709677419355
test,rule4ml,dsp,124,21.50331047979028,0.0,0.21774193548387097
test,rule4ml,bram,124,2.8951970909606586,1.8057706769719828,0.4596774193548387
test,rule4ml,cycles_max,124,4.484501189119891,0.0,0.49193548387096775
test,rule4ml,interval_max,124,6.198668991992231,1.3549487719659776,0.47580645161290325
