split,feature,bin,lower,upper,scope,n_samples,r2,smape,rmse
exemplar,instruction_count,0,3808.0,10809.0,overall,175,-61.560450581503254,107.75946666166124,3053.778124289909
exemplar,instruction_count,0,3808.0,10809.0,resource,175,-70.44917918344082,95.5488597131355,4304.868873431387
exemplar,instruction_count,0,3808.0,10809.0,timing,175,-43.782993377628124,132.1806805587127,551.596626006951
exemplar,instruction_count,1,10809.0,10985.0,overall,218,-6.557909561472516,92.87858456765274,5367.595748059031
exemplar,instruction_count,1,10809.0,10985.0,resource,218,-9.393399973294233,83.11131614886247,7726.739386545943
exemplar,instruction_count,1,10809.0,10985.0,timing,218,-0.8869287378290797,112.41312140523327,649.3084710852088
exemplar,instruction_count,2,10985.0,11787.0,overall,192,-1.704979385643026,65.1050650656641,7467.924888776066
exemplar,instruction_count,2,10985.0,11787.0,resource,192,-2.5701801375363087,54.23697631801063,10830.982637428147
exemplar,instruction_count,2,10985.0,11787.0,timing,192,0.02542211814353934,86.84124256097107,741.8093914719024
exemplar,instruction_count,3,11787.0,12635.0,overall,214,-0.19484540085003368,64.48801782993236,9184.251646928007
exemplar,instruction_count,3,11787.0,12635.0,resource,214,-0.5916535339461335,65.16509178041385,13412.502201453508
exemplar,instruction_count,3,11787.0,12635.0,timing,214,0.598770865342166,63.1338699289694,727.750537877002
exemplar,block_count,0,235.0,762.0,overall,196,-7.784219140128671,116.16238526466434,8637.218294755437
exemplar,block_count,0,235.0,762.0,resource,196,-8.472630049387147,100.54265187630935,12799.259700692737
exemplar,block_count,0,235.0,762.0,timing,196,-6.407397321611718,147.4018520413743,313.13548288083734
exemplar,block_count,1,762.0,776.0,overall,123,-8.055226673214234,88.9473755696174,4142.422101283002
exemplar,block_count,1,762.0,776.0,resource,123,-9.487972289234477,77.03683155377847,5830.247344649524
exemplar,block_count,1,762.0,776.0,timing,123,-5.189735441173745,112.76846360129527,766.7716145499579
exemplar,block_count,2,776.0,798.0,overall,266,-0.6386173602234546,67.24616478078336,3105.2260544466117
exemplar,block_count,2,776.0,798.0,resource,266,-0.9863575449509117,60.16602899868599,4266.695407192357
exemplar,block_count,2,776.0,798.0,timing,266,0.05686300923145943,81.40643634497806,782.2873489551199
exemplar,block_count,3,798.0,893.0,overall,214,-0.21906360385977766,64.53370033236696,8873.343288289403
exemplar,block_count,3,798.0,893.0,resource,214,-0.6280791435278703,65.47706869997891,12946.34178443397
exemplar,block_count,3,798.0,893.0,timing,214,0.5989674754764076,62.6469635971431,727.3462960002695
exemplar,maximum_block_length,0,199.0,318.0,overall,106,0.11884114951671666,47.80500903376551,6491.938519817078
exemplar,maximum_block_length,0,199.0,318.0,resource,106,-0.15110980342477454,39.226611372900905,9394.82498382303
exemplar,maximum_block_length,0,199.0,318.0,timing,106,0.6587430553996991,64.96180435549472,686.1655918051746
exemplar,maximum_block_length,1,318.0,376.0,overall,693,-1.2450041116221258,87.06885346633892,6795.777600001448
exemplar,maximum_block_length,1,318.0,376.0,resource,693,-1.9081072826961927,79.42298074861446,9856.372435838442
exemplar,maximum_block_length,1,318.0,376.0,timing,693,0.08120223052600828,102.36059890178788,674.5879283274593
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,overall,171,-4.6363723689395515,82.43136077166503,3582.9197275647707
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,resource,171,-6.450221952311384,74.7224796631688,5012.100026284633
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,timing,171,-1.008673202195885,97.84912298865748,724.5591301250454
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,overall,227,-0.9328001607472439,85.89934207777203,6071.389807454724
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,resource,227,-1.0419394034230565,83.8183190169494,8752.955239920711
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,timing,227,-0.7145216753956187,90.06138819941728,708.2589425227491
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,overall,193,-2.231099283203456,68.28163000422414,8035.846793695961
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,resource,193,-3.357398605036798,58.43843798522924,11684.586977293988
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,timing,193,0.02149936046322798,87.96801404221394,738.3664264999094
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,overall,208,-0.9526547585609025,89.58066574676832,8036.68422234257
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,resource,208,-1.799598395048017,77.47704564383989,11791.193874262888
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,timing,208,0.7412325144133265,113.78790595262517,527.6649185019309
