timestamp,utilization_gpu_percent,utilization_memory_percent,memory_used_mb,power_draw_w,clock_sm_mhz,temperature_c,pstate
2026/08/14 15:52:00.613, 0, 0, 215, 35.16, 585, 78, P0
2026/08/14 15:52:01.626, 0, 0, 339, 34.79, 585, 78, P0
2026/08/14 15:52:02.644, 1, 0, 1397, 38.78, 585, 78, P0
2026/08/14 15:52:03.654, 31, 19, 1973, 47.31, 1590, 79, P0
2026/08/14 15:52:04.660, 87, 19, 2145, 47.99, 1575, 80, P0
2026/08/14 15:52:05.668, 99, 14, 2161, 51.36, 1560, 81, P0
2026/08/14 15:52:06.680, 97, 26, 2161, 47.99, 1575, 81, P0
2026/08/14 15:52:07.688, 79, 25, 2171, 61.23, 1500, 82, P0
2026/08/14 15:52:08.703, 32, 10, 2175, 67.23, 1560, 83, P0
2026/08/14 15:52:09.722, 43, 13, 2223, 65.31, 1485, 84, P0
2026/08/14 15:52:10.729, 70, 23, 2395, 52.90, 1590, 84, P0
2026/08/14 15:52:11.735, 61, 14, 2395, 60.18, 1485, 85, P0
2026/08/14 15:52:12.743, 69, 19, 2395, 51.75, 1590, 84, P0
2026/08/14 15:52:13.754, 16, 6, 2395, 53.78, 1410, 84, P0
2026/08/14 15:52:14.767, 98, 17, 2411, 39.05, 1380, 83, P0
2026/08/14 15:52:15.779, 97, 27, 2411, 44.30, 1470, 84, P0
2026/08/14 15:52:16.793, 64, 25, 2597, 48.26, 1335, 84, P0
2026/08/14 15:52:17.813, 36, 21, 2603, 62.19, 1590, 85, P0
2026/08/14 15:52:18.825, 100, 18, 2603, 47.01, 1515, 84, P0
2026/08/14 15:52:19.832, 65, 18, 2603, 54.46, 1575, 84, P0
2026/08/14 15:52:20.841, 34, 11, 2603, 61.39, 1560, 84, P0
2026/08/14 15:52:21.848, 62, 22, 2603, 64.32, 1590, 83, P0
2026/08/14 15:52:22.855, 96, 25, 2603, 47.01, 1575, 82, P0
2026/08/14 15:52:23.862, 55, 21, 2603, 54.56, 1515, 83, P0
2026/08/14 15:52:24.878, 46, 17, 2603, 55.83, 1545, 82, P0
2026/08/14 15:52:25.885, 81, 26, 2603, 64.76, 1470, 81, P0
2026/08/14 15:52:26.893, 64, 25, 2603, 65.77, 1575, 81, P0
2026/08/14 15:52:27.899, 19, 6, 2603, 66.34, 1575, 80, P0
2026/08/14 15:52:28.907, 31, 14, 2603, 63.20, 1455, 79, P0
2026/08/14 15:52:29.914, 74, 24, 2603, 47.60, 1590, 78, P0
2026/08/14 15:52:30.920, 73, 18, 2603, 51.49, 1590, 77, P0
2026/08/14 15:52:31.927, 88, 27, 2603, 47.97, 1515, 77, P0
2026/08/14 15:52:32.936, 51, 18, 2603, 66.83, 1590, 77, P0
2026/08/14 15:52:33.948, 35, 14, 2603, 67.55, 1590, 76, P0
2026/08/14 15:52:34.956, 18, 5, 2603, 56.71, 1560, 76, P0
2026/08/14 15:52:35.963, 47, 17, 2603, 53.19, 1590, 75, P0
2026/08/14 15:52:36.971, 54, 15, 2603, 55.15, 1590, 75, P0
2026/08/14 15:52:37.977, 88, 16, 2603, 50.05, 1575, 74, P0
2026/08/14 15:52:38.986, 36, 12, 2603, 60.14, 1590, 74, P0
2026/08/14 15:52:40.001, 98, 27, 2603, 60.00, 1575, 74, P0
2026/08/14 15:52:41.008, 76, 26, 2603, 71.94, 1575, 74, P0
2026/08/14 15:52:42.015, 71, 11, 2603, 53.87, 1590, 73, P0
2026/08/14 15:52:43.021, 34, 12, 2603, 53.71, 1590, 73, P0
2026/08/14 15:52:44.029, 63, 23, 2603, 67.75, 1575, 73, P0
2026/08/14 15:52:45.036, 99, 11, 2603, 49.92, 1590, 73, P0
2026/08/14 15:52:46.048, 95, 28, 2603, 62.42, 1590, 73, P0
2026/08/14 15:52:47.056, 56, 20, 2603, 63.69, 1485, 73, P0
2026/08/14 15:52:48.070, 24, 13, 2603, 45.31, 1590, 72, P0
2026/08/14 15:52:49.077, 97, 23, 2603, 64.02, 1590, 73, P0
2026/08/14 15:52:50.085, 99, 13, 2603, 49.53, 1590, 72, P0
2026/08/14 15:52:51.095, 38, 12, 2603, 52.70, 1575, 73, P0
2026/08/14 15:52:52.111, 69, 20, 2603, 50.22, 1590, 72, P0
2026/08/14 15:52:53.125, 75, 21, 2603, 49.27, 1590, 72, P0
2026/08/14 15:52:54.132, 40, 19, 2603, 50.22, 1575, 72, P0
2026/08/14 15:52:55.139, 91, 25, 2603, 63.59, 1590, 72, P0
2026/08/14 15:52:56.145, 46, 17, 2603, 57.53, 1560, 72, P0
2026/08/14 15:52:57.155, 21, 7, 2603, 55.67, 1590, 72, P0
2026/08/14 15:52:58.162, 100, 7, 2603, 50.15, 1590, 72, P0
2026/08/14 15:52:59.169, 72, 23, 2603, 56.74, 1590, 73, P0
2026/08/14 15:53:00.182, 36, 20, 2603, 58.05, 1590, 72, P0
2026/08/14 15:53:01.190, 75, 25, 2603, 52.27, 1590, 72, P0
2026/08/14 15:53:02.197, 75, 27, 2603, 65.66, 1560, 73, P0
2026/08/14 15:53:03.206, 56, 17, 2603, 53.03, 1590, 73, P0
2026/08/14 15:53:04.224, 21, 7, 2603, 61.13, 1590, 74, P0
2026/08/14 15:53:05.232, 31, 20, 2603, 50.02, 1590, 73, P0
2026/08/14 15:53:06.242, 91, 21, 2603, 62.11, 1560, 73, P0
2026/08/14 15:53:07.249, 99, 17, 2603, 60.72, 1590, 74, P0
2026/08/14 15:53:08.257, 80, 28, 2603, 45.84, 1575, 74, P0
2026/08/14 15:53:09.265, 90, 24, 2603, 49.95, 1590, 74, P0
2026/08/14 15:53:10.272, 83, 15, 2603, 67.27, 1575, 75, P0
2026/08/14 15:53:11.283, 34, 13, 2617, 62.44, 1590, 75, P0
2026/08/14 15:53:12.290, 22, 9, 2617, 59.92, 1575, 75, P0
