split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,148,0.0003874479598626085,0.0,0.0003874479598626085,0.0021300044406253743
exemplar,all,dsp,8,0.8,0.9,3,0.8619791666666666,1.0,0.13802083333333337,0.0021300044406253743
exemplar,all,dsp,9,0.9,1.0,648,0.9981011284722222,1.0,0.0018988715277777901,0.0021300044406253743
exemplar,all,bram,0,0.0,0.1,48,0.0063500055014931904,0.0,0.0063500055014931904,0.32500111891623484
exemplar,all,bram,1,0.1,0.2,5,0.176171875,0.0,0.176171875,0.32500111891623484
exemplar,all,bram,4,0.4,0.5,1,0.494140625,0.0,0.494140625,0.32500111891623484
exemplar,all,bram,5,0.5,0.6,5,0.51953125,0.0,0.51953125,0.32500111891623484
exemplar,all,bram,8,0.8,0.9,19,0.8733552631578947,0.0,0.8733552631578947,0.32500111891623484
exemplar,all,bram,9,0.9,1.0,721,0.9969551837725381,0.665742024965326,0.33121315880721214,0.32500111891623484
exemplar,exemplar,dsp,0,0.0,0.1,148,0.0003874479598626085,0.0,0.0003874479598626085,0.0021300044406253743
exemplar,exemplar,dsp,8,0.8,0.9,3,0.8619791666666666,1.0,0.13802083333333337,0.0021300044406253743
exemplar,exemplar,dsp,9,0.9,1.0,648,0.9981011284722222,1.0,0.0018988715277777901,0.0021300044406253743
exemplar,exemplar,bram,0,0.0,0.1,48,0.0063500055014931904,0.0,0.0063500055014931904,0.32500111891623484
exemplar,exemplar,bram,1,0.1,0.2,5,0.176171875,0.0,0.176171875,0.32500111891623484
exemplar,exemplar,bram,4,0.4,0.5,1,0.494140625,0.0,0.494140625,0.32500111891623484
exemplar,exemplar,bram,5,0.5,0.6,5,0.51953125,0.0,0.51953125,0.32500111891623484
exemplar,exemplar,bram,8,0.8,0.9,19,0.8733552631578947,0.0,0.8733552631578947,0.32500111891623484
exemplar,exemplar,bram,9,0.9,1.0,721,0.9969551837725381,0.665742024965326,0.33121315880721214,0.32500111891623484
test,2layer,dsp,0,0.0,0.1,41,0.004901129343524211,0.024390243902439025,0.019489114558914812,0.006392429575324058
test,2layer,dsp,9,0.9,1.0,84,1.0,1.0,0.0,0.006392429575324058
test,2layer,bram,9,0.9,1.0,125,1.0,1.0,0.0,0.0
test,3layer,dsp,0,0.0,0.1,38,3.969264951975722e-05,0.0,3.969264951975722e-05,1.3002764497851504e-05
test,3layer,dsp,9,0.9,1.0,78,1.0,1.0,0.0,1.3002764497851504e-05
test,3layer,bram,9,0.9,1.0,116,1.0,1.0,0.0,0.0
test,all,dsp,0,0.0,0.1,193,0.0010926420747608893,0.0051813471502590676,0.004088705075498179,0.0030170659014690173
test,all,dsp,9,0.9,1.0,400,1.0,0.9975,0.0024999999999999467,0.0030170659014690173
test,all,bram,0,0.0,0.1,104,3.7446530856099205e-05,0.0,3.7446530856099205e-05,0.003267265074551534
test,all,bram,9,0.9,1.0,489,0.9998641998977505,0.9959100204498977,0.0039541794478528125,0.003267265074551534
test,conv1d,dsp,0,0.0,0.1,18,0.00016279353035820855,0.0,0.00016279353035820855,5.3277882662686436e-05
test,conv1d,dsp,9,0.9,1.0,37,1.0,1.0,0.0,5.3277882662686436e-05
test,conv1d,bram,9,0.9,1.0,55,1.0,1.0,0.0,0.0
test,conv2d,dsp,0,0.0,0.1,10,2.6041269302368163e-05,0.0,2.6041269302368163e-05,1.0850528875986734e-05
test,conv2d,dsp,9,0.9,1.0,14,1.0,1.0,0.0,1.0850528875986734e-05
test,conv2d,bram,9,0.9,1.0,24,1.0,1.0,0.0,0.0
test,dense_latency,dsp,0,0.0,0.1,28,1.3056610311780656e-05,0.0,1.3056610311780656e-05,4.0620565414428714e-06
test,dense_latency,dsp,9,0.9,1.0,62,1.0,1.0,0.0,4.0620565414428714e-06
test,dense_latency,bram,0,0.0,0.1,90,4.19120124206529e-05,0.0,4.19120124206529e-05,4.19120124206529e-05
test,dense_resource,dsp,0,0.0,0.1,24,4.732748493552208e-05,0.0,4.732748493552208e-05,1.925185827885644e-05
test,dense_resource,dsp,9,0.9,1.0,35,1.0,1.0,0.0,1.925185827885644e-05
test,dense_resource,bram,0,0.0,0.1,12,5.487740660707156e-06,0.0,5.487740660707156e-06,1.1161506428556927e-06
test,dense_resource,bram,9,0.9,1.0,47,1.0,1.0,0.0,1.1161506428556927e-06
test,rule4ml,dsp,0,0.0,0.1,34,0.00010979869693983346,0.0,0.00010979869693983346,0.008094622223354442
test,rule4ml,dsp,9,0.9,1.0,90,1.0,0.9888888888888889,0.011111111111111072,0.008094622223354442
test,rule4ml,bram,0,0.0,0.1,2,2.8252601623535156e-05,0.0,2.8252601623535156e-05,0.015593953670993943
test,rule4ml,bram,9,0.9,1.0,122,0.9994556864754098,0.9836065573770492,0.01584912909836067,0.015593953670993943
