split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,799,-0.2782833178838094,85.59237798055013,5024.402037461598
exemplar,all,resource,799,-0.587745264172554,81.4471321105957,7187.209615945816
exemplar,all,timing,799,0.3406405746936798,93.88286972045898,698.7868804931641
exemplar,exemplar,overall,799,-0.2782833178838094,85.59237798055013,5024.402037461598
exemplar,exemplar,resource,799,-0.587745264172554,81.4471321105957,7187.209615945816
exemplar,exemplar,timing,799,0.3406405746936798,93.88286972045898,698.7868804931641
test,2layer,overall,125,0.6250959237416586,16.05531899134318,1230.220840215683
test,2layer,resource,125,0.47841423749923706,18.767261743545532,1605.6926876306534
test,2layer,timing,125,0.9184592962265015,10.631433486938477,479.2771453857422
test,3layer,overall,116,0.7395648757616679,14.385061899820963,1371.431287308534
test,3layer,resource,116,0.6433906704187393,16.416481733322144,1792.572452813387
test,3layer,timing,116,0.931913286447525,10.322222232818604,529.1489562988281
test,all,overall,593,0.59885906179746,24.242928504943848,268353.0017820994
test,all,resource,593,0.712631955742836,23.546384811401367,27134.51829814911
test,all,timing,593,0.37131327390670776,25.63601589202881,750789.96875
test,conv1d,overall,55,0.7134197652339935,28.355895519256592,31759.19703612725
test,conv1d,resource,55,0.766723245382309,18.13100266456604,3769.231101065874
test,conv1d,timing,55,0.6068128049373627,48.805681228637695,87739.12890625
test,conv2d,overall,24,0.32086044549942017,43.33488814036051,1271668.1507321994
test,conv2d,resource,24,0.4467371255159378,29.232585430145264,42690.85109829903
test,conv2d,timing,24,0.06910708546638489,71.53949356079102,3729622.75
test,dense_latency,overall,90,0.9220093389352163,13.929340044657389,15308.093966960907
test,dense_latency,resource,90,0.9044714719057083,13.71183967590332,22950.577209472656
test,dense_latency,timing,90,0.9570850729942322,14.364340782165527,23.127481937408447
test,dense_resource,overall,59,0.7573045889536539,19.09706179300944,17126.95406830311
test,dense_resource,resource,59,0.6812902241945267,17.09957218170166,25435.674474418163
test,dense_resource,timing,59,0.9093333184719086,23.092041015625,509.51325607299805
test,rule4ml,overall,124,0.6455248693625132,46.13303248087565,28301.123861312866
test,rule4ml,resource,124,0.6433426141738892,46.540802001953125,42327.94997692108
test,rule4ml,timing,124,0.6498893797397614,45.3174934387207,247.47163009643555
