split,feature,bin,lower,upper,scope,n_samples,r2,smape,rmse
exemplar,instruction_count,0,3808.0,10809.0,overall,175,-39.2272704002968,118.93545916738053,4185.737026629257
exemplar,instruction_count,0,3808.0,10809.0,resource,175,-54.17008582311628,113.82925278763263,6146.149492672121
exemplar,instruction_count,0,3808.0,10809.0,timing,175,-9.341639554657847,129.1478719268763,264.91209454353015
exemplar,instruction_count,1,10809.0,10985.0,overall,218,-4.0512629040659665,98.809449938613,4001.8158725428643
exemplar,instruction_count,1,10809.0,10985.0,resource,218,-6.231702048650439,92.90417587731305,5780.217254289216
exemplar,instruction_count,1,10809.0,10985.0,timing,218,0.30961538510297687,110.61999806121291,445.0131090501619
exemplar,instruction_count,2,10985.0,11787.0,overall,192,0.01795271374985491,70.318423087602,3195.614625988763
exemplar,instruction_count,2,10985.0,11787.0,resource,192,-0.04551061235866494,66.99416872527497,4449.227492140776
exemplar,instruction_count,2,10985.0,11787.0,timing,192,0.1448793659668946,76.96693181225604,688.3888936847372
exemplar,instruction_count,3,11787.0,12635.0,overall,214,-0.08294192315331861,58.565447502974564,7316.479837907718
exemplar,instruction_count,3,11787.0,12635.0,resource,214,-0.28413037233107286,56.262373091378365,10456.302005337808
exemplar,instruction_count,3,11787.0,12635.0,timing,214,0.3194349752021899,63.17159632616697,1036.8355030475404
exemplar,block_count,0,235.0,762.0,overall,196,-2.6117635068219176,118.41360369584213,4660.941292160279
exemplar,block_count,0,235.0,762.0,resource,196,-2.2912163956526994,107.89430192280561,6866.200773735843
exemplar,block_count,0,235.0,762.0,timing,196,-3.252857729160353,139.45220724191518,250.42232900914973
exemplar,block_count,1,762.0,776.0,overall,123,-13.938031424174689,103.25106741997963,4124.785538580642
exemplar,block_count,1,762.0,776.0,resource,123,-21.005098393374737,99.39070016150889,6022.836223099599
exemplar,block_count,1,762.0,776.0,timing,123,0.19610251422540764,110.97180193692111,328.6841695427305
exemplar,block_count,2,776.0,798.0,overall,266,-0.6647887868707198,74.55873521152698,3274.5644930315016
exemplar,block_count,2,776.0,798.0,resource,266,-1.0738751834211,73.0135489277159,4566.2083223342825
exemplar,block_count,2,776.0,798.0,timing,266,0.15338400623004061,77.64910777914915,691.2768344259416
exemplar,block_count,3,798.0,893.0,overall,214,-0.07238109889385703,59.096903065685204,7090.6667506420135
exemplar,block_count,3,798.0,893.0,resource,214,-0.2683199115456794,57.3939930111673,10117.583984901292
exemplar,block_count,3,798.0,893.0,timing,214,0.3194965264097877,62.50272317472104,1036.8322821234601
exemplar,maximum_block_length,0,199.0,318.0,overall,106,0.3810863577659726,53.64073652273797,8056.600926232007
exemplar,maximum_block_length,0,199.0,318.0,resource,106,0.44671979918844584,41.155661958250555,11391.42569199299
exemplar,maximum_block_length,0,199.0,318.0,timing,106,0.24981947492102619,78.61088565171278,1386.9513947100397
exemplar,maximum_block_length,1,318.0,376.0,overall,693,-0.430465711847076,90.47963978059904,4361.131672545743
exemplar,maximum_block_length,1,318.0,376.0,resource,693,-0.832031256118842,87.61003989657026,6288.103067783399
exemplar,maximum_block_length,1,318.0,376.0,timing,693,0.3726653766964561,96.21883954865665,507.18888207043085
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,overall,171,-4.506281259236003,92.93586879147695,3665.132205972334
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,resource,171,-6.911719358443438,91.30839090910959,5253.321371629708
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,timing,171,0.30459493917886776,96.19082455621167,488.75387465758666
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,overall,227,-0.5353631289865337,88.7320899010224,6363.620158905105
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,resource,227,-1.010946346965199,88.975605347718,9333.692420656696
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,timing,227,0.41580330697079665,88.24505900763121,423.47563540191993
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,overall,193,-0.21584339888053586,72.33230702203967,3461.120462257866
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,resource,193,-0.3931043245291561,69.32413253170853,4848.143884761021
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,timing,193,0.13867845241670468,78.348656002702,687.0736172515567
