monotonic_seconds,system_cpu_percent,training_process_cpu_percent,training_tree_cpu_percent,training_tree_rss_mb,system_disk_read_mb_s,system_disk_write_mb_s
12406.46600461,73.7,76.3,76.3,3100.09765625,8.014893213947177,0.0
12407.474702689,63.8,107.6,107.6,3800.93359375,44.95662001750715,0.03098052891205592
12408.478375919,63.3,91.3,91.3,4073.796875,12.174031980513705,0.0
12409.491077834,73.5,109.0,109.0,4136.890625,2.1060614860188993,0.15814747422486242
12410.500044612,69.8,110.2,110.2,4122.50390625,0.21680594918471663,0.01548613922747976
12411.502371284,69.3,106.6,106.6,4183.73828125,0.10912111096650741,0.5222224596254282
12412.508052033,66.9,110.4,110.4,4189.02734375,0.0,0.0
12413.514785111,66.5,109.4,109.4,4180.546875,0.0,0.0
12414.516790082,69.0,108.7,108.7,4180.8359375,0.0,0.0545780725472995
12415.519430712,67.3,109.6,109.6,4178.5078125,0.0,0.0
12416.524043872,70.1,110.6,110.6,4184.7578125,0.03888312591886411,0.2410753806969575
12417.526403741,70.1,108.6,108.6,4185.03125,0.0,0.0
12418.5330026,75.5,109.4,109.4,4219.53515625,0.0,0.0
12419.535364235,68.0,105.8,105.8,4268.88671875,0.0,0.10911730475389453
12420.540089257,68.3,111.2,111.2,4294.33984375,0.0,0.09330911239119336
12421.545698783,67.0,110.7,110.7,4307.08984375,0.0,0.0
12422.548445182,68.6,108.6,108.6,4317.265625,0.0,0.13634429416696967
12423.553078908,64.7,110.1,110.1,4303.73046875,0.0,0.0
12424.562672813,65.7,105.5,105.5,4320.5625,0.0,0.0
12425.564625195,66.9,110.7,110.7,4325.0625,0.0,0.21832374864275111
12426.567246355,70.2,110.7,110.7,4333.1015625,0.5805096413486206,0.0
12427.570410957,68.0,105.6,105.6,4352.81640625,0.0,0.0
12428.574422356,67.1,109.7,109.7,4333.23046875,0.0,0.0
12429.576449406,70.3,109.7,109.7,4334.77734375,0.0,0.0
12430.579084044,59.4,106.7,106.7,4338.89453125,0.0,0.0
12431.581341365,69.3,108.7,108.7,4339.0,0.0,0.07794904398615973
12432.584039081,69.6,111.7,111.7,4339.06640625,0.0,0.0
12433.586696458,69.3,108.7,108.7,4339.12109375,0.0,0.0
12434.589379575,67.5,107.3,107.3,4340.3984375,0.0,0.0
12435.598160099,66.3,108.7,108.7,4340.44921875,0.0,0.12003973819779684
12436.611024094,69.0,109.2,109.2,4340.4765625,0.0,0.05784957337732991
12437.616210319,65.2,110.7,110.7,4340.64453125,0.0,0.7383582082015107
12438.618175211,73.2,111.8,111.8,4340.64453125,0.0,0.0
12439.620383959,68.0,108.8,108.8,4340.7265625,0.0,0.0
12440.622888717,70.7,110.5,110.5,4340.73046875,0.0,0.03506841211420216
12441.629038648,69.2,106.5,106.5,4340.73046875,0.0,0.0
12442.635824353,67.2,113.1,113.1,4342.73046875,0.0,0.84970291666996
12443.6420153,64.7,106.5,106.5,4342.734375,0.0,0.0
12444.64429518,67.9,109.8,109.8,4342.734375,0.0,0.0
12445.646278939,70.8,111.7,111.7,4342.734375,0.0,0.0
12446.649939664,68.2,111.4,111.4,4342.73828125,0.0,0.10897606858149961
12447.65563851,71.3,109.4,109.4,4342.73828125,0.0,0.06214584042586702
12448.665250314,64.9,108.2,108.2,4342.7421875,0.0,0.0
12449.667473484,71.0,109.8,109.8,4297.94140625,0.0,0.0
12450.670012815,72.0,110.7,110.7,4310.19921875,0.0,0.0
12451.67203139,70.4,110.7,110.7,4322.79296875,0.0,0.0
12452.676037898,64.1,104.7,104.7,4368.51171875,0.0,0.07781324062896913
12453.678418871,67.6,110.7,110.7,4326.59375,0.0,0.0
12454.680933166,68.9,111.7,111.7,4309.04296875,0.0,0.0
12455.68331827,66.9,106.1,106.1,4313.1796875,0.0,0.0
12456.694621353,72.9,112.0,112.0,4326.51953125,0.0,0.0
12457.704798012,73.4,109.9,109.9,4312.421875,0.0,0.069604162176449
12458.716090498,68.8,110.1,110.1,4326.515625,0.0,0.0
12459.723502957,65.0,108.3,108.3,4326.515625,0.0,0.0
12460.725481067,71.3,110.8,110.8,4340.0703125,0.0,0.0
12461.729077184,67.4,104.6,104.6,4369.6171875,0.0,0.0
12462.73218826,62.6,110.7,110.7,4340.92578125,0.0,0.09345924119763788
12463.734280488,66.4,112.6,112.6,4340.92578125,8.295144666065294,0.0
12464.738654263,67.0,110.7,110.7,4340.92578125,0.0,0.0
12465.740579839,64.3,103.8,103.8,4340.92578125,0.0,0.0
12466.742832666,67.5,110.7,110.7,4340.92578125,0.0,0.0
12467.746904316,67.2,102.7,102.7,4366.68359375,0.0,0.05446573459171172
12468.750325645,74.1,108.6,108.6,4359.140625,0.0,0.007785862004533518
12469.752757018,63.7,109.8,109.8,4340.93359375,0.0,0.0
12470.754630619,67.2,111.8,111.8,4340.93359375,0.0,0.0
12471.756905857,69.4,109.7,109.7,4340.93359375,0.0,0.0
12472.759655134,69.0,109.7,109.7,4340.93359375,0.0,0.1285528226814894
12473.762065016,69.9,110.8,110.8,4315.13671875,0.0,0.0
12474.764222487,69.8,110.8,110.8,4297.984375,0.0,0.0
12475.766229099,69.6,108.0,108.0,4336.0,0.0,0.0
12476.779035741,66.1,107.4,107.4,4336.0,0.0,0.0
12477.782042893,67.5,111.7,111.7,4340.54296875,0.0,0.054523539429283265
12478.786235953,70.5,106.5,106.5,4340.54296875,0.0,0.0
12479.789042929,71.0,110.7,110.7,4330.65625,0.0,0.0
12480.791625896,71.3,109.7,109.7,4334.2578125,0.0,0.0
12481.794176244,68.8,110.7,110.7,4334.2578125,0.0,0.0
12482.796819699,64.2,107.3,107.3,4335.28515625,0.0,0.0
12483.806298853,69.4,109.4,109.4,4335.28515625,0.0,0.07739139504809799
12484.810055395,67.1,111.6,111.6,4335.69921875,0.0,0.0
12485.812662641,71.4,109.7,109.7,4335.703125,0.0,0.0
12486.816047223,72.2,109.7,109.7,4368.0703125,0.0,0.0
12487.818049775,68.1,109.8,109.8,4345.89453125,0.0,0.0
12488.821025538,71.0,105.6,105.6,4390.55859375,0.0,0.05452524579100949
12489.823946669,63.7,110.7,110.7,4345.89453125,0.0,0.0
12490.826595801,71.0,109.7,109.7,4345.89453125,0.0,0.0
12491.828718721,71.0,110.7,110.7,4345.89453125,0.0,0.0
12492.833044773,63.5,105.6,105.6,4377.6875,0.0,0.0
12493.834991351,66.9,111.8,111.8,4346.09765625,0.0,0.0
12494.837461375,72.4,109.7,109.7,4363.0546875,0.0,0.07793250484257974
12495.840039483,67.6,110.7,110.7,4355.0234375,0.0,0.0
12496.842286918,68.9,111.6,111.6,4348.5234375,0.0,0.0
12497.846391725,76.1,109.6,109.6,4360.796875,0.0,0.0
12498.84886347,69.8,109.7,109.7,4352.2578125,0.0,0.0
12499.851698148,68.9,109.7,109.7,4353.76171875,0.0,0.13633229185159879
12500.853729269,56.6,104.8,104.8,4353.76171875,0.0,0.0
12501.856250158,51.6,99.8,99.8,4353.76171875,0.0,0.0
12502.858296673,65.8,90.5,90.5,7663.75390625,0.0,0.0
12503.866136564,83.2,81.2,81.2,7669.08984375,0.0,0.0
