timestamp,utilization_gpu_percent,utilization_memory_percent,memory_used_mb,power_draw_w,clock_sm_mhz,temperature_c,pstate
2026/08/19 22:48:32.499, 0, 0, 211, 28.64, 585, 54, P0
2026/08/19 22:48:33.510, 0, 0, 335, 28.42, 585, 54, P0
2026/08/19 22:48:34.519, 3, 0, 549, 31.97, 585, 54, P0
2026/08/19 22:48:35.529, 46, 10, 705, 38.24, 1590, 55, P0
2026/08/19 22:48:36.536, 44, 6, 705, 39.70, 1590, 56, P0
2026/08/19 22:48:37.547, 39, 10, 713, 39.09, 1590, 56, P0
2026/08/19 22:48:38.557, 39, 11, 739, 38.91, 1590, 56, P0
2026/08/19 22:48:39.568, 21, 4, 759, 40.79, 1590, 57, P0
2026/08/19 22:48:40.578, 25, 5, 759, 42.56, 1590, 57, P0
2026/08/19 22:48:41.655, 44, 11, 759, 41.67, 1590, 57, P0
2026/08/19 22:48:42.662, 46, 4, 761, 39.28, 1590, 57, P0
2026/08/19 22:48:43.674, 15, 4, 769, 58.56, 1590, 58, P0
2026/08/19 22:48:44.688, 39, 8, 769, 51.38, 1590, 58, P0
2026/08/19 22:48:45.694, 44, 5, 769, 39.70, 1590, 58, P0
2026/08/19 22:48:46.705, 43, 11, 769, 39.70, 1590, 58, P0
2026/08/19 22:48:47.715, 49, 12, 769, 49.08, 1590, 58, P0
2026/08/19 22:48:48.722, 41, 6, 769, 45.47, 1590, 59, P0
2026/08/19 22:48:49.738, 11, 3, 769, 45.93, 1590, 59, P0
2026/08/19 22:48:50.749, 17, 5, 769, 57.54, 1590, 59, P0
2026/08/19 22:48:51.758, 28, 3, 769, 54.10, 1590, 59, P0
2026/08/19 22:48:52.766, 38, 9, 783, 45.27, 1590, 59, P0
2026/08/19 22:48:53.773, 30, 7, 783, 55.58, 1590, 60, P0
2026/08/19 22:48:54.780, 39, 3, 783, 45.69, 1590, 60, P0
2026/08/19 22:48:55.789, 22, 6, 783, 46.16, 1590, 60, P0
2026/08/19 22:48:56.796, 41, 10, 783, 43.50, 1590, 60, P0
2026/08/19 22:48:57.804, 88, 3, 783, 40.79, 1590, 60, P0
2026/08/19 22:48:58.814, 81, 1, 783, 42.73, 1590, 61, P0
2026/08/19 22:48:59.824, 11, 2, 783, 40.88, 1590, 61, P0
2026/08/19 22:49:00.831, 48, 12, 783, 56.69, 1590, 61, P0
2026/08/19 22:49:01.845, 21, 4, 783, 42.34, 1590, 61, P0
2026/08/19 22:49:02.855, 6, 1, 783, 40.79, 1590, 61, P0
2026/08/19 22:49:03.863, 23, 5, 783, 43.92, 1590, 61, P0
