split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,216,0.0026108745605008016,0.24074074074074073,0.23812986618023993,0.11505638526516009
exemplar,all,dsp,1,0.1,0.2,12,0.1669921875,1.0,0.8330078125,0.11505638526516009
exemplar,all,dsp,2,0.2,0.3,11,0.24662642045454544,1.0,0.7533735795454546,0.11505638526516009
exemplar,all,dsp,3,0.3,0.4,16,0.346435546875,1.0,0.653564453125,0.11505638526516009
exemplar,all,dsp,4,0.4,0.5,13,0.455078125,1.0,0.544921875,0.11505638526516009
exemplar,all,dsp,5,0.5,0.6,6,0.5338541666666666,1.0,0.46614583333333337,0.11505638526516009
exemplar,all,dsp,6,0.6,0.7,8,0.63916015625,1.0,0.36083984375,0.11505638526516009
exemplar,all,dsp,7,0.7,0.8,15,0.7770833333333333,1.0,0.22291666666666665,0.11505638526516009
exemplar,all,dsp,8,0.8,0.9,23,0.8507133152173914,1.0,0.14928668478260865,0.11505638526516009
exemplar,all,dsp,9,0.9,1.0,566,0.9960799469964664,1.0,0.003920053003533597,0.11505638526516009
exemplar,all,bram,0,0.0,0.1,63,0.0148005173319862,0.0,0.0148005173319862,0.3170365086392947
exemplar,all,bram,1,0.1,0.2,5,0.1595703125,0.0,0.1595703125,0.3170365086392947
exemplar,all,bram,2,0.2,0.3,2,0.2119140625,0.0,0.2119140625,0.3170365086392947
exemplar,all,bram,3,0.3,0.4,1,0.30078125,1.0,0.69921875,0.3170365086392947
exemplar,all,bram,4,0.4,0.5,4,0.47314453125,0.5,0.02685546875,0.3170365086392947
exemplar,all,bram,5,0.5,0.6,2,0.56640625,0.0,0.56640625,0.3170365086392947
exemplar,all,bram,8,0.8,0.9,9,0.8385416666666666,0.4444444444444444,0.3940972222222222,0.3170365086392947
exemplar,all,bram,9,0.9,1.0,800,0.9978173828125,0.65625,0.3415673828125,0.3170365086392947
exemplar,exemplar,dsp,0,0.0,0.1,216,0.0026108745605008016,0.24074074074074073,0.23812986618023993,0.11505638526516009
exemplar,exemplar,dsp,1,0.1,0.2,12,0.1669921875,1.0,0.8330078125,0.11505638526516009
exemplar,exemplar,dsp,2,0.2,0.3,11,0.24662642045454544,1.0,0.7533735795454546,0.11505638526516009
exemplar,exemplar,dsp,3,0.3,0.4,16,0.346435546875,1.0,0.653564453125,0.11505638526516009
exemplar,exemplar,dsp,4,0.4,0.5,13,0.455078125,1.0,0.544921875,0.11505638526516009
exemplar,exemplar,dsp,5,0.5,0.6,6,0.5338541666666666,1.0,0.46614583333333337,0.11505638526516009
exemplar,exemplar,dsp,6,0.6,0.7,8,0.63916015625,1.0,0.36083984375,0.11505638526516009
exemplar,exemplar,dsp,7,0.7,0.8,15,0.7770833333333333,1.0,0.22291666666666665,0.11505638526516009
exemplar,exemplar,dsp,8,0.8,0.9,23,0.8507133152173914,1.0,0.14928668478260865,0.11505638526516009
exemplar,exemplar,dsp,9,0.9,1.0,566,0.9960799469964664,1.0,0.003920053003533597,0.11505638526516009
exemplar,exemplar,bram,0,0.0,0.1,63,0.0148005173319862,0.0,0.0148005173319862,0.3170365086392947
exemplar,exemplar,bram,1,0.1,0.2,5,0.1595703125,0.0,0.1595703125,0.3170365086392947
exemplar,exemplar,bram,2,0.2,0.3,2,0.2119140625,0.0,0.2119140625,0.3170365086392947
exemplar,exemplar,bram,3,0.3,0.4,1,0.30078125,1.0,0.69921875,0.3170365086392947
exemplar,exemplar,bram,4,0.4,0.5,4,0.47314453125,0.5,0.02685546875,0.3170365086392947
