split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,886,-0.15576266249020895,91.98489507039388,6063.687837759654
exemplar,all,resource,886,-0.1206972748041153,82.4374885559082,8600.028308153152
exemplar,all,timing,886,-0.22589343786239624,111.07970809936523,991.0068969726562
exemplar,exemplar,overall,886,-0.15576266249020895,91.98489507039388,6063.687837759654
exemplar,exemplar,resource,886,-0.1206972748041153,82.4374885559082,8600.028308153152
exemplar,exemplar,timing,886,-0.22589343786239624,111.07970809936523,991.0068969726562
test,2layer,overall,125,0.24003959695498148,25.792240142822266,2028.1240815718968
test,2layer,resource,125,0.06783859431743622,27.333596229553223,2516.0209459662437
test,2layer,timing,125,0.584441602230072,22.70952796936035,1052.3303527832031
test,3layer,overall,116,0.3351562023162842,25.46308199564616,2724.4886589845023
test,3layer,resource,116,0.15253162384033203,28.019620895385742,3546.2047139406204
test,3layer,timing,116,0.7004053592681885,20.350004196166992,1081.0565490722656
test,all,overall,593,0.5853972931702932,28.089760144551594,270223.44736385345
test,all,resource,593,0.6974782943725586,27.05495548248291,26923.327295780182
test,all,timing,593,0.36123529076576233,30.159369468688965,756823.6875
test,conv1d,overall,55,0.6873401701450348,29.58777077992757,33065.3635267218
test,conv1d,resource,55,0.7507078498601913,20.0822434425354,3218.724977582693
test,conv1d,timing,55,0.5606048107147217,48.598825454711914,92758.640625
test,conv2d,overall,24,0.34389813741048175,47.19903691609701,1279382.4106346767
test,conv2d,resource,24,0.48869046568870544,26.521547317504883,39395.42845201492
test,conv2d,timing,24,0.054313480854034424,88.55401611328125,3759356.375
test,dense_latency,overall,90,0.9219037592411041,12.811830520629883,16950.605079809826
test,dense_latency,resource,90,0.8963457494974136,13.340043783187866,25418.195877075195
test,dense_latency,timing,90,0.9730197787284851,11.755403995513916,15.423485279083252
test,dense_resource,overall,59,0.9073070784409841,14.88783311843872,9546.170225421587
test,dense_resource,resource,59,0.8799574226140976,12.975719690322876,14180.248229444027
test,dense_resource,timing,59,0.9620063900947571,18.71205997467041,278.014217376709
test,rule4ml,overall,124,0.5924135943253835,45.87040106455485,29463.038501739502
test,rule4ml,resource,124,0.5296601802110672,45.720983028411865,44069.74260997772
test,rule4ml,timing,124,0.7179204225540161,46.16923713684082,249.63028526306152
