split,feature,bin,lower,upper,scope,n_samples,r2,smape,rmse
exemplar,instruction_count,0,1026.0,3050.0,overall,220,-4.0508570793929595,119.21129296860322,8444.184822670735
exemplar,instruction_count,0,1026.0,3050.0,resource,220,-4.315300964458888,103.23035340505271,12033.113408506728
exemplar,instruction_count,0,1026.0,3050.0,timing,220,-3.5219693092611033,151.17317209570425,1266.327650998752
exemplar,instruction_count,1,3050.0,3115.0,overall,221,-0.09668594759169276,71.83921471461463,4805.478825614969
exemplar,instruction_count,1,3050.0,3115.0,resource,221,-0.16228932074373242,62.55634567900998,6771.453964311436
exemplar,instruction_count,1,3050.0,3115.0,timing,221,0.03452079871238656,90.40495278582391,873.5285482220366
exemplar,instruction_count,2,3115.0,3324.0,overall,215,0.2544194741370639,90.88177417124099,5155.695114212368
exemplar,instruction_count,2,3115.0,3324.0,resource,215,0.4319137807899646,81.75614777863964,7264.961807948657
exemplar,instruction_count,2,3115.0,3324.0,timing,215,-0.1005691391687375,109.1330269564437,937.1617267397912
exemplar,instruction_count,3,3324.0,3827.0,overall,230,0.20600866379301772,86.33079338491694,5029.0929102521595
exemplar,instruction_count,3,3324.0,3827.0,resource,230,0.12342573395856726,82.28875915248898,7181.547949101351
exemplar,instruction_count,3,3324.0,3827.0,timing,230,0.37117452346191865,94.41486184977286,724.1828325537763
exemplar,block_count,0,235.0,762.0,overall,208,-18.40720615019744,123.8599815941559,6333.059948089445
exemplar,block_count,0,235.0,762.0,resource,208,-3.1656799458034817,108.97845489489488,9097.270366789144
exemplar,block_count,0,235.0,762.0,timing,208,-48.89025855898535,153.6230349926779,804.6391106900483
exemplar,block_count,1,762.0,776.0,overall,145,-2.8469925673610184,101.98983372455535,7230.37455026615
exemplar,block_count,1,762.0,776.0,resource,145,-4.051909820751018,89.21266561433717,10602.414111946046
exemplar,block_count,1,762.0,776.0,timing,145,-0.4371580605810199,127.54416994499172,486.2954269063623
exemplar,block_count,2,776.0,798.0,overall,299,-0.5122196418406165,84.46523160025258,5060.732768089765
exemplar,block_count,2,776.0,798.0,resource,299,-0.3470960270086198,79.5382738886095,7058.195349656396
exemplar,block_count,2,776.0,798.0,timing,299,-0.84246687150461,94.31914702353873,1065.8076049565043
exemplar,block_count,3,798.0,893.0,overall,234,0.14397310122726611,67.06029282158022,6070.676737533421
exemplar,block_count,3,798.0,893.0,resource,234,0.19544780901255088,58.35178417410904,8489.534831908271
exemplar,block_count,3,798.0,893.0,timing,234,0.04102368565669662,84.47731011652257,1232.960548783723
exemplar,maximum_block_length,0,74.0,87.0,overall,126,-125.27609642549942,136.45656489114,6284.781429666659
exemplar,maximum_block_length,0,74.0,87.0,resource,126,-37.99649736538503,123.58065592437671,8921.528113069668
exemplar,maximum_block_length,0,74.0,87.0,timing,126,-256.195495015671,162.20838282466661,1011.2880628606416
exemplar,maximum_block_length,1,87.0,103.0,overall,760,-0.021306540473247686,84.61195743958763,6015.327400695517
exemplar,maximum_block_length,1,87.0,103.0,resource,760,0.021703532832629713,75.6163866778702,8529.734599039437
exemplar,maximum_block_length,1,87.0,103.0,timing,760,-0.10732668708500248,102.60309896302249,986.5130040076783
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,overall,189,-0.4292170519746084,97.62426172630985,4832.243400223915
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,resource,189,-0.6696771505453822,88.67987744439857,6955.164871431366
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,timing,189,0.0517031451669393,115.51303029013246,586.400457809015
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,overall,253,0.17769331691356713,93.50438252062834,5049.5730601173755
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,resource,253,0.24026088798373274,86.7818419181863,7306.004963325627
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,timing,253,0.05255817477323593,106.9494637255124,536.7092537008723
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,overall,217,-0.6515727816873739,77.62425267899246,4355.042711369625
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,resource,217,-0.393403953764488,71.99890872274585,5960.28382916199
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,timing,217,-1.1679104375331457,88.87494059148567,1144.5604757848944
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,overall,227,-0.5800913558921706,99.32404297373277,8702.895381154429
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,resource,227,-0.691250363255756,82.3768743899756,12385.057814500013
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,timing,227,-0.35777334116500004,133.2183801412471,1338.5705144632593
exemplar,block_scc_fraction,0,0.5146276595744681,0.5193298969072165,overall,166,-0.3521024131935151,84.14135998021608,4902.481737210613
exemplar,block_scc_fraction,0,0.5146276595744681,0.5193298969072165,resource,166,-0.6208703895037979,69.82475406479091,7012.426900592872
exemplar,block_scc_fraction,0,0.5146276595744681,0.5193298969072165,timing,166,0.18543353942705043,112.77457181106644,682.5914104460957
exemplar,block_scc_fraction,1,0.5193298969072165,0.5231362467866324,overall,235,-0.20269671208435655,91.56935411628471,4718.6219650164585
exemplar,block_scc_fraction,1,0.5193298969072165,0.5231362467866324,resource,235,-0.23715947407956597,84.18971516025577,6694.44323240253
exemplar,block_scc_fraction,1,0.5193298969072165,0.5231362467866324,timing,235,-0.13377118809393773,106.3286320283426,766.9794302443149
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,overall,255,-0.6959847014464159,93.79859214468269,6361.679763968801
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,resource,255,-0.25777643242958026,92.09493693977907,9024.178402255147
exemplar,block_scc_fraction,2,0.5231362467866324,0.7368421052631579,timing,255,-1.572401239480087,97.20590255448988,1036.6824873961093
exemplar,block_scc_fraction,3,0.7368421052631579,0.8608923884514436,overall,230,-0.31014543650063964,96.05960808449295,7476.1596863666555
exemplar,block_scc_fraction,3,0.7368421052631579,0.8608923884514436,resource,230,-0.42608411969583504,79.04311028084223,10581.77978524634
exemplar,block_scc_fraction,3,0.7368421052631579,0.8608923884514436,timing,230,-0.07826807011024883,130.09260369179447,1264.9194886072828
exemplar,call_depth,0,2.0,4.0,overall,119,0.10400080596476347,62.43668005450343,8550.806127832415
exemplar,call_depth,0,2.0,4.0,resource,119,0.1891671475856262,41.33832184234665,12022.805293740857
exemplar,call_depth,0,2.0,4.0,timing,119,-0.06633187727696199,104.63339647881696,1606.8077960155292
exemplar,call_depth,1,4.0,5.0,overall,380,-4.261137227604315,113.56020411892388,5978.792000528425
exemplar,call_depth,1,4.0,5.0,resource,380,-5.085635209571074,105.19840055695643,8470.059864929412
exemplar,call_depth,1,4.0,5.0,timing,380,-2.612141263670794,130.28381124285877,996.2562717264504
exemplar,call_depth,2,5.0,9.0,overall,387,0.09276346458722,79.88571663745029,5109.624323238261
exemplar,call_depth,2,5.0,9.0,resource,387,0.04694543450600089,72.72600519578835,7328.159518338005
exemplar,call_depth,2,5.0,9.0,timing,387,0.1843995247496582,94.20513952077417,672.5539330387724
exemplar,memory_node_count,0,0.0,0.0,overall,886,-0.1557626694880401,91.98489258506798,6063.688100607892
exemplar,memory_node_count,0,0.0,0.0,resource,886,-0.12069729647345462,82.43749043075938,8600.028700242861
exemplar,memory_node_count,0,0.0,0.0,timing,886,-0.2258934155172111,111.07969689368518,991.0069013379556
test,instruction_count,0,632.0,950.0,overall,126,0.2534604595720547,25.91402087091721,2022.124005518276
test,instruction_count,0,632.0,950.0,resource,126,0.08276986331237723,27.294114651722882,2508.998110483318
test,instruction_count,0,632.0,950.0,timing,126,0.5948416520914096,23.15383330930586,1048.3757955881906
test,instruction_count,1,950.0,4332.0,overall,170,0.6397990670513939,29.837609189217932,7014.543341958685
test,instruction_count,1,950.0,4332.0,resource,170,0.7217825665330213,31.106959722599154,8802.02267577016
test,instruction_count,1,950.0,4332.0,timing,170,0.4758320680881388,27.2989081224555,3439.584674335736
test,instruction_count,2,4332.0,7006.0,overall,148,0.5343508633375736,27.043100110428355,210255.57975011566
test,instruction_count,2,4332.0,7006.0,resource,148,0.6489496963221965,25.41997096626818,31378.163759200266
test,instruction_count,2,4332.0,7006.0,timing,148,0.3051531973683279,30.289358398748703,568010.4117319465
test,instruction_count,3,7006.0,16606.0,overall,149,0.5651630732329578,28.975096358061773,493976.0521515969
