monotonic_seconds,system_cpu_percent,training_process_cpu_percent,training_tree_cpu_percent,training_tree_rss_mb,system_disk_read_mb_s,system_disk_write_mb_s
2358.842795884,74.0,70.7,70.7,3049.58203125,76.2506469855684,0.10532396115057792
2359.847708595,50.8,89.7,89.7,3572.58984375,129.34892113236234,0.09329168491335184
2360.850637384,71.2,100.1,100.1,3726.92578125,45.32039113695425,0.0
2361.865084841,77.2,115.1,115.1,3745.734375,0.6160989370984095,3.1652082893430786
2362.867823652,80.9,117.2,117.2,3742.58203125,0.007791161481234409,0.023373484443703227
2363.877487915,75.1,111.0,111.0,3749.015625,0.0,0.0
2364.88535341,79.6,115.5,115.5,3755.16796875,0.0,0.0
2365.895333452,80.6,115.8,115.8,3755.2421875,0.0,0.0
2366.896806757,78.3,115.8,115.8,3757.296875,0.6864885929237651,2.8980740030815766
2367.899165538,84.1,111.4,111.4,3768.0234375,0.0,0.0
2368.904275215,82.0,110.8,110.8,3759.71484375,0.0,0.0
2369.906552259,73.0,109.8,109.8,3776.4453125,0.0,0.0
2370.909730528,75.1,115.3,115.3,3765.76953125,0.0,0.0
2371.916039462,78.9,112.3,112.3,3772.66796875,0.6055545960205144,2.4920900682382707
2372.92485545,74.9,113.3,113.3,3766.421875,0.0,0.05420958891463544
2373.926934041,77.7,116.4,116.4,3766.45703125,0.0,0.0
2374.933360832,77.0,111.7,111.7,3766.4921875,0.0,0.0
2375.946336598,77.1,113.6,113.6,3766.52734375,0.0,0.0
2376.957552136,79.2,115.0,115.0,3783.484375,0.61034218404202,2.4799979883226384
2377.971064423,78.9,110.7,110.7,3783.52734375,0.0,0.053958398631621586
2378.989209116,79.1,115.7,115.7,3783.56640625,0.0,0.0
2379.998714998,77.8,112.7,112.7,3785.60546875,0.0,0.011608401901315058
2381.011195273,79.8,117.7,117.7,3785.6484375,0.8024847693948899,5.439920792532667
2382.021038538,72.0,109.5,109.5,3791.48046875,0.6653260196767933,5.121463081698106
2383.02320272,77.0,113.4,113.4,3786.53125,0.0,0.0
2384.030048191,77.1,114.3,114.3,3787.78125,0.0,0.09699229207736995
2385.03818986,79.1,112.8,112.8,3787.8203125,0.0,0.0
2386.050576576,80.1,115.2,115.2,3787.84765625,0.0,0.0
2387.052059465,74.9,109.4,109.4,3787.8828125,0.6240745666897064,2.5470043253023644
2388.062694089,78.3,109.0,109.0,3798.6171875,0.0,0.0
2389.068038418,78.8,113.7,113.7,3796.77734375,0.0,0.07770969382969617
2390.070336557,83.8,119.7,119.7,3788.47265625,0.0,0.0
2391.072657275,77.3,114.1,114.1,3788.50390625,0.0,0.9002545131465868
2392.08530265,69.7,109.1,109.1,3788.5234375,0.00771494166948683,0.21987583758037466
2393.306733407,72.5,107.2,107.2,3788.55859375,0.5308835529838187,2.165109429940032
2394.314044591,74.6,116.4,116.4,3796.37890625,0.0,1.2099041680056846
2395.317034756,76.2,114.7,114.7,3788.625,0.0,0.0
2396.319236215,76.2,112.8,112.8,3788.68359375,0.0,0.0
2397.321513278,78.3,113.8,113.8,3788.7421875,0.0,0.062358006889739394
2398.323514526,80.6,111.8,111.8,3788.7734375,0.6081579251686072,2.4716161830570322
2399.325880466,76.1,112.7,112.7,3788.80078125,0.0,0.0
2400.330039011,79.2,117.5,117.5,3788.828125,0.0,0.09336175095737598
2401.33304013,79.7,110.7,110.7,3795.671875,0.0,0.0
2402.33529666,74.9,114.7,114.7,3789.6484375,0.02338473165148489,1.060107834867315
2403.337574429,77.4,112.7,112.7,3789.65625,0.6781428472449046,3.2776904283503723
2404.341042826,79.6,116.4,116.4,3789.96484375,0.0,0.0
2405.349055837,81.4,117.0,117.0,3789.96875,0.0,0.06975356392497975
2406.36004983,73.6,111.7,111.7,3796.0234375,0.0,0.007727543441494817
2407.36604106,78.4,114.7,114.7,3790.25,0.0,0.0
2408.36852144,86.4,114.8,114.8,3790.25,0.6468331080952269,2.6808504721055186
2409.384554113,78.6,114.7,114.7,3790.25390625,0.0,0.05382454861273558
2410.393040501,73.5,113.4,113.4,3790.2578125,0.0,0.0658474430494635
2411.395603133,80.3,114.7,114.7,3798.390625,0.0,0.0
2412.400353865,74.5,115.5,115.5,3790.38671875,0.0,0.7542293584514294
2413.403045158,83.7,114.5,114.5,3790.38671875,0.6622801101752968,3.073758864284171
2414.412050841,77.0,116.2,116.2,3802.140625,0.0,0.0
2415.41464553,85.1,119.4,119.4,3806.55859375,0.0,0.062338251624229256
2416.421408243,80.4,115.1,115.1,3809.81640625,0.0,0.0
2417.427334382,54.9,104.6,104.6,3806.5625,0.0,0.0
2418.431435704,79.4,80.5,80.5,6775.06640625,0.6535695010270594,2.69597419173662
2419.441040981,87.8,131.7,131.7,6776.60546875,0.0,0.0
2420.450339146,88.8,132.5,132.5,6775.3125,0.0,0.08514580029975427
2421.46254946,87.6,135.5,135.5,6841.55859375,0.0,0.0
2422.474129395,86.5,130.2,130.2,6831.5859375,0.0,0.0
2423.486248777,87.0,127.6,127.6,6826.01953125,0.5248886736564645,4.172093060460575
2424.500767061,87.1,126.7,126.7,6817.1875,0.0,0.011551048595989348
2425.509036019,76.6,132.6,132.6,6817.27734375,0.0,0.09298114283507025
2426.519480199,73.7,128.3,128.3,6824.03515625,0.0,0.0
2427.521823933,65.7,105.7,105.7,6841.06640625,0.24941543656118717,0.0
2428.524592502,90.3,102.7,102.7,6826.5703125,0.3350100016947095,2.481411291622442
2429.527296956,78.5,113.7,113.7,6826.5703125,0.0,0.0
2430.531363115,75.7,110.6,110.6,6826.5703125,0.0,5.960140122598617
2431.547944868,82.7,117.0,117.0,6841.4296875,0.0,0.0
2432.550564364,74.2,113.7,113.7,6826.69921875,0.0,0.0
2433.552770021,79.2,112.7,112.7,6826.703125,0.0,0.007795306228249706
2434.555419715,78.0,114.7,114.7,6826.703125,0.0,0.0
2435.558266031,78.7,114.7,114.7,6826.703125,0.0,0.10516940464084354
2436.560688639,77.4,114.7,114.7,6826.703125,0.0,0.0
2437.562999213,77.2,111.1,111.1,6826.703125,0.0,0.0
2438.577647468,80.4,110.8,110.8,6826.75390625,0.0,0.769971264573593
2439.583949952,77.4,111.6,111.6,6826.76171875,0.0,0.0
2440.599566214,79.2,116.3,116.3,6826.76171875,0.0,0.1884631599173648
2441.61045229,80.7,116.5,116.5,6826.76171875,0.0,0.0
2442.613306384,74.2,109.8,109.8,6826.76171875,0.0,0.0
