split,cohort,target,bin,lower,upper,n_samples,mean_probability,observed_frequency,absolute_gap,expected_calibration_error
exemplar,all,dsp,0,0.0,0.1,263,0.014189612448831644,0.40304182509505704,0.3888522126462254,0.17640021767884567
exemplar,all,dsp,1,0.1,0.2,24,0.133056640625,0.7083333333333334,0.5752766927083334,0.17640021767884567
exemplar,all,dsp,2,0.2,0.3,10,0.25869140625,1.0,0.74130859375,0.17640021767884567
exemplar,all,dsp,3,0.3,0.4,6,0.32421875,1.0,0.67578125,0.17640021767884567
exemplar,all,dsp,4,0.4,0.5,10,0.4771484375,1.0,0.5228515625,0.17640021767884567
exemplar,all,dsp,5,0.5,0.6,17,0.5638786764705882,1.0,0.4361213235294118,0.17640021767884567
exemplar,all,dsp,6,0.6,0.7,18,0.6538628472222222,1.0,0.3461371527777778,0.17640021767884567
exemplar,all,dsp,7,0.7,0.8,12,0.7571614583333334,1.0,0.24283854166666663,0.17640021767884567
exemplar,all,dsp,8,0.8,0.9,26,0.8584735576923077,1.0,0.1415264423076923,0.17640021767884567
exemplar,all,dsp,9,0.9,1.0,500,0.9934375,1.0,0.006562500000000027,0.17640021767884567
exemplar,all,bram,0,0.0,0.1,52,0.0058706112008971665,0.0,0.0058706112008971665,0.3169227460862829
exemplar,all,bram,1,0.1,0.2,13,0.15985576923076922,0.15384615384615385,0.006009615384615363,0.3169227460862829
exemplar,all,bram,2,0.2,0.3,3,0.2890625,0.6666666666666666,0.37760416666666663,0.3169227460862829
exemplar,all,bram,3,0.3,0.4,2,0.3447265625,0.0,0.3447265625,0.3169227460862829
exemplar,all,bram,4,0.4,0.5,11,0.44584517045454547,0.6363636363636364,0.19051846590909088,0.3169227460862829
exemplar,all,bram,5,0.5,0.6,1,0.55078125,1.0,0.44921875,0.3169227460862829
exemplar,all,bram,6,0.6,0.7,2,0.66015625,1.0,0.33984375,0.3169227460862829
exemplar,all,bram,7,0.7,0.8,13,0.7845552884615384,0.8461538461538461,0.06159855769230771,0.3169227460862829
exemplar,all,bram,8,0.8,0.9,26,0.8559194711538461,0.6923076923076923,0.16361177884615385,0.3169227460862829
exemplar,all,bram,9,0.9,1.0,763,0.9951619839449541,0.6408912188728703,0.3542707650720839,0.3169227460862829
exemplar,exemplar,dsp,0,0.0,0.1,263,0.014189612448831644,0.40304182509505704,0.3888522126462254,0.17640021767884567
exemplar,exemplar,dsp,1,0.1,0.2,24,0.133056640625,0.7083333333333334,0.5752766927083334,0.17640021767884567
exemplar,exemplar,dsp,2,0.2,0.3,10,0.25869140625,1.0,0.74130859375,0.17640021767884567
exemplar,exemplar,dsp,3,0.3,0.4,6,0.32421875,1.0,0.67578125,0.17640021767884567
exemplar,exemplar,dsp,4,0.4,0.5,10,0.4771484375,1.0,0.5228515625,0.17640021767884567
exemplar,exemplar,dsp,5,0.5,0.6,17,0.5638786764705882,1.0,0.4361213235294118,0.17640021767884567
exemplar,exemplar,dsp,6,0.6,0.7,18,0.6538628472222222,1.0,0.3461371527777778,0.17640021767884567
exemplar,exemplar,dsp,7,0.7,0.8,12,0.7571614583333334,1.0,0.24283854166666663,0.17640021767884567
exemplar,exemplar,dsp,8,0.8,0.9,26,0.8584735576923077,1.0,0.1415264423076923,0.17640021767884567
exemplar,exemplar,dsp,9,0.9,1.0,500,0.9934375,1.0,0.006562500000000027,0.17640021767884567
exemplar,exemplar,bram,0,0.0,0.1,52,0.0058706112008971665,0.0,0.0058706112008971665,0.3169227460862829
exemplar,exemplar,bram,1,0.1,0.2,13,0.15985576923076922,0.15384615384615385,0.006009615384615363,0.3169227460862829
exemplar,exemplar,bram,2,0.2,0.3,3,0.2890625,0.6666666666666666,0.37760416666666663,0.3169227460862829
exemplar,exemplar,bram,3,0.3,0.4,2,0.3447265625,0.0,0.3447265625,0.3169227460862829
exemplar,exemplar,bram,4,0.4,0.5,11,0.44584517045454547,0.6363636363636364,0.19051846590909088,0.3169227460862829
exemplar,exemplar,bram,5,0.5,0.6,1,0.55078125,1.0,0.44921875,0.3169227460862829
exemplar,exemplar,bram,6,0.6,0.7,2,0.66015625,1.0,0.33984375,0.3169227460862829
exemplar,exemplar,bram,7,0.7,0.8,13,0.7845552884615384,0.8461538461538461,0.06159855769230771,0.3169227460862829
exemplar,exemplar,bram,8,0.8,0.9,26,0.8559194711538461,0.6923076923076923,0.16361177884615385,0.3169227460862829
exemplar,exemplar,bram,9,0.9,1.0,763,0.9951619839449541,0.6408912188728703,0.3542707650720839,0.3169227460862829
test,2layer,dsp,0,0.0,0.1,41,0.005640169469321646,0.024390243902439025,0.01875007443311738,0.006743774414062515
test,2layer,dsp,9,0.9,1.0,84,0.9991164434523809,1.0,0.0008835565476190688,0.006743774414062515
test,2layer,bram,9,0.9,1.0,125,1.0,1.0,0.0,0.0
test,3layer,dsp,0,0.0,0.1,38,1.2604029555069773e-05,0.0,1.2604029555069773e-05,4.12890623355734e-06
test,3layer,dsp,9,0.9,1.0,78,1.0,1.0,0.0,4.12890623355734e-06
test,3layer,bram,9,0.9,1.0,116,1.0,1.0,0.0,0.0
test,all,dsp,0,0.0,0.1,191,0.002897729385273619,0.005235602094240838,0.002337872708967219,0.0027407160622474596
test,all,dsp,2,0.2,0.3,1,0.2060546875,0.0,0.2060546875,0.0027407160622474596
test,all,dsp,4,0.4,0.5,1,0.421875,0.0,0.421875,0.0027407160622474596
test,all,dsp,8,0.8,0.9,1,0.84765625,1.0,0.15234375,0.0027407160622474596
test,all,dsp,9,0.9,1.0,399,0.9984923245614035,0.9974937343358395,0.0009985902255639223,0.0027407160622474596
test,all,bram,0,0.0,0.1,104,0.0005316467182777929,0.0,0.0005316467182777929,0.003294652206915477
test,all,bram,9,0.9,1.0,489,0.9997923057259713,0.9959100204498977,0.0038822852760735937,0.003294652206915477
test,conv1d,dsp,0,0.0,0.1,18,0.0068432556258307565,0.0,0.0068432556258307565,0.0022396109320900657
test,conv1d,dsp,9,0.9,1.0,37,1.0,1.0,0.0,0.0022396109320900657
test,conv1d,bram,9,0.9,1.0,55,1.0,1.0,0.0,0.0
test,conv2d,dsp,0,0.0,0.1,9,0.0027413898044162327,0.0,0.0027413898044162327,0.01958270867665606
test,conv2d,dsp,4,0.4,0.5,1,0.421875,0.0,0.421875,0.01958270867665606
test,conv2d,dsp,9,0.9,1.0,14,0.9983258928571429,1.0,0.0016741071428570953,0.01958270867665606
test,conv2d,bram,9,0.9,1.0,24,1.0,1.0,0.0,0.0
test,dense_latency,dsp,0,0.0,0.1,28,0.0016101609383310591,0.0,0.0016101609383310591,0.001368994514147416
test,dense_latency,dsp,9,0.9,1.0,62,0.9987399193548387,1.0,0.0012600806451612545,0.001368994514147416
test,dense_latency,bram,0,0.0,0.1,90,0.00041888423956051054,0.0,0.00041888423956051054,0.00041888423956051054
test,dense_resource,dsp,0,0.0,0.1,24,0.0012212370832761128,0.0,0.0012212370832761128,0.0024167955931970477
test,dense_resource,dsp,9,0.9,1.0,35,0.9967633928571429,1.0,0.0032366071428571175,0.0024167955931970477
test,dense_resource,bram,0,0.0,0.1,12,8.122956690688929e-06,0.0,8.122956690688929e-06,1.6521267845469006e-06
test,dense_resource,bram,9,0.9,1.0,47,1.0,1.0,0.0,1.6521267845469006e-06
test,rule4ml,dsp,0,0.0,0.1,33,0.0030150031953146963,0.0,0.0030150031953146963,0.009237044701172464
test,rule4ml,dsp,2,0.2,0.3,1,0.2060546875,0.0,0.2060546875,0.009237044701172464
test,rule4ml,dsp,8,0.8,0.9,1,0.84765625,1.0,0.15234375,0.009237044701172464
test,rule4ml,dsp,9,0.9,1.0,89,0.9964887640449438,0.9887640449438202,0.0077247191011236005,0.009237044701172464
test,rule4ml,bram,0,0.0,0.1,2,0.008747100830078125,0.0,0.008747100830078125,0.01545106211016253
test,rule4ml,bram,9,0.9,1.0,122,0.9991675204918032,0.9836065573770492,0.015560963114754078,0.01545106211016253
