epoch,train_loss,val_r2,val_r2_lut,val_r2_ff,val_r2_dsp,val_r2_bram,val_r2_cycles_max,val_r2_interval_max,val_resource_r2,val_timing_r2,val_smape,val_smape_lut,val_smape_ff,val_smape_dsp,val_smape_bram,val_smape_cycles_max,val_smape_interval_max,val_resource_smape,val_timing_smape,val_rmse,val_rmse_lut,val_rmse_ff,val_rmse_dsp,val_rmse_bram,val_rmse_cycles_max,val_rmse_interval_max,val_resource_rmse,val_timing_rmse,val_loss,train_seconds,validation_seconds,epoch_seconds,cumulative_training_seconds,learning_rate,next_learning_rate,train_seconds_per_sample,data_wait_seconds,compute_submission_seconds,data_wait_fraction,mean_pre_clip_gradient_norm,peak_gpu_memory_mb
1,0.4032626748085022,0.09265639632940292,0.1836875081062317,0.11966603994369507,-0.011313676834106445,0.25950098037719727,0.0016508698463439941,0.0027466416358947754,0.1378852128982544,0.0021987557411193848,72.25655364990234,56.92528533935547,56.66373825073242,111.33889770507812,44.312347412109375,80.08611297607422,84.21295166015625,67.31006622314453,82.1495361328125,372373.59375,130594.6328125,74932.078125,1808.0804443359375,29.915510177612305,1013627.375,1013249.375,51841.1796875,1013438.375,0.32929879426956177,101.07633416400131,14.437611116998596,115.51394644100219,115.8741012549981,0.001,0.001,0.03686226628884074,0.6390022010091343,100.43498655199073,0.006322123118844152,2.659947922409967,555.2333984375
2,0.3016138970851898,0.13883145153522491,0.28121423721313477,0.1268135905265808,0.1083073616027832,0.24529612064361572,0.036258697509765625,0.03509867191314697,0.19040782749652863,0.0356786847114563,67.42747497558594,53.62508773803711,58.58458709716797,99.71014404296875,43.131629943847656,69.21662902832031,80.29676818847656,63.76286315917969,74.75669860839844,365247.125,122545.3515625,74627.265625,1697.7838134765625,30.201080322265625,995903.6875,996678.375,49725.15234375,996291.0,0.2952185571193695,101.00533234999966,14.071428279999964,115.0767617829988,230.98714669999754,0.001,0.001,0.036836372118891195,0.568403553974349,100.43360622402543,0.005627645976784895,2.652393405520639,555.2333984375
3,0.2805122137069702,0.20023657381534576,0.3268265128135681,0.21635359525680542,0.24414944648742676,0.3058655261993408,0.046360015869140625,0.061864376068115234,0.2732987701892853,0.05411219596862793,64.35926055908203,52.489959716796875,57.52175521850586,101.08458709716797,46.735015869140625,59.42304611206055,68.90118408203125,64.45783233642578,64.16211700439453,360718.53125,118593.421875,70697.5078125,1563.12158203125,28.963829040527344,990670.75,982757.5625,47720.7578125,986714.125,0.2662387788295746,100.69160455200108,14.28906161100167,114.98066729899801,346.0070309859984,0.001,0.001,0.036721956437637156,0.9732173310294456,99.71560783797031,0.009665594264268777,2.3885227133368336,590.45654296875
4,0.2613486349582672,0.15186049044132233,0.28514814376831055,0.1780790090560913,0.1251283884048462,0.26314806938171387,0.03114640712738037,0.028512954711914062,0.21287590265274048,0.029829680919647217,61.82258224487305,53.383426666259766,58.51454162597656,93.22258758544922,42.80388259887695,57.78125,65.22980499267578,61.98110580444336,61.50552749633789,365823.375,122209.546875,72403.421875,1681.6939697265625,29.841751098632812,998541.6875,1000073.9375,49081.125,999307.8125,0.26075273752212524,100.796614734998,14.035708652998437,114.83232441099972,460.8791267079978,0.001,0.001,0.03676025336797885,0.6782158649839403,100.11500528901524,0.00672878450771717,2.369897632404815,594.888671875
5,0.2478732168674469,0.3622833788394928,0.49418365955352783,0.571038007736206,0.5506684184074402,0.3279019594192505,0.11099600791931152,0.1189124584197998,0.48594799637794495,0.11495423316955566,57.48452377319336,47.774375915527344,50.124473571777344,88.92457580566406,42.63449478149414,54.67612075805664,60.773067474365234,57.364479064941406,57.72459411621094,344209.53125,102800.1015625,52306.234375,1205.1976318359375,28.500370025634766,956508.75,952408.25,39085.01171875,954458.5,0.22772732377052307,100.48925481200058,13.992069849999098,114.48132578700097,575.4002386639986,0.001,0.001,0.03664816003355236,0.5767094650182116,99.91029315298147,0.005739144864441492,2.81754317325215,594.888671875
6,0.24110224843025208,0.4262545108795166,0.5324608683586121,0.5559483170509338,0.6086605787277222,0.28940868377685547,0.3208422064781189,0.2502066493034363,0.4966196119785309,0.2855244278907776,59.18583297729492,49.735252380371094,51.81668472290039,85.8683853149414,47.828216552734375,56.53095245361328,63.33549118041992,58.8121337890625,59.93321990966797,311303.90625,98833.9375,53218.2734375,1124.738525390625,29.30516242980957,836031.125,878586.25,38301.56640625,857308.6875,0.23287612199783325,99.42272720899928,14.127966612999444,113.55069522300255,689.0210319109974,0.001,0.001,0.03625920029503985,0.5730151270036004,98.84728281099524,0.005763562762213285,2.9331696248331736,617.90869140625
7,0.2356158345937729,0.30658483505249023,0.3329469561576843,0.2961076498031616,0.2587473392486572,0.2334815263748169,0.30354130268096924,0.4146842956542969,0.2803208827972412,0.35911279916763306,57.94338607788086,51.4231071472168,52.800472259521484,87.36518859863281,39.24251937866211,54.63397979736328,62.195037841796875,57.70782470703125,58.41450881958008,301585.0625,118053.078125,67003.453125,1547.95361328125,30.436555862426758,846612.6875,776262.6875,46658.73046875,811437.6875,0.22853796184062958,99.5013673479989,14.530329786997754,114.03169797400187,803.0587885659988,0.001,0.001,0.03628788014150215,0.5704247630055761,98.92808454099213,0.005732998082039177,2.667514304782069,617.90869140625
8,0.22765302658081055,0.3878004550933838,0.451130747795105,0.4951941967010498,0.6349514722824097,0.28004682064056396,0.1879398226737976,0.27753978967666626,0.4653308093547821,0.23273980617523193,53.29990005493164,47.93819046020508,49.820899963378906,71.10353088378906,40.44289779663086,52.57298278808594,57.9208984375,52.32638168334961,55.24694061279297,323591.03125,107085.7265625,56742.20703125,1086.30078125,29.497573852539062,914178.9375,862423.4375,41235.93359375,888301.1875,0.20917561650276184,99.72803890099749,14.371192741000414,114.09923263899691,917.1648178629985,0.001,0.001,0.03637054664514861,0.6519763310025155,99.07290072099568,0.0065377501610010946,2.862935089094694,617.90869140625
9,0.2224537879228592,0.40964868664741516,0.503243088722229,0.5771255493164062,0.5288143157958984,0.34601229429244995,0.24984210729599,0.25285470485687256,0.4887987971305847,0.2513484060764313,54.70888137817383,48.65837860107422,50.38330078125,76.66929626464844,41.65757751464844,52.30351638793945,58.58122253417969,54.34213638305664,55.44236755371094,318458.28125,101875.34375,51933.7578125,1234.158203125,28.1137638092041,878645.0625,877033.375,38767.83984375,877839.25,0.20962414145469666,100.03496995199748,14.319489335997787,114.35446046799916,1031.5628951340004,0.001,0.001,0.036482483571115054,0.572367712004052,99.45888328499859,0.00572188897268917,2.953589821277663,617.90869140625
10,0.21813541650772095,0.4347972869873047,0.43025046586990356,0.5309550166130066,0.5266179442405701,0.28713053464889526,0.3772127628326416,0.4566168189048767,0.44373852014541626,0.41691479086875916,55.410369873046875,48.19522476196289,48.207618713378906,68.52581024169922,39.243526458740234,58.469730377197266,69.8203125,51.04304504394531,64.14501953125,285598.21875,109103.6015625,54695.4609375,1237.0313720703125,29.352100372314453,800584.0625,747939.875,41266.36328125,774262.0,0.21702036261558533,99.83616246600286,14.342907494999963,114.17907085300249,1145.7479609820002,0.001,0.001,0.03640997901750651,0.5921902270129067,99.24130432598758,0.005931779005276826,2.980788593721944,617.90869140625
