split,kernel_family,scope,n_samples,r2,smape,rmse
exemplar,all,overall,886,-1.5294368863105774,99.86606216430664,5969.36550450325
exemplar,all,resource,886,-1.9784652292728424,88.86697959899902,8368.373497843742
exemplar,all,timing,886,-0.6313802003860474,121.86422729492188,1171.3495178222656
exemplar,exemplar,overall,886,-1.5294368863105774,99.86606216430664,5969.36550450325
exemplar,exemplar,resource,886,-1.9784652292728424,88.86697959899902,8368.373497843742
exemplar,exemplar,timing,886,-0.6313802003860474,121.86422729492188,1171.3495178222656
test,2layer,overall,125,0.3762351671854655,20.729291280110676,1758.0468240578969
test,2layer,resource,125,0.16252702474594116,23.29092836380005,2270.289169192314
test,2layer,timing,125,0.8036514520645142,15.606017112731934,733.5621337890625
test,3layer,overall,116,0.47097618381182355,20.320704619089764,2347.118724822998
test,3layer,resource,116,0.2913346588611603,23.118189334869385,3097.047876358032
test,3layer,timing,116,0.83025923371315,14.725735187530518,847.2604217529297
test,all,overall,593,0.5218933324019114,29.068608283996582,270459.5554205577
test,all,resource,593,0.5982908457517624,27.639302730560303,29599.614380836487
test,all,timing,593,0.3690983057022095,31.92721939086914,752179.4375
test,conv1d,overall,55,0.5395995775858561,29.94880199432373,35552.60308853785
test,conv1d,resource,55,0.5623609572649002,22.640284061431885,3565.043304681778
test,conv1d,timing,55,0.49407681822776794,44.56583786010742,99527.72265625
test,conv2d,overall,24,0.06523330012957256,54.92355759938558,1279496.530301571
test,conv2d,resource,24,0.0647660344839096,39.992796421051025,51317.10795235634
test,conv2d,timing,24,0.06616783142089844,84.78507995605469,3735855.375
test,dense_latency,overall,90,0.8972756167252859,17.01261329650879,15989.013174851736
test,dense_latency,resource,90,0.8817331194877625,13.942895412445068,23970.92283630371
test,dense_latency,timing,90,0.9283606112003326,23.15204906463623,25.193851947784424
test,dense_resource,overall,59,0.7797967791557312,20.40123399098714,15514.252879659334
test,dense_resource,resource,59,0.7266530394554138,18.549479484558105,23020.272126495838
test,dense_resource,timing,59,0.886084258556366,24.104743003845215,502.2143859863281
test,rule4ml,overall,124,0.3628738621870677,53.138420740763344,30641.969516118366
test,rule4ml,resource,124,0.4062822014093399,50.34441947937012,45784.163380622864
test,rule4ml,timing,124,0.2760571837425232,58.726423263549805,357.581787109375
