split,kernel_family,target,n_samples,mean_delta_smape,median_delta_smape,fraction_improved
exemplar,all,lut,886,-5.469936423292845,-5.642310337419374,0.5767494356659142
exemplar,all,ff,886,3.504572847872916,0.6442499976588749,0.47742663656884876
exemplar,all,dsp,886,12.415134732356192,0.0,0.2618510158013544
exemplar,all,bram,886,15.268177585868287,7.630928799909206,0.3544018058690745
exemplar,all,cycles_max,886,8.113287934876446,6.2379880246814565,0.37133182844243795
exemplar,all,interval_max,886,13.455771046217704,14.35917331504757,0.35327313769751695
exemplar,exemplar,lut,886,-5.469936423292845,-5.642310337419374,0.5767494356659142
exemplar,exemplar,ff,886,3.504572847872916,0.6442499976588749,0.47742663656884876
exemplar,exemplar,dsp,886,12.415134732356192,0.0,0.2618510158013544
exemplar,exemplar,bram,886,15.268177585868287,7.630928799909206,0.3544018058690745
exemplar,exemplar,cycles_max,886,8.113287934876446,6.2379880246814565,0.37133182844243795
exemplar,exemplar,interval_max,886,13.455771046217704,14.35917331504757,0.35327313769751695
test,2layer,lut,125,-4.820964469682576,-4.903614232708231,0.64
test,2layer,ff,125,-3.8213323816533893,-3.646675862676755,0.656
test,2layer,dsp,125,-8.69494287152888,0.0,0.488
test,2layer,bram,125,1.1665691115878245,1.9353016042355975,0.432
test,2layer,cycles_max,125,-5.8482497699520595,-5.210579908526775,0.736
test,2layer,interval_max,125,-8.358773828276913,-7.468700222671547,0.784
test,3layer,lut,116,-4.004626090975515,-3.7819161985578216,0.6982758620689655
test,3layer,ff,116,-3.2846092854179574,-1.9869580603241832,0.6637931034482759
test,3layer,dsp,116,-10.378076816993557,-0.18368332307991642,0.5
test,3layer,bram,116,-1.9384106015736513,-2.0223589111579976,0.603448275862069
test,3layer,cycles_max,116,-2.356215103587194,-2.077443913975946,0.5862068965517241
test,3layer,interval_max,116,-8.892323993540957,-8.731903686987188,0.7241379310344828
test,all,lut,593,1.4413585875043675,-0.4474720576067739,0.5109612141652614
test,all,ff,593,1.2270498382971162,-0.6653535385889064,0.5126475548060708
test,all,dsp,593,-0.8723755848036344,0.0,0.3591905564924115
test,all,bram,593,0.5413538596739557,0.0,0.40809443507588533
test,all,cycles_max,593,0.650522353263582,-0.7487422977398674,0.521079258010118
test,all,interval_max,593,2.885172914735162,-0.5124614677197865,0.5042158516020236
test,conv1d,lut,55,2.103696353697981,3.762646977749135,0.4
test,conv1d,ff,55,1.0639930563760502,0.32556148243590144,0.4727272727272727
test,conv1d,dsp,55,0.5115700073155258,0.0,0.2909090909090909
test,conv1d,bram,55,6.552901017173118,8.30490286426722,0.4
test,conv1d,cycles_max,55,-2.785762743862052,-0.49797267423523195,0.509090909090909
test,conv1d,interval_max,55,-5.280225843960328,-6.483611731878764,0.509090909090909
test,conv2d,lut,24,13.422020036242538,9.362865885488109,0.25
test,conv2d,ff,24,18.986993083762503,17.55735238067453,0.16666666666666666
test,conv2d,dsp,24,4.360496260921171,0.0,0.2916666666666667
test,conv2d,bram,24,17.11549164207074,10.358555542704487,0.2916666666666667
test,conv2d,cycles_max,24,-5.005423747992642,-9.19206466673224,0.625
test,conv2d,interval_max,24,-2.5324528045430714,-7.28069137272891,0.5833333333333334
test,dense_latency,lut,90,0.21524084990402786,0.5879103158871306,0.4888888888888889
test,dense_latency,ff,90,-0.41717291713804555,-0.973385981584562,0.5222222222222223
test,dense_latency,dsp,90,2.613343943494939,0.0,0.2777777777777778
test,dense_latency,bram,90,0.0,0.0,0.0
test,dense_latency,cycles_max,90,9.916301177470396,8.593821772168754,0.24444444444444444
test,dense_latency,interval_max,90,12.87698675734899,7.709857909386999,0.2777777777777778
test,dense_resource,lut,59,8.283491758748532,5.570291172014978,0.3220338983050847
test,dense_resource,ff,59,7.654661754829746,5.044288771296156,0.23728813559322035
test,dense_resource,dsp,59,1.8528447624248763,0.0,0.23728813559322035
test,dense_resource,bram,59,4.504041810370475,0.0,0.3220338983050847
test,dense_resource,cycles_max,59,6.644580395344756,8.429825523478883,0.3389830508474576
test,dense_resource,interval_max,59,4.1407851490619505,5.477922125798908,0.23728813559322035
test,rule4ml,lut,124,7.870591589297061,9.727705990008088,0.4112903225806452
test,rule4ml,ff,124,5.306732627595424,6.561007659665714,0.43548387096774194
test,rule4ml,dsp,124,10.452411220659135,0.0,0.25806451612903225
test,rule4ml,bram,124,-5.135987843107709,-2.698050398899186,0.5645161290322581
test,rule4ml,cycles_max,124,3.0561427444515026,-2.2038378217422405,0.5161290322580645
test,rule4ml,interval_max,124,22.058225862855682,13.056951584240213,0.2903225806451613
