split,feature,bin,lower,upper,scope,n_samples,r2,smape,rmse
exemplar,instruction_count,0,1026.0,3050.0,overall,220,-8.864615135807204,121.4130458113345,6013.600773739796
exemplar,instruction_count,0,1026.0,3050.0,resource,220,-11.146641410629588,103.48628546509894,8369.107425484157
exemplar,instruction_count,0,1026.0,3050.0,timing,220,-4.300562586162437,157.26656650380565,1302.5874702510714
exemplar,instruction_count,1,3050.0,3115.0,overall,221,-1.6615528357616578,77.72220466942422,4097.060375588336
exemplar,instruction_count,1,3050.0,3115.0,resource,221,-2.4924700479353454,62.84392859677059,5719.396118295052
exemplar,instruction_count,1,3050.0,3115.0,timing,221,0.0002815885857173628,107.47875681473145,852.3888901749051
exemplar,instruction_count,2,3115.0,3324.0,overall,215,-1.997619243881408,100.11982094416977,7683.605793612238
exemplar,instruction_count,2,3115.0,3324.0,resource,215,-3.001614323196863,97.51365848107251,11075.238236646683
exemplar,instruction_count,2,3115.0,3324.0,timing,215,0.010370914749502469,105.33214587036429,900.340907543349
exemplar,instruction_count,3,3324.0,3827.0,overall,230,-0.4589773441349792,100.2960470615932,5377.210277002884
exemplar,instruction_count,3,3324.0,3827.0,resource,230,-0.12211932549265303,91.80528075019706,7347.036459860221
exemplar,instruction_count,3,3324.0,3827.0,timing,230,-1.1326933814196316,117.2775796843855,1437.557911288213
exemplar,block_count,0,235.0,762.0,overall,208,-39.65052028426539,131.98316756786394,5573.933652003201
exemplar,block_count,0,235.0,762.0,resource,208,-6.031937029112899,115.37620547972585,7766.798642056316
exemplar,block_count,0,235.0,762.0,timing,208,-106.88768679457039,165.19709174414015,1188.2036718969707
exemplar,block_count,1,762.0,776.0,overall,145,-54.86099584277076,111.89042667516436,4353.619913551848
exemplar,block_count,1,762.0,776.0,resource,145,-81.96285842850001,97.58891208879999,6279.686538637305
exemplar,block_count,1,762.0,776.0,timing,145,-0.6572706713122856,140.49345584789316,501.48666338093483
exemplar,block_count,2,776.0,798.0,overall,299,-2.9634556672111825,85.15932590120894,3383.987892840791
exemplar,block_count,2,776.0,798.0,resource,299,-4.313433203385824,79.1838891175183,4642.797408300994
exemplar,block_count,2,776.0,798.0,timing,299,-0.2635005948619006,97.11019946859024,866.368861920385
exemplar,block_count,3,798.0,893.0,overall,234,-0.42286913530142617,82.65846355180885,8899.584890845801
exemplar,block_count,3,798.0,893.0,resource,234,-0.3363336366581461,72.27143730507277,12515.249251665071
exemplar,block_count,3,798.0,893.0,timing,234,-0.5959401325879863,103.43251604528103,1668.2561692072618
exemplar,maximum_block_length,0,74.0,87.0,overall,126,-242.0519992437186,139.2063297442944,4773.188584176581
exemplar,maximum_block_length,0,74.0,87.0,resource,126,-19.248414109101187,123.45057159832686,6406.309790664778
exemplar,maximum_block_length,0,74.0,87.0,timing,126,-576.2573769456448,170.71784603622956,1506.9461712001876
exemplar,maximum_block_length,1,87.0,103.0,overall,760,-1.0751206088768763,93.34385801291869,6130.630558677008
exemplar,maximum_block_length,1,87.0,103.0,resource,760,-1.4515199813339406,83.13338177209847,8643.387291499466
exemplar,maximum_block_length,1,87.0,103.0,timing,760,-0.32232186396274753,113.76481049455913,1105.117093032091
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,overall,189,-21.183473893969296,105.48860279498494,4191.288768455188
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,resource,189,-31.681511829484794,95.54393865749314,5965.998512996018
exemplar,loop_block_fraction,0,0.005154639016836882,0.005194805096834898,timing,189,-0.18739802293829982,125.3779310699685,641.8692793735273
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,overall,253,-5.268959664704271,107.67651374026411,7578.613537344546
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,resource,253,-4.667754215052832,96.2709782023914,10690.213835677965
exemplar,loop_block_fraction,1,0.005194805096834898,0.020408162847161293,timing,253,-6.471370564007149,130.48758481600947,1355.4129406777083
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,overall,217,-0.5310788105809566,80.05909036919047,3350.6616915736936
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,resource,217,-0.5295002743400197,73.83481195104102,4576.101095045072
exemplar,loop_block_fraction,2,0.020408162847161293,0.02133333310484886,timing,217,-0.5342358830628307,92.50764720548938,899.7828846309365
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,overall,227,-0.5383613754825556,105.41411067377089,6901.538501211581
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,resource,227,-0.45639178282010245,89.42566556536062,9620.652636816654
exemplar,loop_block_fraction,3,0.02133333310484886,0.03404255211353302,timing,227,-0.7023005608074618,137.39100089059139,1463.3102300014348
exemplar,block_scc_fraction,0,0.5146276595744681,0.5193298969072165,overall,166,-0.7702946480999641,91.02511530460663,4772.907425817527
exemplar,block_scc_fraction,0,0.5146276595744681,0.5193298969072165,resource,166,-1.2919804847994432,79.83017812972909,6834.917010566018
exemplar,block_scc_fraction,0,0.5146276595744681,0.5193298969072165,timing,166,0.27307702529899425,113.41498965436175,648.8882563205447
exemplar,block_scc_fraction,1,0.5193298969072165,0.5231362467866324,overall,235,-8.620180479076677,97.32212156505516,3840.4404623399078
exemplar,block_scc_fraction,1,0.5193298969072165,0.5231362467866324,resource,235,-12.931995460014404,87.85832254033035,5397.2779448520105
