monotonic_seconds,system_cpu_percent,training_process_cpu_percent,training_tree_cpu_percent,training_tree_rss_mb,system_disk_read_mb_s,system_disk_write_mb_s
820.820284827,62.1,69.7,69.7,2945.28515625,58.8305394690049,0.011702912168093276
821.823406323,56.2,87.8,87.8,3404.4375,114.33061743500495,1.4018740557425675
822.82605008,42.4,71.8,71.8,3763.9140625,92.10805119489832,0.0
823.831199253,67.1,109.5,109.5,3771.7890625,0.4663486899172631,1.8226461297599699
824.833259765,68.2,107.2,107.2,3776.578125,0.007796435351401546,0.13643761864952705
825.843054739,65.8,107.5,107.5,3784.1015625,0.0,0.0
826.849678234,75.5,106.3,106.3,3781.98046875,0.0,0.011641641644774218
827.852228324,70.1,108.4,108.4,3782.078125,0.0,0.33508300817169157
828.860276848,67.1,107.7,107.7,3804.3046875,0.465007376966282,1.9142803685111942
829.873101171,65.1,109.1,109.1,3826.48046875,0.0,0.0
830.877692897,67.8,109.7,109.7,3832.73828125,0.0,0.0
831.880280591,67.7,107.4,107.4,3832.84375,0.0,0.0
832.888739727,61.5,107.4,107.4,3832.9453125,0.0,0.2943847592848656
833.891293903,69.4,109.8,109.8,3832.9921875,0.0,0.0
834.892940421,66.6,105.2,105.2,3833.07421875,0.42898117477406067,1.7549229877120665
835.904804272,66.2,109.0,109.0,3836.8984375,1.6522726830767231,8.37717692120675
836.91406566,68.4,107.3,107.3,3833.19140625,0.0,0.0
837.916580217,66.9,106.2,106.2,3833.25390625,0.0,0.2104084160445677
838.929040997,64.7,108.9,108.9,3834.7421875,0.0,0.2739303639988982
839.936531069,67.1,110.4,110.4,3834.84375,0.41873861760496006,5.249741557751073
840.939380109,70.1,109.7,109.7,3834.92578125,0.1324351868552418,1.1997069868063082
841.941714016,67.0,107.4,107.4,3835.0,0.0,0.0
842.950563939,62.2,106.4,106.4,3835.53125,0.0,0.0
843.957649929,68.6,110.3,110.3,3840.1640625,0.0,0.08921159751213924
844.960036221,67.8,106.9,106.9,3840.19140625,0.5066035958919605,2.6187508956876724
845.975040218,61.8,106.2,106.2,3840.25390625,0.0,0.0
846.978750344,72.7,107.6,107.6,3840.265625,0.0,0.0
847.980703578,68.9,107.8,107.8,3840.26953125,0.0,0.0
848.983129975,66.8,106.9,106.9,3840.27734375,0.0,0.1675621776348696
849.997221086,62.3,108.3,108.3,3844.28125,0.0,0.007703942885660721
850.999881191,70.1,108.7,108.7,3844.28515625,0.4363392916685282,1.7998995781326788
852.003371016,69.1,108.1,108.1,3844.28515625,0.0,0.0
853.015222596,60.5,106.4,106.4,3844.2890625,0.0,0.0
854.017198537,67.5,110.7,110.7,3844.29296875,0.0,0.07017384063116458
855.02095862,62.4,104.7,104.7,3844.29296875,0.0,0.007783234392675284
856.023542099,67.7,107.2,107.2,3844.29296875,0.39741079755015235,1.6325012173873905
857.035879813,64.1,105.3,105.3,3844.29296875,0.0,0.0
858.038245487,69.0,109.6,109.6,3844.29296875,0.0,0.0
859.042443088,60.3,105.7,105.7,3844.29296875,0.0,0.10113796318459967
860.044379978,69.5,108.8,108.8,3844.296875,0.0,0.0
861.046281847,68.8,109.8,109.8,3844.296875,0.4132765022319791,1.715487367755385
862.048720405,68.8,109.6,109.6,3844.296875,0.0,0.0
863.052508042,65.3,105.4,105.4,3844.296875,0.0,0.0
864.06008578,64.4,108.5,108.5,3844.296875,0.0,0.0
865.063044356,69.9,110.7,110.7,3844.30078125,0.0,0.0856839973817649
866.065620113,70.1,106.3,106.3,3845.59765625,0.4519608586545741,1.8701828633982376
867.07665652,64.7,106.2,106.2,3849.59765625,0.0,0.007727219263232678
868.07874256,69.5,109.3,109.3,3850.1015625,0.0,0.0077962367383144476
869.086293259,60.2,105.6,105.6,3849.609375,0.0,0.0
870.088264147,69.1,108.8,108.8,3849.69921875,0.0,0.0974641590584744
871.09056912,64.3,105.5,105.5,3857.1875,0.3975212243110216,1.6329548331991965
872.095487755,65.4,108.7,108.7,3849.71875,0.007774261246533909,2.052404969084952
