model,split,target,r2,smape,rmse,rpe_median,rpe_mean,rpe_q25,rpe_q75,inference_seconds_per_sample,n_samples
median,synthetic_test,lut,-0.09473419189453125,64.3689956665039,141692.53125,-2.3813602924346924,-14.202178955078125,-66.9710693359375,54.025909423828125,1.1034065679708435e-07,91
median,synthetic_test,ff,-0.1303499937057495,66.67591857910156,66826.4140625,-3.7047464847564697,-85.03395080566406,-57.58186340332031,52.8089714050293,1.1034065679708435e-07,91
median,synthetic_test,dsp,-0.034824371337890625,116.71106719970703,1310.49853515625,0.0,-59.231746673583984,-300.0,81.47368621826172,1.1034065679708435e-07,91
median,synthetic_test,bram,-0.08183181285858154,88.04017639160156,33.10319519042969,0.0,-13.475130081176758,-40.0,73.07691955566406,1.1034065679708435e-07,91
median,synthetic_test,cycles_max,-0.04518914222717285,97.36245727539062,462729.5,-6.470248222351074,-1756.39306640625,-278.8235778808594,40.065040588378906,1.1034065679708435e-07,91
median,synthetic_test,interval_max,-0.0459977388381958,111.25023651123047,463226.8125,-14.272970199584961,-6014.7314453125,-893.0233154296875,59.779205322265625,1.1034065679708435e-07,91
median,exemplar,lut,-0.01789116859436035,105.54353332519531,26151.458984375,-216.61036682128906,-2223.313232421875,-626.3923950195312,26.805932998657227,4.4790003812522625e-08,100
median,exemplar,ff,-0.25857973098754883,114.30970764160156,16519.25390625,-244.07073974609375,-40491.0625,-984.6126708984375,-27.242963790893555,4.4790003812522625e-08,100
median,exemplar,dsp,-0.13577747344970703,114.29467010498047,894.0455932617188,33.333335876464844,-24.286470413208008,-33.333335876464844,96.89922332763672,4.4790003812522625e-08,100
median,exemplar,bram,-0.1170046329498291,79.79898834228516,2.317326068878174,-75.0,-102.48750305175781,-250.0,-16.666667938232422,4.4790003812522625e-08,100
median,exemplar,cycles_max,-4.799915313720703,148.82766723632812,3152.21337890625,-1173.415771484375,-6310.205078125,-11348.939453125,-478.6680908203125,4.4790003812522625e-08,100
median,exemplar,interval_max,-4.66799783706665,154.5284881591797,1116.5521240234375,-12710.0,-27889.5078125,-63950.0,-662.6717529296875,4.4790003812522625e-08,100
ridge,synthetic_test,lut,0.25597620010375977,38.54203796386719,116811.6171875,6.28818416595459,-7.808935642242432,-28.028881072998047,27.706104278564453,1.1161868135057196e-05,91
ridge,synthetic_test,ff,0.3104094862937927,44.29062271118164,52196.0078125,6.452856063842773,-18.999483108520508,-33.98875045776367,29.369876861572266,1.1161868135057196e-05,91
ridge,synthetic_test,dsp,0.027875065803527832,77.03602600097656,1270.177001953125,0.0,-80.50580596923828,-72.66924285888672,44.68780517578125,1.1161868135057196e-05,91
ridge,synthetic_test,bram,0.3681219816207886,43.909217834472656,25.299192428588867,-15.107107162475586,-26.221593856811523,-38.411537170410156,3.1001110076904297,1.1161868135057196e-05,91
ridge,synthetic_test,cycles_max,0.4708651900291443,42.61786651611328,329240.21875,-1.2945665121078491,-40.32537078857422,-33.255218505859375,21.08590316772461,1.1161868135057196e-05,91
ridge,synthetic_test,interval_max,0.6002920866012573,50.44829177856445,286351.65625,1.0673749446868896,-31.488405227661133,-41.33262634277344,28.923227310180664,1.1161868135057196e-05,91
ridge,exemplar,lut,0.32053714990615845,57.68603515625,21366.240234375,14.348276138305664,-118.34751892089844,-30.76886558532715,38.159332275390625,2.4173000019800383e-06,100
ridge,exemplar,ff,0.0001946091651916504,92.8497314453125,14723.388671875,47.75818634033203,-581.4520263671875,-4.848247528076172,66.40830993652344,2.4173000019800383e-06,100
ridge,exemplar,dsp,-0.0752331018447876,109.62786865234375,869.8900146484375,0.0,-152.70596313476562,-214.82493591308594,77.11652374267578,2.4173000019800383e-06,100
ridge,exemplar,bram,-12.40646743774414,104.58566284179688,8.028175354003906,-160.79440307617188,-354.93890380859375,-286.846435546875,-91.12562561035156,2.4173000019800383e-06,100
